mapping_id	record_type	record_id	original_pw_id	corrected_pw_id	mapping_disposition	module	actual_requirement_text	semantic_check
EVENT-PNN-006-PW-153	EVENT	PNN-006	PW-153	PW-153	RETAINED_SEMANTICALLY_CONSISTENT	INNOVATION	AI活用・AI開発・映像解析・scouting・mechanics等を継続革新領域にする	PASS
EVENT-PNN-006-PW-168	EVENT	PNN-006	PW-168	PW-168	RETAINED_SEMANTICALLY_CONSISTENT	GLOBAL	国・地域ごとに異なる契約/移籍/政府/連盟制度を持つ	PASS
EVENT-PNN-006-PW-171	EVENT	PNN-006	PW-171		REMOVED_SEMANTICALLY_MISMATCHED	GLOBAL	キューバ等の国外移住/連盟離脱を高レベルcareer eventとして扱う	CORRECTED
EVENT-PNN-006-PW-179	EVENT	PNN-006	PW-179	PW-179	RETAINED_SEMANTICALLY_CONSISTENT	WORLD_GROWTH	十分な基盤が整えば新しいprofessional leagueが稀に誕生する	PASS
EVENT-PNN-006-PW-180	EVENT	PNN-006	PW-180	PW-180	RETAINED_SEMANTICALLY_CONSISTENT	WORLD_GROWTH	league縮小/統合/停滞も可能にして世界全体無限成長を防ぐ	PASS
EVENT-PNN-006-ADDED-PW-151	EVENT	PNN-006		PW-151	ADDED_SEMANTICALLY_REQUIRED	INNOVATION	MLB AA/海外大学/JUCO/独立等との新pipelineを構築可能	CORRECTED
EVENT-PNN-006-ADDED-PW-155	EVENT	PNN-006		PW-155	ADDED_SEMANTICALLY_REQUIRED	INNOVATION	Network Capitalを蓄積し一朝一夕で海外pipelineを作れないようにする	CORRECTED
EVENT-PNN-006-ADDED-PW-156	EVENT	PNN-006		PW-156	ADDED_SEMANTICALLY_REQUIRED	INNOVATION	Knowledge Capitalを人材・実績・研究で蓄積する	CORRECTED
EVENT-PNN-006-ADDED-PW-157	EVENT	PNN-006		PW-157	ADDED_SEMANTICALLY_REQUIRED	INNOVATION	成功した組織人材を他球団が引き抜きノウハウが拡散する	CORRECTED
EVENT-PNN-006-ADDED-PW-175	EVENT	PNN-006		PW-175	ADDED_SEMANTICALLY_REQUIRED	WORLD_GROWTH	国ごとに人気/競技人口/施設/指導/league quality等のecosystem stateを持つ	CORRECTED
EVENT-PNN-006-ADDED-PW-177	EVENT	PNN-006		PW-177	ADDED_SEMANTICALLY_REQUIRED	WORLD_GROWTH	NPB球団が海外academy/coach/scout等で世界普及へ関与できる	CORRECTED
EVENT-PNN-007-PW-191	EVENT	PNN-007	PW-191	PW-191	RETAINED_SEMANTICALLY_CONSISTENT	GOVERNANCE	ボール反発係数やMLB球導入等の用具変更を可能にする	PASS
EVENT-PNN-007-PW-201	EVENT	PNN-007	PW-201		REMOVED_SEMANTICALLY_MISMATCHED	GOVERNANCE	球団数12を初期条件とし14/16等への拡張を可能にする	CORRECTED
EVENT-PNN-007-PW-205	EVENT	PNN-007	PW-205	PW-205	RETAINED_SEMANTICALLY_CONSISTENT	INTEGRITY	組織のcompliance/discipline/internal reporting等を持つ	PASS
EVENT-PNN-007-PW-213	EVENT	PNN-007	PW-213	PW-213	RETAINED_SEMANTICALLY_CONSISTENT	HISTORY	選手のdraft/二軍/一軍/海外/受賞/移籍/契約/代表/引退後staffを一生涯保存	PASS
EVENT-PNN-007-ADDED-PW-190	EVENT	PNN-007		PW-190	ADDED_SEMANTICALLY_REQUIRED	GOVERNANCE	DH/ABS/申告敬遠/牽制制限/base size/延長/tie-break等を変更可能	CORRECTED
EVENT-PNN-007-ADDED-PW-193	EVENT	PNN-007		PW-193	ADDED_SEMANTICALLY_REQUIRED	GOVERNANCE	Rule Proposal Engineで提案主体/目的/試験/採決/施行/副作用/再改正を一般化	CORRECTED
EVENT-PNN-007-ADDED-PW-207	EVENT	PNN-007		PW-207	ADDED_SEMANTICALLY_REQUIRED	INTEGRITY	規律違反/ハラスメント/窃盗/賭博/八百長/裏金等をスパイスとして扱う	CORRECTED
EVENT-PNN-007-ADDED-PW-209	EVENT	PNN-007		PW-209	ADDED_SEMANTICALLY_REQUIRED	INTEGRITY	不祥事に注意/謹慎/降格/出場停止/解除/pick剥奪/球団制裁等の結果を持つ	CORRECTED
EVENT-PNN-007-ADDED-PW-212	EVENT	PNN-007		PW-212	ADDED_SEMANTICALLY_REQUIRED	INTEGRITY	球団の隠蔽/厳正対応で長期評判影響を変える	CORRECTED
EVENT-PNN-007-ADDED-PW-214	EVENT	PNN-007		PW-214	ADDED_SEMANTICALLY_REQUIRED	HISTORY	球団の順位/人事/補強/革新/不祥事/制度議論等を球団史に保存	CORRECTED
EVENT-PNN-007-ADDED-PW-216	EVENT	PNN-007		PW-216	ADDED_SEMANTICALLY_REQUIRED	HISTORY	ニュースで数字を物語化する	CORRECTED
EVENT-PNN-008-PW-055	EVENT	PNN-008	PW-055	PW-055	RETAINED_SEMANTICALLY_CONSISTENT	DRAFT	ドラフト候補の真の能力とスカウト評価を分離する	PASS
EVENT-PNN-008-PW-094	EVENT	PNN-008	PW-094	PW-094	RETAINED_SEMANTICALLY_CONSISTENT	CPU	成功した選手タイプの市場価格が上昇する	PASS
EVENT-PNN-008-PW-169	EVENT	PNN-008	PW-169		REMOVED_SEMANTICALLY_MISMATCHED	GLOBAL	キューバ選手の海外契約自由度・連盟関与等を制度stateとして持つ	CORRECTED
EVENT-PNN-008-PW-171	EVENT	PNN-008	PW-171		REMOVED_SEMANTICALLY_MISMATCHED	GLOBAL	キューバ等の国外移住/連盟離脱を高レベルcareer eventとして扱う	CORRECTED
EVENT-PNN-008-PW-251	EVENT	PNN-008	PW-251	PW-251	RETAINED_SEMANTICALLY_CONSISTENT	DEVELOPMENT	重点育成は能力の直接交換ではなく有限な練習注意資源の配分trade-offと選手ごとの隠れた反応差を持つ案を保持する	PASS
EVENT-PNN-008-ADDED-PW-103	EVENT	PNN-008		PW-103	ADDED_SEMANTICALLY_REQUIRED	IDENTITY	年俸より出場機会を求めるFAを可能にする	CORRECTED
EVENT-PNN-008-ADDED-PW-104	EVENT	PNN-008		PW-104	ADDED_SEMANTICALLY_REQUIRED	IDENTITY	海外志向・家族・地元・優勝・安定・role等を選手ごとに異なるweightで持つ	CORRECTED
EVENT-PNN-008-ADDED-PW-127	EVENT	PNN-008		PW-127	ADDED_SEMANTICALLY_REQUIRED	TRANSFER	戦力外→海外→復活→NPB復帰を可能にする	CORRECTED
EVENT-PNN-008-ADDED-PW-128	EVENT	PNN-008		PW-128	ADDED_SEMANTICALLY_REQUIRED	TRANSFER	戦力外後のKBO/CPBL/Mexico/独立等の進路を本人価値観で選択	CORRECTED
EVENT-PNN-008-ADDED-PW-160	EVENT	PNN-008		PW-160	ADDED_SEMANTICALLY_REQUIRED	GLOBAL	海外を外国人候補生成器でなく生きたGlobal Baseball Worldにする	CORRECTED
EVENT-PNN-008-ADDED-PW-163	EVENT	PNN-008		PW-163	ADDED_SEMANTICALLY_REQUIRED	GLOBAL	2026のAA有望株が後年MLB昇格・WBC代表になるcareerを可能にする	CORRECTED
EVENT-PNN-008-ADDED-PW-239	EVENT	PNN-008		PW-239	ADDED_SEMANTICALLY_REQUIRED	GLOBAL	NPBの外国人候補一覧は世界から切り離されたランダム生成ではなくGlobal Baseball Worldに実在する選手からスカウト結果として作る	CORRECTED
EVENT-PNN-008-ADDED-PW-242	EVENT	PNN-008		PW-242	ADDED_SEMANTICALLY_REQUIRED	GLOBAL	外国人のNPB適応を固定のNPB適応能力1個で決めず underlying skill・役割・league差・環境適応等から自然発生させる	CORRECTED
EVENT-PNN-008-ADDED-PW-255	EVENT	PNN-008		PW-255	ADDED_SEMANTICALLY_REQUIRED	REPUTATION	戦力外・伸び悩み選手を何度も再生した球団には結果から再生工場的な評判が自然形成される	CORRECTED
EVENT-PNN-009-PW-145	EVENT	PNN-009	PW-145	PW-145	RETAINED_SEMANTICALLY_CONSISTENT	INNOVATION	球団固有の革新的な獲得・育成・分析施策を大量に導入する	PASS
EVENT-PNN-009-PW-153	EVENT	PNN-009	PW-153	PW-153	RETAINED_SEMANTICALLY_CONSISTENT	INNOVATION	AI活用・AI開発・映像解析・scouting・mechanics等を継続革新領域にする	PASS
EVENT-PNN-009-PW-157	EVENT	PNN-009	PW-157	PW-157	RETAINED_SEMANTICALLY_CONSISTENT	INNOVATION	成功した組織人材を他球団が引き抜きノウハウが拡散する	PASS
EVENT-PNN-009-PW-158	EVENT	PNN-009	PW-158	PW-158	RETAINED_SEMANTICALLY_CONSISTENT	INNOVATION	新施策をスタッフが提案しユーザーが承認/実験/却下可能	PASS
EVENT-PNN-009-PW-171	EVENT	PNN-009	PW-171		REMOVED_SEMANTICALLY_MISMATCHED	GLOBAL	キューバ等の国外移住/連盟離脱を高レベルcareer eventとして扱う	CORRECTED
EVENT-PNN-009-ADDED-PW-155	EVENT	PNN-009		PW-155	ADDED_SEMANTICALLY_REQUIRED	INNOVATION	Network Capitalを蓄積し一朝一夕で海外pipelineを作れないようにする	CORRECTED
EVENT-PNN-009-ADDED-PW-156	EVENT	PNN-009		PW-156	ADDED_SEMANTICALLY_REQUIRED	INNOVATION	Knowledge Capitalを人材・実績・研究で蓄積する	CORRECTED
EVENT-PNN-009-ADDED-PW-168	EVENT	PNN-009		PW-168	ADDED_SEMANTICALLY_REQUIRED	GLOBAL	国・地域ごとに異なる契約/移籍/政府/連盟制度を持つ	CORRECTED
EVENT-PNN-009-ADDED-PW-175	EVENT	PNN-009		PW-175	ADDED_SEMANTICALLY_REQUIRED	WORLD_GROWTH	国ごとに人気/競技人口/施設/指導/league quality等のecosystem stateを持つ	CORRECTED
EVENT-PNN-009-ADDED-PW-177	EVENT	PNN-009		PW-177	ADDED_SEMANTICALLY_REQUIRED	WORLD_GROWTH	NPB球団が海外academy/coach/scout等で世界普及へ関与できる	CORRECTED
EVENT-PNN-010-PW-117	EVENT	PNN-010	PW-117		REMOVED_SEMANTICALLY_MISMATCHED	RESEARCH	試合中の1巡目→2巡目→3巡目で相手学習を持つ	CORRECTED
EVENT-PNN-010-PW-120	EVENT	PNN-010	PW-120		REMOVED_SEMANTICALLY_MISMATCHED	RESEARCH	球団ごとに事前分析/映像/初見対応/試合中調整力を持つ	CORRECTED
EVENT-PNN-010-PW-190	EVENT	PNN-010	PW-190	PW-190	RETAINED_SEMANTICALLY_CONSISTENT	GOVERNANCE	DH/ABS/申告敬遠/牽制制限/base size/延長/tie-break等を変更可能	PASS
EVENT-PNN-010-PW-192	EVENT	PNN-010	PW-192	PW-192	RETAINED_SEMANTICALLY_CONSISTENT	GOVERNANCE	ルール変更は能力値直接補正でなくengine物理/確率条件へ作用	PASS
EVENT-PNN-010-PW-193	EVENT	PNN-010	PW-193	PW-193	RETAINED_SEMANTICALLY_CONSISTENT	GOVERNANCE	Rule Proposal Engineで提案主体/目的/試験/採決/施行/副作用/再改正を一般化	PASS
EVENT-PNN-010-PW-194	EVENT	PNN-010	PW-194	PW-194	RETAINED_SEMANTICALLY_CONSISTENT	GOVERNANCE	MiLB/二軍等で将来ルールを試験導入できる	PASS
EVENT-PNN-011-PW-121	EVENT	PNN-011	PW-121		REMOVED_SEMANTICALLY_MISMATCHED	RESEARCH	特定打者/投手への重点対策をユーザーが指定可能	CORRECTED
EVENT-PNN-011-PW-122	EVENT	PNN-011	PW-122		REMOVED_SEMANTICALLY_MISMATCHED	RESEARCH	研究資源を有限にして重点対象とのtrade-offを作る	CORRECTED
EVENT-PNN-011-PW-125	EVENT	PNN-011	PW-125		REMOVED_SEMANTICALLY_MISMATCHED	TRANSFER	大型FA失敗も同じcontextual systemから自然発生	CORRECTED
EVENT-PNN-011-PW-130	EVENT	PNN-011	PW-130		REMOVED_SEMANTICALLY_MISMATCHED	CONTRACT	起用約束を破ると本人不満・球団信頼低下	CORRECTED
EVENT-PNN-011-PW-197	EVENT	PNN-011	PW-197	PW-197	RETAINED_SEMANTICALLY_CONSISTENT	GOVERNANCE	draft pick trade/compensation/pick forfeiture等も制度軸にする	PASS
EVENT-PNN-011-PW-198	EVENT	PNN-011	PW-198	PW-198	RETAINED_SEMANTICALLY_CONSISTENT	GOVERNANCE	制度変更に施行日・経過措置・対象世代を持たせる	PASS
EVENT-PNN-011-PW-229	EVENT	PNN-011	PW-229		REMOVED_SEMANTICALLY_MISMATCHED	QA	hidden rubber-band catch-up補正を使わない	CORRECTED
EVENT-PNN-011-ADDED-PW-188	EVENT	PNN-011		PW-188	ADDED_SEMANTICALLY_REQUIRED	GOVERNANCE	選手会を正式な制度主体として実装する	CORRECTED
EVENT-PNN-011-ADDED-PW-189	EVENT	PNN-011		PW-189	ADDED_SEMANTICALLY_REQUIRED	GOVERNANCE	FA年数短縮等を選手会/球団/NPBの交渉で変更可能	CORRECTED
EVENT-PNN-011-ADDED-PW-190	EVENT	PNN-011		PW-190	ADDED_SEMANTICALLY_REQUIRED	GOVERNANCE	DH/ABS/申告敬遠/牽制制限/base size/延長/tie-break等を変更可能	CORRECTED
EVENT-PNN-011-ADDED-PW-193	EVENT	PNN-011		PW-193	ADDED_SEMANTICALLY_REQUIRED	GOVERNANCE	Rule Proposal Engineで提案主体/目的/試験/採決/施行/副作用/再改正を一般化	CORRECTED
EVENT-PNN-011-ADDED-PW-195	EVENT	PNN-011		PW-195	ADDED_SEMANTICALLY_REQUIRED	GOVERNANCE	ドラフト制度を自由に変更可能なRule Engineにする	CORRECTED
EVENT-PNN-012-PW-060	EVENT	PNN-012	PW-060		REMOVED_SEMANTICALLY_MISMATCHED	DRAFT	毎週細かなscout point操作を要求しない	CORRECTED
EVENT-PNN-012-PW-061	EVENT	PNN-012	PW-061		REMOVED_SEMANTICALLY_MISMATCHED	DRAFT	少数の重点調査候補を指定できる	CORRECTED
EVENT-PNN-012-PW-197	EVENT	PNN-012	PW-197		REMOVED_SEMANTICALLY_MISMATCHED	GOVERNANCE	draft pick trade/compensation/pick forfeiture等も制度軸にする	CORRECTED
EVENT-PNN-012-PW-198	EVENT	PNN-012	PW-198	PW-198	RETAINED_SEMANTICALLY_CONSISTENT	GOVERNANCE	制度変更に施行日・経過措置・対象世代を持たせる	PASS
EVENT-PNN-012-PW-239	EVENT	PNN-012	PW-239		REMOVED_SEMANTICALLY_MISMATCHED	GLOBAL	NPBの外国人候補一覧は世界から切り離されたランダム生成ではなくGlobal Baseball Worldに実在する選手からスカウト結果として作る	CORRECTED
EVENT-PNN-012-PW-256	EVENT	PNN-012	PW-256	PW-256	RETAINED_SEMANTICALLY_CONSISTENT	GOVERNANCE	外国人枠・一軍登録可能数・支配下/育成等のroster制度もRule Proposal Engineで将来変更可能にする	PASS
EVENT-PNN-012-ADDED-PW-237	EVENT	PNN-012		PW-237	ADDED_SEMANTICALLY_REQUIRED	TRADE	CPUは他球団で出場機会を失っている有望株や余剰戦力を認識し能動的にトレード獲得を狙う	CORRECTED
EVENT-PNN-013-PW-055	EVENT	PNN-013	PW-055		REMOVED_SEMANTICALLY_MISMATCHED	DRAFT	ドラフト候補の真の能力とスカウト評価を分離する	CORRECTED
EVENT-PNN-013-PW-056	EVENT	PNN-013	PW-056		REMOVED_SEMANTICALLY_MISMATCHED	DRAFT	CPUもhidden真値でなく自球団スカウト情報を使う	CORRECTED
EVENT-PNN-013-PW-057	EVENT	PNN-013	PW-057		REMOVED_SEMANTICALLY_MISMATCHED	DRAFT	全球団ごとに独自draft boardを持つ	CORRECTED
EVENT-PNN-013-PW-195	EVENT	PNN-013	PW-195	PW-195	RETAINED_SEMANTICALLY_CONSISTENT	GOVERNANCE	ドラフト制度を自由に変更可能なRule Engineにする	PASS
EVENT-PNN-013-PW-196	EVENT	PNN-013	PW-196	PW-196	RETAINED_SEMANTICALLY_CONSISTENT	GOVERNANCE	希望枠/自由入団枠/ウェイバー/lottery/NPB型抽選等を組替可能	PASS
EVENT-PNN-013-PW-198	EVENT	PNN-013	PW-198	PW-198	RETAINED_SEMANTICALLY_CONSISTENT	GOVERNANCE	制度変更に施行日・経過措置・対象世代を持たせる	PASS
EVENT-PNN-013-ADDED-PW-199	EVENT	PNN-013		PW-199	ADDED_SEMANTICALLY_REQUIRED	GOVERNANCE	制度の抜け道をユーザー/CPUが利用し頻発すれば論争・改正へ進む	CORRECTED
EVENT-PNN-013-ADDED-PW-240	EVENT	PNN-013		PW-240	ADDED_SEMANTICALLY_REQUIRED	GLOBAL	同一の海外選手をNPB・MLB・KBO・CPBL等の複数市場が同時に評価・交渉しNPBが常に獲得できるわけではない	CORRECTED
EVENT-PNN-014-PW-074	EVENT	PNN-014	PW-074	PW-074	RETAINED_SEMANTICALLY_CONSISTENT	DRAFT	ドラフト時の世間評価/自球団評価/指名順位を永久保存	PASS
EVENT-PNN-014-PW-095	EVENT	PNN-014	PW-095	PW-095	RETAINED_SEMANTICALLY_CONSISTENT	VALUE	選手価値を試合戦力だけでなく将来/mentor/leadership/info/commercial/fitへ広げる	PASS
EVENT-PNN-014-PW-197	EVENT	PNN-014	PW-197	PW-197	RETAINED_SEMANTICALLY_CONSISTENT	GOVERNANCE	draft pick trade/compensation/pick forfeiture等も制度軸にする	PASS
EVENT-PNN-014-PW-198	EVENT	PNN-014	PW-198	PW-198	RETAINED_SEMANTICALLY_CONSISTENT	GOVERNANCE	制度変更に施行日・経過措置・対象世代を持たせる	PASS
EVENT-PNN-014-PW-213	EVENT	PNN-014	PW-213	PW-213	RETAINED_SEMANTICALLY_CONSISTENT	HISTORY	選手のdraft/二軍/一軍/海外/受賞/移籍/契約/代表/引退後staffを一生涯保存	PASS
EVENT-PNN-014-ADDED-PW-031	EVENT	PNN-014		PW-031	ADDED_SEMANTICALLY_REQUIRED	DEVELOPMENT	二軍年度成績・通算・タイトル・昇格履歴を保存する	CORRECTED
EVENT-PNN-014-ADDED-PW-032	EVENT	PNN-014		PW-032	ADDED_SEMANTICALLY_REQUIRED	DEVELOPMENT	育成方針は自然成長方向へのbiasとして使う	CORRECTED
EVENT-PNN-015-PW-149	EVENT	PNN-015	PW-149	PW-149	RETAINED_SEMANTICALLY_CONSISTENT	INNOVATION	ソフトバンク型3軍/4軍制を作れる	PASS
