player,player_id,team,usable_community_evidence,usable_claim_count,usable_source_event_count,attributable_author_origin_count,unattributed_source_event_count,youtube_rating_powerpro,youtube_rating_prospi,x_rating_powerpro,x_rating_prospi,physical_observation,aging_injury_recovery_context,gameplay_mechanics_only,baserunning_stealing_only,directional_rating_claim_count,community_verdict,powerpro_label_not_physical_teacher,community_not_numeric_speed_estimate
藤岡 裕大,41645136,千葉ロッテマリーンズ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
髙部 瑛斗,11215151,千葉ロッテマリーンズ,true,1,1,0,1,0,0,0,1,0,0,0,0,0,CONTEXT_ONLY,true,true
古賀 悠斗,81785155,埼玉西武ライオンズ,true,2,2,0,2,0,0,0,0,2,0,0,0,0,PHYSICAL_CONTEXT_ONLY,true,true
外崎 修汰,41245130,埼玉西武ライオンズ,true,1,1,0,1,0,0,0,1,0,0,0,0,0,CONTEXT_ONLY,true,true
源田 壮亮,71775134,埼玉西武ライオンズ,true,2,2,0,2,0,0,0,2,0,0,0,0,0,CONTEXT_ONLY,true,true
滝澤 夏央,51255155,埼玉西武ライオンズ,true,3,3,1,2,0,0,0,3,0,0,0,0,1,APPROPRIATE,true,true
石井 一成,21125134,埼玉西武ライオンズ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
ファビアン,43745150,広島東洋カープ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
モンテロ,53955150,広島東洋カープ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
名原 典彦,,広島東洋カープ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
坂倉 将吾,11915134,広島東洋カープ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
小園 海斗,01705138,広島東洋カープ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
矢野 雅哉,93395153,広島東洋カープ,true,1,1,0,1,0,0,1,0,0,0,0,0,1,TOO_LOW,true,true
秋山 翔吾,31135133,広島東洋カープ,true,1,1,0,1,0,0,1,0,0,0,0,0,1,TOO_LOW,true,true
菊池 涼介,61565135,広島東洋カープ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
野間 峻祥,01405130,広島東洋カープ,true,2,2,2,0,0,0,2,0,0,0,0,0,2,MIXED,true,true
サンタナ,53755153,東京ヤクルトスワローズ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
並木 秀尊,91695153,東京ヤクルトスワローズ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
中村 悠平,51255118,東京ヤクルトスワローズ,true,1,1,0,1,0,0,0,1,0,0,0,0,0,CONTEXT_ONLY,true,true
丸山 和郁,93195155,東京ヤクルトスワローズ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
古賀 優大,01705134,東京ヤクルトスワローズ,true,1,1,1,0,0,0,1,0,0,0,0,0,0,CONTEXT_ONLY,true,true
塩見 泰隆,71975136,東京ヤクルトスワローズ,true,6,6,0,6,0,0,0,2,3,0,0,0,0,PHYSICAL_CONTEXT_ONLY,true,true
岩田 幸宏,51355155,東京ヤクルトスワローズ,true,2,2,1,1,0,0,1,0,1,0,0,0,1,APPROPRIATE,true,true
長岡 秀樹,51455151,東京ヤクルトスワローズ,true,1,1,0,1,0,0,0,1,0,0,0,0,0,CONTEXT_ONLY,true,true
太田 光,71375138,東北楽天ゴールデンイーグルス,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
村林 一輝,41845132,東北楽天ゴールデンイーグルス,true,1,1,0,1,0,0,0,1,0,0,0,0,0,CONTEXT_ONLY,true,true
浅村 栄斗,51155118,東北楽天ゴールデンイーグルス,true,1,1,0,1,0,0,0,1,0,0,0,0,0,CONTEXT_ONLY,true,true
渡邊 佳明,73175138,東北楽天ゴールデンイーグルス,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
鈴木 大地,81985135,東北楽天ゴールデンイーグルス,true,1,1,0,1,0,0,0,1,0,0,0,0,0,CONTEXT_ONLY,true,true
京田 陽太,81585134,横浜DeNAベイスターズ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
佐野 恵太,91995134,横浜DeNAベイスターズ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
宮﨑 敏郎,51455137,横浜DeNAベイスターズ,true,1,1,0,1,0,0,1,0,0,0,0,0,1,TOO_HIGH,true,true
山本 祐大,23125136,横浜DeNAベイスターズ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
度会 隆輝,33535159,横浜DeNAベイスターズ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
林 琢真,91695157,横浜DeNAベイスターズ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
梶原 昂希,51555155,横浜DeNAベイスターズ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
牧 秀悟,13115153,横浜DeNAベイスターズ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
筒香 嘉智,41945131,横浜DeNAベイスターズ,true,5,5,0,5,0,1,1,3,0,0,0,0,0,CONTEXT_ONLY,true,true
蝦名 達夫,51555151,横浜DeNAベイスターズ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
今宮 健太,31335131,福岡ソフトバンクホークス,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
周東 佑京,21925136,福岡ソフトバンクホークス,true,4,4,3,1,0,0,1,1,0,0,0,0,0,CONTEXT_ONLY,true,true
山川 穂高,21425139,福岡ソフトバンクホークス,true,4,4,0,4,0,0,3,1,0,0,0,0,1,TOO_HIGH,true,true
柳田 悠岐,31835133,福岡ソフトバンクホークス,true,6,6,1,5,0,1,1,3,1,0,0,0,3,MIXED,true,true
柳町 達,73175151,福岡ソフトバンクホークス,true,1,1,0,1,0,0,0,1,0,0,0,0,0,CONTEXT_ONLY,true,true
栗原 陵矢,01705130,福岡ソフトバンクホークス,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
正木 智也,81885155,福岡ソフトバンクホークス,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
海野 隆司,81385151,福岡ソフトバンクホークス,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
牧原 大成,61465133,福岡ソフトバンクホークス,true,2,2,0,2,0,0,1,1,0,0,0,0,0,CONTEXT_ONLY,true,true
近藤 健介,41745135,福岡ソフトバンクホークス,true,4,4,1,3,0,0,1,2,0,0,0,0,0,CONTEXT_ONLY,true,true
丸 佳浩,21425116,読売ジャイアンツ,true,1,1,0,1,0,0,1,0,0,0,0,0,1,APPROPRIATE,true,true
佐々木 俊輔,51955159,読売ジャイアンツ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
吉川 尚輝,73375134,読売ジャイアンツ,true,2,2,0,2,0,0,1,0,0,0,0,0,1,TOO_HIGH,true,true
大城 卓三,21325136,読売ジャイアンツ,true,1,1,0,1,0,0,1,0,0,0,0,0,1,APPROPRIATE,true,true
岸田 行倫,91595136,読売ジャイアンツ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
松本 剛,21625135,読売ジャイアンツ,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
中野 拓夢,41445153,阪神タイガース,false,0,0,0,0,0,0,0,0,0,0,1,0,0,INSUFFICIENT,true,true
伏見 寅威,61065137,阪神タイガース,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
佐藤 輝明,41045153,阪神タイガース,true,4,4,2,2,0,0,3,0,1,0,0,0,0,PHYSICAL_CONTEXT_ONLY,true,true
坂本 誠志郎,11915132,阪神タイガース,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
大山 悠輔,21325134,阪神タイガース,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
小幡 竜平,31535138,阪神タイガース,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
木浪 聖也,31735138,阪神タイガース,true,1,1,0,1,0,0,1,0,0,0,0,0,1,APPROPRIATE,true,true
梅野 隆太郎,21325139,阪神タイガース,false,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFFICIENT,true,true
森下 翔太,43145157,阪神タイガース,true,2,2,2,0,0,0,2,0,0,0,0,0,1,TOO_LOW,true,true
