queue_row_key,queue_order,player,team,stable_player_key,production_player_id,canonical_crosswalk_key,identity_status,batting_coverage,sp100_selection,npb_plus_top_speed_kmh,npb_top_speed_z,rank_fastest_in_current_100,provisional_display_point,measurement_reliability,existing_provisional_physical_point,existing_provisional_t90,sp022_state,sp022_value_z,sp022_sigma,sp075_active_context,sp075_active_source_row_count,sp074_classification,source_best_evidence_tier,decision_usable_evidence_tier,owner_verdict_status,sp100_provisional,sp071_provisional
SP077:PROEYE:81585151,13,岡林 勇希,中日ドラゴンズ,PROEYE:81585151,81585151,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,32.5,0.709,26,85,NOT_IDENTIFIABLE,73.604,3.958616,COMPARABLE_2025_STATISTICAL_PROXY,0.9469,0.160222,false,0,TEMPORALLY_CONFOUNDED,B,HISTORICAL_PROFILE_HINT,NOT_ENTERED,false,true
SP077:PROEYE:31735132,14,木下 拓哉,中日ドラゴンズ,PROEYE:31735132,31735132,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,29.4,-1.7661,95,14.8,NOT_IDENTIFIABLE,45.781,4.273382,COMPARABLE_2025_STATISTICAL_PROXY,-0.5586,0.356441,false,0,TEMPORALLY_CONFOUNDED,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:03105157,15,村松 開人,中日ドラゴンズ,PROEYE:03105157,03105157,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,33.4,1.4276,9,100,NOT_IDENTIFIABLE,81.682,3.867233,COMPARABLE_2025_STATISTICAL_PROXY,0.3299,0.293606,false,0,TEMPORALLY_CONFOUNDED,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:91395132,16,板山 祐太郎,中日ドラゴンズ,PROEYE:91395132,91395132,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,32,0.3098,36,73.6,NOT_IDENTIFIABLE,69.117,4.009385,COMPARABLE_2025_STATISTICAL_PROXY,0.1198,0.288543,false,0,TEMPORALLY_CONFOUNDED,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:21025157,17,田中 幹也,中日ドラゴンズ,PROEYE:21025157,21025157,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,33.5,1.5074,7,100,NOT_IDENTIFIABLE,82.58,3.857079,COMPARABLE_2025_STATISTICAL_PROXY,0.7729,0.212175,false,0,TEMPORALLY_CONFOUNDED,B,HISTORICAL_PROFILE_HINT,NOT_ENTERED,false,true
SP077:PROEYE:91195151,18,石川 昂弥,中日ドラゴンズ,PROEYE:91195151,91195151,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,30.6,-0.808,75,42,NOT_IDENTIFIABLE,56.552,4.151537,COMPARABLE_2025_STATISTICAL_PROXY,-0.3664,0.439007,false,0,TEMPORALLY_CONFOUNDED,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:81685157,19,福永 裕基,中日ドラゴンズ,PROEYE:81685157,81685157,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,33,1.1082,13,96.3,NOT_IDENTIFIABLE,78.092,3.907848,COMPARABLE_2025_STATISTICAL_PROXY,0.8807,0.488641,false,0,TEMPORALLY_CONFOUNDED,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:31835134,20,細川 成也,中日ドラゴンズ,PROEYE:31835134,31835134,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,32.7,0.8687,20,89.5,NOT_IDENTIFIABLE,75.399,3.938309,COMPARABLE_2025_STATISTICAL_PROXY,-0.2704,0.196074,false,0,TEMPORALLY_CONFOUNDED,B,HISTORICAL_PROFILE_HINT,NOT_ENTERED,false,true
SP077:PROEYE:91095135,21,高橋 周平,中日ドラゴンズ,PROEYE:91095135,91095135,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,29.5,-1.6863,94,17.1,NOT_IDENTIFIABLE,46.679,4.263229,COMPARABLE_2025_STATISTICAL_PROXY,-0.62,0.387386,false,0,TEMPORALLY_CONFOUNDED,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:31435157,22,奈良間 大己,北海道日本ハムファイターズ,PROEYE:31435157,31435157,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,31.7,0.0703,42,66.9,NOT_IDENTIFIABLE,66.424,4.039846,COMPARABLE_2025_STATISTICAL_PROXY,0.3293,0.384116,false,0,TEMPORALLY_CONFOUNDED,B,STANDARDIZED_SHORT_DISTANCE_PRIOR,NOT_ENTERED,false,true
SP077:PROEYE:63165155,23,水野 達稀,北海道日本ハムファイターズ,PROEYE:63165155,63165155,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,33.4,1.4276,9,100,NOT_IDENTIFIABLE,81.682,3.867233,COMPARABLE_2025_STATISTICAL_PROXY,0.5551,0.222273,false,0,TEMPORALLY_CONFOUNDED,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:41545136,24,清宮 幸太郎,北海道日本ハムファイターズ,PROEYE:41545136,41545136,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,31.7,0.0703,42,66.9,NOT_IDENTIFIABLE,66.424,4.039846,COMPARABLE_2025_STATISTICAL_PROXY,-0.2214,0.168584,false,0,TEMPORALLY_CONFOUNDED,B,HISTORICAL_PROFILE_HINT,NOT_ENTERED,false,true
SP077:PROEYE:51055138,25,田宮 裕涼,北海道日本ハムファイターズ,PROEYE:51055138,51055138,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,32.4,0.6292,28,82.7,NOT_IDENTIFIABLE,72.707,3.96877,COMPARABLE_2025_STATISTICAL_PROXY,0.0782,0.244017,false,0,TEMPORALLY_CONFOUNDED,B,HISTORICAL_PROFILE_HINT,NOT_ENTERED,false,true
SP077:PROEYE:21925151,26,郡司 裕也,北海道日本ハムファイターズ,PROEYE:21925151,21925151,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,32.7,0.8687,20,89.5,NOT_IDENTIFIABLE,75.399,3.938309,COMPARABLE_2025_STATISTICAL_PROXY,0.0781,0.197441,true,1,TEMPORALLY_CONFOUNDED,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:31435138,27,野村 佑希,北海道日本ハムファイターズ,PROEYE:31435138,31435138,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,31.7,0.0703,42,66.9,NOT_IDENTIFIABLE,66.424,4.039846,COMPARABLE_2025_STATISTICAL_PROXY,-0.39,0.211011,false,0,TEMPORALLY_CONFOUNDED,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:03505133,28,ソト,千葉ロッテマリーンズ,PROEYE:03505133,03505133,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,30.1,-1.2072,91,30.7,NOT_IDENTIFIABLE,52.064,4.202306,MISSING_SAME_TIME_STATISTICAL_EVIDENCE,,,false,0,MISSING_EVIDENCE_NOT_CONFLICT,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:63065155,29,ポランコ,千葉ロッテマリーンズ,PROEYE:63065155,63065155,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,31.1,-0.4088,65,53.3,NOT_IDENTIFIABLE,61.039,4.100769,MISSING_SAME_TIME_STATISTICAL_EVIDENCE,,,true,1,MISSING_EVIDENCE_NOT_CONFLICT,A,STANDARDIZED_SHORT_DISTANCE_PRIOR,NOT_ENTERED,false,true
SP077:PROEYE:71075151,30,佐藤 都志也,千葉ロッテマリーンズ,PROEYE:71075151,71075151,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,31.3,-0.2491,59,57.8,NOT_IDENTIFIABLE,62.834,4.080461,COMPARABLE_2025_STATISTICAL_PROXY,-0.0207,0.268841,false,0,TEMPORALLY_CONFOUNDED,B,HISTORICAL_PROFILE_HINT,NOT_ENTERED,false,true
SP077:PROEYE:71275157,31,友杉 篤輝,千葉ロッテマリーンズ,PROEYE:71275157,71275157,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,32.7,0.8687,20,89.5,NOT_IDENTIFIABLE,75.399,3.938309,COMPARABLE_2025_STATISTICAL_PROXY,0.3769,0.226649,false,0,TEMPORALLY_CONFOUNDED,B,STANDARDIZED_SHORT_DISTANCE_PRIOR,NOT_ENTERED,false,true
SP077:PROEYE:81885136,32,安田 尚憲,千葉ロッテマリーンズ,PROEYE:81885136,81885136,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,29.6,-1.6064,93,19.4,NOT_IDENTIFIABLE,47.576,4.253075,COMPARABLE_2025_STATISTICAL_PROXY,-0.7143,0.216588,true,1,TEMPORALLY_CONFOUNDED,B,HISTORICAL_PROFILE_HINT,NOT_ENTERED,false,true
SP077:PROEYE:11715153,33,小川 龍成,千葉ロッテマリーンズ,PROEYE:11715153,11715153,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,33.4,1.4276,9,100,NOT_IDENTIFIABLE,81.682,3.867233,COMPARABLE_2025_STATISTICAL_PROXY,0.2438,0.282366,false,0,TEMPORALLY_CONFOUNDED,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:91895138,34,山口 航輝,千葉ロッテマリーンズ,PROEYE:91895138,91895138,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,31.9,0.2299,38,71.4,NOT_IDENTIFIABLE,68.219,4.019539,COMPARABLE_2025_STATISTICAL_PROXY,-0.3994,0.370237,true,2,TEMPORALLY_CONFOUNDED,B,HISTORICAL_PROFILE_HINT,NOT_ENTERED,false,true
SP077:PROEYE:11515139,35,岡 大海,千葉ロッテマリーンズ,PROEYE:11515139,11515139,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,32.6,0.7888,23,87.2,NOT_IDENTIFIABLE,74.502,3.948463,COMPARABLE_2025_STATISTICAL_PROXY,0.603,0.297396,false,0,TEMPORALLY_CONFOUNDED,B,HISTORICAL_PROFILE_HINT,NOT_ENTERED,false,true
SP077:PROEYE:31635138,36,藤原 恭大,千葉ロッテマリーンズ,PROEYE:31635138,31635138,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,33,1.1082,13,96.3,NOT_IDENTIFIABLE,78.092,3.907848,COMPARABLE_2025_STATISTICAL_PROXY,0.7648,0.190804,true,1,TEMPORALLY_CONFOUNDED,B,HISTORICAL_PROFILE_HINT,NOT_ENTERED,false,true
SP077:PROEYE:41645136,37,藤岡 裕大,千葉ロッテマリーンズ,PROEYE:41645136,41645136,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,30.8,-0.6483,70,46.5,NOT_IDENTIFIABLE,58.347,4.13123,COMPARABLE_2025_STATISTICAL_PROXY,-0.6552,0.209908,false,0,TEMPORALLY_CONFOUNDED,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:11215151,38,髙部 瑛斗,千葉ロッテマリーンズ,PROEYE:11215151,11215151,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,33.6,1.5873,5,100,NOT_IDENTIFIABLE,83.477,3.846925,COMPARABLE_2025_STATISTICAL_PROXY,1.2469,0.206915,false,0,TEMPORALLY_CONFOUNDED,B,HISTORICAL_PROFILE_HINT,NOT_ENTERED,false,true
SP077:PROEYE:81785155,39,古賀 悠斗,埼玉西武ライオンズ,PROEYE:81785155,81785155,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,30.6,-0.808,75,42,NOT_IDENTIFIABLE,56.552,4.151537,COMPARABLE_2025_STATISTICAL_PROXY,-0.61,0.223603,true,2,TEMPORALLY_CONFOUNDED,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:41245130,40,外崎 修汰,埼玉西武ライオンズ,PROEYE:41245130,41245130,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,32.3,0.5493,31,80.4,NOT_IDENTIFIABLE,71.809,3.978924,COMPARABLE_2025_STATISTICAL_PROXY,-0.1795,0.199093,false,0,TEMPORALLY_CONFOUNDED,B,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:71775134,41,源田 壮亮,埼玉西武ライオンズ,PROEYE:71775134,71775134,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,32.9,1.0284,17,94,NOT_IDENTIFIABLE,77.195,3.918001,COMPARABLE_2025_STATISTICAL_PROXY,0.9107,0.213344,false,0,TEMPORALLY_CONFOUNDED,B,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:51255155,42,滝澤 夏央,埼玉西武ライオンズ,PROEYE:51255155,51255155,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,33,1.1082,13,96.3,NOT_IDENTIFIABLE,78.092,3.907848,COMPARABLE_2025_STATISTICAL_PROXY,0.848,0.193852,false,0,TEMPORALLY_CONFOUNDED,B,HISTORICAL_PROFILE_HINT,NOT_ENTERED,false,true
SP077:PROEYE:21125134,43,石井 一成,埼玉西武ライオンズ,PROEYE:21125134,21125134,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,32.6,0.7888,23,87.2,NOT_IDENTIFIABLE,74.502,3.948463,COMPARABLE_2025_STATISTICAL_PROXY,0.1061,0.212466,false,0,TEMPORALLY_CONFOUNDED,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:43745150,44,ファビアン,広島東洋カープ,PROEYE:43745150,43745150,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,31.4,-0.1693,55,60.1,NOT_IDENTIFIABLE,63.732,4.070307,MISSING_SAME_TIME_STATISTICAL_EVIDENCE,,,false,0,MISSING_EVIDENCE_NOT_CONFLICT,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:53955150,45,モンテロ,広島東洋カープ,PROEYE:53955150,53955150,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,31.9,0.2299,38,71.4,NOT_IDENTIFIABLE,68.219,4.019539,MISSING_SAME_TIME_STATISTICAL_EVIDENCE,,,false,0,MISSING_EVIDENCE_NOT_CONFLICT,A,CURRENT_DIRECT_T90_CANDIDATE,NOT_ENTERED,false,true
SP077:BM_PLAYER:20230057,46,名原 典彦,広島東洋カープ,BM_PLAYER:20230057,,BM_PLAYER:20230057,IDENTITY_RESOLVED_BATTING_COVERAGE_MISSING,MISSING,N_PRIMARY_CURRENT_2026,33.7,1.6671,4,100,NOT_IDENTIFIABLE,0,0,MISSING_SAME_TIME_STATISTICAL_EVIDENCE,,,false,0,MISSING_EVIDENCE_NOT_CONFLICT,B,HISTORICAL_PROFILE_HINT,NOT_ENTERED,false,true
SP077:PROEYE:11915134,47,坂倉 将吾,広島東洋カープ,PROEYE:11915134,11915134,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,30.6,-0.808,75,42,NOT_IDENTIFIABLE,56.552,4.151537,COMPARABLE_2025_STATISTICAL_PROXY,-0.3475,0.203055,false,0,TEMPORALLY_CONFOUNDED,B,HISTORICAL_PROFILE_HINT,NOT_ENTERED,false,true
SP077:PROEYE:01705138,48,小園 海斗,広島東洋カープ,PROEYE:01705138,01705138,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,31.5,-0.0894,53,62.3,NOT_IDENTIFIABLE,64.629,4.060154,COMPARABLE_2025_STATISTICAL_PROXY,0.3871,0.169235,false,0,TEMPORALLY_CONFOUNDED,B,HISTORICAL_PROFILE_HINT,NOT_ENTERED,false,true
SP077:PROEYE:93395153,49,矢野 雅哉,広島東洋カープ,PROEYE:93395153,93395153,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,30.7,-0.7282,72,44.2,NOT_IDENTIFIABLE,57.449,4.141384,COMPARABLE_2025_STATISTICAL_PROXY,0.7841,0.221308,false,0,TEMPORALLY_CONFOUNDED,B,HISTORICAL_PROFILE_HINT,NOT_ENTERED,false,true
SP077:PROEYE:31135133,50,秋山 翔吾,広島東洋カープ,PROEYE:31135133,31135133,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,31.6,-0.0096,49,64.6,NOT_IDENTIFIABLE,65.527,4.05,COMPARABLE_2025_STATISTICAL_PROXY,0.4157,0.317723,false,0,TEMPORALLY_CONFOUNDED,A,STANDARDIZED_SHORT_DISTANCE_PRIOR,NOT_ENTERED,false,true
SP077:PROEYE:61565135,51,菊池 涼介,広島東洋カープ,PROEYE:61565135,61565135,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,31.8,0.1501,41,69.1,NOT_IDENTIFIABLE,67.322,4.029693,COMPARABLE_2025_STATISTICAL_PROXY,0.3005,0.205602,false,0,TEMPORALLY_CONFOUNDED,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:01405130,52,野間 峻祥,広島東洋カープ,PROEYE:01405130,01405130,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,31.7,0.0703,42,66.9,NOT_IDENTIFIABLE,66.424,4.039846,COMPARABLE_2025_STATISTICAL_PROXY,0.6933,0.309646,true,2,TEMPORALLY_CONFOUNDED,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:53755153,53,サンタナ,東京ヤクルトスワローズ,PROEYE:53755153,53755153,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,30.8,-0.6483,70,46.5,NOT_IDENTIFIABLE,58.347,4.13123,MISSING_SAME_TIME_STATISTICAL_EVIDENCE,,,false,0,MISSING_EVIDENCE_NOT_CONFLICT,A,STANDARDIZED_SHORT_DISTANCE_PRIOR,NOT_ENTERED,false,true
SP077:PROEYE:91695153,54,並木 秀尊,東京ヤクルトスワローズ,PROEYE:91695153,91695153,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,33.8,1.747,3,100,NOT_IDENTIFIABLE,85.272,3.826618,COMPARABLE_2025_STATISTICAL_PROXY,1.6506,0.348833,false,0,TEMPORALLY_CONFOUNDED,B,HISTORICAL_PROFILE_HINT,NOT_ENTERED,false,true
SP077:PROEYE:51255118,55,中村 悠平,東京ヤクルトスワローズ,PROEYE:51255118,51255118,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,30.4,-0.9677,84,37.5,NOT_IDENTIFIABLE,54.757,4.171845,COMPARABLE_2025_STATISTICAL_PROXY,-0.7051,0.270565,false,0,TEMPORALLY_CONFOUNDED,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
SP077:PROEYE:93195155,56,丸山 和郁,東京ヤクルトスワローズ,PROEYE:93195155,93195155,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,32.4,0.6292,28,82.7,NOT_IDENTIFIABLE,72.707,3.96877,COMPARABLE_2025_STATISTICAL_PROXY,0.4951,0.572388,false,0,TEMPORALLY_CONFOUNDED,B,HISTORICAL_PROFILE_HINT,NOT_ENTERED,false,true
SP077:PROEYE:01705134,57,古賀 優大,東京ヤクルトスワローズ,PROEYE:01705134,01705134,,SOURCE_PLAYER_ID_PRESENT,NOT_EVALUATED_BY_SP098,N_PRIMARY_CURRENT_2026,32.1,0.3896,33,75.9,NOT_IDENTIFIABLE,70.014,3.999231,COMPARABLE_2025_STATISTICAL_PROXY,-0.8761,0.237,true,1,TEMPORALLY_CONFOUNDED,unknown,SPRINT_ONLY,NOT_ENTERED,false,true
