player,player_id,team,current_100,n_records,origin_count,reaction_volume,n_rating,n_directional_rating,n_speed_specific_physical,n_general_context,top_directions
山本 祐大,23125136,横浜DeNAベイスターズ,1,0,0,0,0,0,0,0,
度会 隆輝,33535159,横浜DeNAベイスターズ,1,0,0,0,0,0,0,0,
林 琢真,91695157,横浜DeNAベイスターズ,1,0,0,0,0,0,0,0,
梶原 昂希,51555155,横浜DeNAベイスターズ,1,0,0,0,0,0,0,0,
牧 秀悟,13115153,横浜DeNAベイスターズ,1,3,3,3484,1,0,0,0,UNCLEAR
筒香 嘉智,41945131,横浜DeNAベイスターズ,1,8,8,3023,6,5,1,1,EXPLICIT_PROPOSED_VALUE|UNCLEAR|COMPARISON_ONLY
蝦名 達夫,51555151,横浜DeNAベイスターズ,1,0,0,0,0,0,0,0,
今宮 健太,31335131,福岡ソフトバンクホークス,1,3,3,11,2,1,0,1,UNCLEAR|EXPLICIT_PROPOSED_VALUE
周東 佑京,21925136,福岡ソフトバンクホークス,1,6,6,3,5,5,0,0,EXPLICIT_PROPOSED_VALUE|COMPARISON_ONLY|UNCLEAR
山川 穂高,21425139,福岡ソフトバンクホークス,1,5,5,20,4,3,0,0,EXPLICIT_PROPOSED_VALUE|UNCLEAR|TOO_HIGH
柳田 悠岐,31835133,福岡ソフトバンクホークス,1,7,7,262,4,4,2,1,APPROPRIATE|TOO_HIGH|EXPLICIT_PROPOSED_VALUE|UNCLEAR|AGING_NOT_REFLECTED
柳町 達,73175151,福岡ソフトバンクホークス,1,1,1,2,1,1,0,0,EXPLICIT_PROPOSED_VALUE
栗原 陵矢,01705130,福岡ソフトバンクホークス,1,0,0,0,0,0,0,0,
正木 智也,81885155,福岡ソフトバンクホークス,1,2,2,166,1,1,1,0,TOO_LOW|UNCLEAR
海野 隆司,81385151,福岡ソフトバンクホークス,1,0,0,0,0,0,0,0,
牧原 大成,61465133,福岡ソフトバンクホークス,1,3,3,20,3,1,0,0,EXPLICIT_PROPOSED_VALUE|UNCLEAR
近藤 健介,41745135,福岡ソフトバンクホークス,1,5,5,3520,4,3,0,0,EXPLICIT_PROPOSED_VALUE|UNCLEAR
丸 佳浩,21425116,読売ジャイアンツ,1,3,3,3,1,1,0,2,APPROPRIATE|UNCLEAR
佐々木 俊輔,51955159,読売ジャイアンツ,1,0,0,0,0,0,0,0,
吉川 尚輝,73375134,読売ジャイアンツ,1,2,2,1,2,2,0,0,TOO_HIGH|EXPLICIT_PROPOSED_VALUE
大城 卓三,21325136,読売ジャイアンツ,1,2,2,22,2,2,0,0,APPROPRIATE|COMPARISON_ONLY
岸田 行倫,91595136,読売ジャイアンツ,1,0,0,0,0,0,0,0,
松本 剛,21625135,読売ジャイアンツ,1,1,1,0,1,1,0,0,TOO_HIGH
中野 拓夢,41445153,阪神タイガース,1,1,1,0,1,1,0,0,TOO_LOW
伏見 寅威,61065137,阪神タイガース,1,0,0,0,0,0,0,0,
佐藤 輝明,41045153,阪神タイガース,1,4,4,1087,4,3,0,0,UNCLEAR|EXPLICIT_PROPOSED_VALUE|TOO_LOW
坂本 誠志郎,11915132,阪神タイガース,1,0,0,0,0,0,0,0,
大山 悠輔,21325134,阪神タイガース,1,2,2,0,2,1,0,0,UNCLEAR|TOO_LOW
小幡 竜平,31535138,阪神タイガース,1,0,0,0,0,0,0,0,
木浪 聖也,31735138,阪神タイガース,1,1,1,737,1,1,0,0,APPROPRIATE
梅野 隆太郎,21325139,阪神タイガース,1,0,0,0,0,0,0,0,
森下 翔太,43145157,阪神タイガース,1,3,3,419,2,1,0,0,UNCLEAR|TOO_LOW
