queue_order,stable_player_key,player_id,player,team,latent_speed_percentile_point,latent_speed_percentile_interval,provisional_practical_rating,provisional_practical_rating_interval,rank_fastest,rank_percentile,confidence,evidence_state,conflict_state,physical_family_count,physical_family_weights,missing_physical_lanes,material_evidence_ids,reasons,material_conflicts,change_vs_pre_sp079_project,pre_sp079_project_rating_for_comparison_only,powerpro_difference_for_qa_only,scale_status,owner_verdict_state,owner_verdict_count
11,PROEYE:51455153,51455153,土田 龍空,中日ドラゴンズ,0.3636,"[0.1536,0.5736]",36,"[15,57]",62,0.383838,LOW,SUPPORTED_ANALOG_OR_ORDINAL_RANGE,NONE,1,"{""PEAK"":1}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""SHORT_DISTANCE_30M_50M"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:51455153""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]",[],-26,62,-30,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
12,PROEYE:01305131,01305131,大島 洋平,中日ドラゴンズ,0.466876,"[0,1]",47,"[0,100]",49,0.515152,MEDIUM,DIRECT_MULTI_CONSTRUCT,NONE,2,"{""PEAK"":0.5,""ACCELERATION_H2F"":0.5}","[""DIRECT_T90_OR_STANDARDIZED_90FT"",""SHORT_DISTANCE_30M_50M"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:01305131"",""SP104-PHYS-0257"",""SP104-PHYS-0258""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""bounded acceleration/H2F evidence is present without treating H2F as T90"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""community physical observations are bounded context only"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]",[],-19,66,-27,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
13,PROEYE:81585151,81585151,岡林 勇希,中日ドラゴンズ,0.76245,"[0.2935,1]",76,"[29,100]",15,0.858586,MEDIUM,DIRECT_MULTI_CONSTRUCT,NONE,2,"{""PEAK"":0.5,""SHORT_DISTANCE"":0.5}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:81585151"",""SP104-PHYS-0256""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""native 30m/50m short-distance evidence is retained without distance conversion"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]",[],2,74,-5,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
14,PROEYE:31735132,31735132,木下 拓哉,中日ドラゴンズ,0.0303,"[0,0.2403]",3,"[0,24]",96,0.040404,LOW,SUPPORTED_ANALOG_OR_ORDINAL_RANGE,NONE,1,"{""PEAK"":1}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""SHORT_DISTANCE_30M_50M"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:31735132""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]",[],-43,46,-36,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
15,PROEYE:03105157,03105157,村松 開人,中日ドラゴンズ,0.912242,"[0.622331,1]",91,"[62,100]",3,0.979798,MEDIUM,DIRECT_MULTI_CONSTRUCT,NONE,2,"{""PEAK"":0.5,""SHORT_DISTANCE"":0.5}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:03105157"",""SP104-PHYS-0266""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""native 30m/50m short-distance evidence is retained without distance conversion"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]",[],9,82,11,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
16,PROEYE:91395132,91395132,板山 祐太郎,中日ドラゴンズ,0.6364,"[0.4264,0.8464]",64,"[43,85]",27,0.737374,LOW,SUPPORTED_ANALOG_OR_ORDINAL_RANGE,NONE,1,"{""PEAK"":1}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""SHORT_DISTANCE_30M_50M"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:91395132""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]",[],-5,69,-8,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
17,PROEYE:21025157,21025157,田中 幹也,中日ドラゴンズ,0.7709,"[0.1675,1]",77,"[17,100]",14,0.868687,VERY_LOW,UNRESOLVED,MATERIAL_DIRECT_CONFLICT,2,"{""PEAK"":0.5,""SHORT_DISTANCE"":0.5}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:21025157"",""SP104-PHYS-0444""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""native 30m/50m short-distance evidence is retained without distance conversion"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]","[""physical_family_spread=0.3168""]",-6,83,-6,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
18,PROEYE:91195151,91195151,石川 昂弥,中日ドラゴンズ,0.2121,"[0.0021,0.4221]",21,"[0,42]",74,0.262626,LOW,SUPPORTED_ANALOG_OR_ORDINAL_RANGE,NONE,1,"{""PEAK"":1}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""SHORT_DISTANCE_30M_50M"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:91195151""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]",[],-36,57,-20,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
19,PROEYE:81685157,81685157,福永 裕基,中日ドラゴンズ,0.8485,"[0.6385,1]",85,"[64,100]",8,0.929293,LOW,SUPPORTED_ANALOG_OR_ORDINAL_RANGE,NONE,1,"{""PEAK"":1}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""SHORT_DISTANCE_30M_50M"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:81685157""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]",[],7,78,21,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
20,PROEYE:31835134,31835134,細川 成也,中日ドラゴンズ,0.5002,"[0,1]",50,"[0,100]",44,0.565657,VERY_LOW,UNRESOLVED,MATERIAL_DIRECT_CONFLICT,2,"{""PEAK"":0.5,""SHORT_DISTANCE"":0.5}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:31835134"",""SP104-PHYS-0046"",""SP104-PHYS-0264""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""native 30m/50m short-distance evidence is retained without distance conversion"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]","[""physical_family_spread=0.5754""]",-25,75,-10,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
21,PROEYE:91095135,91095135,高橋 周平,中日ドラゴンズ,0.0606,"[0,0.2706]",6,"[0,27]",94,0.060606,LOW,SUPPORTED_ANALOG_OR_ORDINAL_RANGE,NONE,1,"{""PEAK"":1}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""SHORT_DISTANCE_30M_50M"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:91095135""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]",[],-41,47,-40,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
22,PROEYE:31435157,31435157,奈良間 大己,北海道日本ハムファイターズ,0.504982,"[0,1]",50,"[0,100]",42,0.585859,MEDIUM,DIRECT_MULTI_CONSTRUCT,NONE,2,"{""PEAK"":0.5,""SHORT_DISTANCE"":0.5}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:31435157"",""SP104-PHYS-0153"",""SP104-PHYS-0358"",""SP104-PHYS-0359""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""native 30m/50m short-distance evidence is retained without distance conversion"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]",[],-16,66,-14,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
23,PROEYE:63165155,63165155,水野 達稀,北海道日本ハムファイターズ,0.8889,"[0.6789,1]",89,"[68,100]",4,0.969697,LOW,SUPPORTED_ANALOG_OR_ORDINAL_RANGE,NONE,1,"{""PEAK"":1}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""SHORT_DISTANCE_30M_50M"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:63165155""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]",[],7,82,18,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
24,PROEYE:41545136,41545136,清宮 幸太郎,北海道日本ハムファイターズ,0.2939,"[0,0.7503]",29,"[0,75]",69,0.313131,VERY_LOW,UNRESOLVED,MATERIAL_DIRECT_CONFLICT,2,"{""PEAK"":0.5,""SHORT_DISTANCE"":0.5}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:41545136"",""SP104-PHYS-0092""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""native 30m/50m short-distance evidence is retained without distance conversion"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]","[""physical_family_spread=0.4628""]",-37,66,-27,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
25,PROEYE:51055138,51055138,田宮 裕涼,北海道日本ハムファイターズ,0.7071,"[0.4971,0.9171]",71,"[50,92]",19,0.818182,LOW,SUPPORTED_ANALOG_OR_ORDINAL_RANGE,NONE,1,"{""PEAK"":1}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""SHORT_DISTANCE_30M_50M"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:51055138""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]",[],-2,73,3,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
26,PROEYE:21925151,21925151,郡司 裕也,北海道日本ハムファイターズ,0.7879,"[0.5779,0.9979]",79,"[58,100]",13,0.878788,LOW,SUPPORTED_ANALOG_OR_ORDINAL_RANGE,NONE,1,"{""PEAK"":1}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""SHORT_DISTANCE_30M_50M"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:21925151""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""community physical observations are bounded context only"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]",[],4,75,18,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
27,PROEYE:31435138,31435138,野村 佑希,北海道日本ハムファイターズ,0.5253,"[0.3153,0.7353]",53,"[32,74]",37,0.636364,LOW,SUPPORTED_ANALOG_OR_ORDINAL_RANGE,NONE,1,"{""PEAK"":1}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""SHORT_DISTANCE_30M_50M"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:31435138""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]",[],-13,66,1,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
28,PROEYE:03505133,03505133,ソト,千葉ロッテマリーンズ,0.0909,"[0,0.3159]",9,"[0,32]",92,0.080808,LOW,NO_COMMON_SUPPORT_WIDE_INTERVAL,NONE,1,"{""PEAK"":1}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""SHORT_DISTANCE_30M_50M"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:03505133""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]",[],-43,52,-31,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
29,PROEYE:63065155,63065155,ポランコ,千葉ロッテマリーンズ,0.688998,"[0,1]",69,"[0,100]",21,0.79798,VERY_LOW,UNRESOLVED,MATERIAL_DIRECT_CONFLICT,3,"{""PEAK"":0.333333,""ACCELERATION_H2F"":0.333333,""END_TO_END_90FT"":0.333333}","[""SHORT_DISTANCE_30M_50M"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:63065155"",""SP104-PHYS-0133"",""SP104-PHYS-0139"",""MLBEXPOSUREH2F:PROEYE:63065155:2019:41"",""MLBEXPOSUREH2F:PROEYE:63065155:2020:42"",""SP104-PHYS-0145"",""MLB90:PROEYE:63065155:2015:34"",""MLB90:PROEYE:63065155:2016:35"",""MLB90:PROEYE:63065155:2017:36"",""MLB90:PROEYE:63065155:2018:37"",""MLB90:PROEYE:63065155:2021:38""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""bounded acceleration/H2F evidence is present without treating H2F as T90"",""direct or standardized 90ft evidence is present"",""same-player official MLB running evidence is used as season-bounded context"",""The Show is retained as external ordinal/context evidence only"",""valid analog common support is retained as bounded context only"",""community physical observations are bounded context only"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]","[""physical_family_spread=0.5489""]",8,61,6,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
30,PROEYE:71075151,71075151,佐藤 都志也,千葉ロッテマリーンズ,0.5032,"[0.2175,1]",50,"[22,100]",43,0.575758,MEDIUM,DIRECT_MULTI_CONSTRUCT,NONE,2,"{""PEAK"":0.5,""SHORT_DISTANCE"":0.5}","[""CURRENT_ACCELERATION_H2F"",""DIRECT_T90_OR_STANDARDIZED_90FT"",""MATCHED_MLB_RUNNING_SPLITS"",""THE_SHOW_SPEED_CONTEXT"",""AGE"",""INJURY""]","[""SP100:2026:PROEYE:71075151"",""SP104-PHYS-0342""]","[""current NPB+ peak speed is retained as a distinct peak lane"",""native 30m/50m short-distance evidence is retained without distance conversion"",""valid analog common support is retained as bounded context only"",""mixed statistical proxies are retained only as uncertainty/confounder context"",""missing physical lanes widen the interval; missingness is not interpreted as slow""]",[],-13,63,-21,PROVISIONAL_PENDING_SP071_SP072,NOT_ENTERED,0
