team,player,npb_plus_sprint_speed,direct_t90_count,10m_count,20m_count,30m_count,50m_count,60yd_count,t10ft_count,t30ft_count,t90ft_count,hp_to_1b_count,standardized_numeric_usable_count,standardized_prior_count,historical_profile_count,qualitative_profile_count,context_only_count,physical_measurement_count,pure_physical_no_data,best_evidence_tier,best_measurement_year,search_completed,search_query_count,independent_measurement_count,raw_record_count,no_data_found
千葉ロッテマリーンズ,ポランコ,31.1,1,0,0,0,0,0,1,1,1,0,0,2,2,0,0,4,false,A,2021,true,5,1,4,false
千葉ロッテマリーンズ,安田 尚憲,29.6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,false,B,,true,3,1,1,false
千葉ロッテマリーンズ,岡 大海,32.6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,false,B,,true,3,1,1,false
千葉ロッテマリーンズ,佐藤 都志也,31.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,false,B,,true,3,1,1,false
千葉ロッテマリーンズ,山口 航輝,31.9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,false,B,,true,3,1,1,false
千葉ロッテマリーンズ,小川 龍成,33.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
千葉ロッテマリーンズ,藤岡 裕大,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
千葉ロッテマリーンズ,藤原 恭大,33,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,false,B,2023,true,3,2,2,false
千葉ロッテマリーンズ,友杉 篤輝,32.7,0,0,0,0,2,0,0,0,0,1,0,1,1,0,1,2,false,B,2022,true,3,3,3,false
千葉ロッテマリーンズ,髙部 瑛斗,33.6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,false,B,,true,3,1,1,false
中日ドラゴンズ,カリステ,31.3,1,0,0,0,0,0,1,1,1,0,0,2,2,0,0,4,false,A,2017,true,5,1,4,false
中日ドラゴンズ,岡林 勇希,32.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,false,B,2019,true,3,1,1,false
中日ドラゴンズ,高橋 周平,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
中日ドラゴンズ,細川 成也,32.7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,false,B,,true,3,1,1,false
中日ドラゴンズ,石川 昂弥,30.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
中日ドラゴンズ,村松 開人,33.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
中日ドラゴンズ,大島 洋平,31.7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,true,B,2007,true,3,2,2,false
中日ドラゴンズ,田中 幹也,33.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,false,B,,true,3,1,1,false
中日ドラゴンズ,土田 龍空,31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
中日ドラゴンズ,板山 祐太郎,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
中日ドラゴンズ,福永 裕基,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
中日ドラゴンズ,木下 拓哉,29.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
東京ヤクルトスワローズ,サンタナ,30.8,1,0,0,0,0,0,1,1,1,0,0,2,2,0,0,4,false,A,2020,true,5,1,4,false
東京ヤクルトスワローズ,塩見 泰隆,32.3,0,0,0,1,0,0,0,0,0,2,0,0,1,0,2,1,false,B,2018,true,3,3,3,false
東京ヤクルトスワローズ,丸山 和郁,32.4,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,false,B,,true,3,2,2,false
東京ヤクルトスワローズ,岩田 幸宏,33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
東京ヤクルトスワローズ,古賀 優大,32.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
東京ヤクルトスワローズ,中村 悠平,30.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
東京ヤクルトスワローズ,長岡 秀樹,31.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
東京ヤクルトスワローズ,並木 秀尊,33.8,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,2,false,B,2022,true,3,3,3,false
東北楽天ゴールデンイーグルス,浅村 栄斗,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
東北楽天ゴールデンイーグルス,村林 一輝,34.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,false,B,2015,true,3,1,1,false
東北楽天ゴールデンイーグルス,太田 光,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
東北楽天ゴールデンイーグルス,渡邊 佳明,30.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
東北楽天ゴールデンイーグルス,鈴木 大地,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
読売ジャイアンツ,丸 佳浩,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
読売ジャイアンツ,岸田 行倫,29.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
読売ジャイアンツ,吉川 尚輝,32.5,0,0,0,0,1,0,0,0,0,2,0,0,1,0,2,1,false,B,2016,true,3,3,3,false
読売ジャイアンツ,佐々木 俊輔,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
読売ジャイアンツ,松本 剛,31.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,true,B,2022,true,3,1,1,false
読売ジャイアンツ,大城 卓三,29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
福岡ソフトバンクホークス,海野 隆司,30.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
福岡ソフトバンクホークス,近藤 健介,31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
福岡ソフトバンクホークス,栗原 陵矢,31.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,false,D,,true,3,1,1,false
福岡ソフトバンクホークス,今宮 健太,30.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
福岡ソフトバンクホークス,山川 穂高,29.4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,false,D,,true,3,1,1,false
福岡ソフトバンクホークス,周東 佑京,35,0,0,0,0,1,0,0,0,0,9,0,0,2,0,9,2,false,B,2024,true,3,11,11,false
福岡ソフトバンクホークス,正木 智也,31.1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,false,D,,true,3,1,1,false
福岡ソフトバンクホークス,牧原 大成,33.5,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,false,B,2019,true,3,2,2,false
福岡ソフトバンクホークス,柳町 達,31.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,false,D,,true,3,1,1,false
福岡ソフトバンクホークス,柳田 悠岐,32.1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,false,B,2009,true,3,2,2,false
北海道日本ハムファイターズ,郡司 裕也,32.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
北海道日本ハムファイターズ,水野 達稀,33.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
北海道日本ハムファイターズ,清宮 幸太郎,31.7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,false,B,,true,3,1,1,false
北海道日本ハムファイターズ,田宮 裕涼,32.4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,false,B,,true,3,1,1,false
北海道日本ハムファイターズ,奈良間 大己,31.7,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,2,false,B,2022,true,3,2,2,false
北海道日本ハムファイターズ,野村 佑希,31.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,unknown,,true,3,0,0,true
