player,canonical_player_id,game,youtube_candidate_count,accepted_or_contextual_claim_count,independent_origin_count,rating_powerpro_count,rating_prospi_count,too_high_count,too_low_count,physical_observation_count,gameplay_mechanics_count,ambiguous_or_sarcastic_count,missingness
福永 裕基,81685157,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
細川 成也,31835134,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
高橋 周平,91095135,,13,11,8,0,0,0,0,0,0,5,MAPPED_CLAIM_PRESENT_REQUIRES_INTEGRITY_REVIEW
奈良間 大己,31435157,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
水野 達稀,63165155,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
清宮 幸太郎,41545136,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
田宮 裕涼,51055138,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
郡司 裕也,21925151,,1,0,1,0,0,0,0,0,0,0,MAPPED_CLAIM_PRESENT_REQUIRES_INTEGRITY_REVIEW
野村 佑希,31435138,,8,5,8,0,0,0,0,0,0,2,MAPPED_CLAIM_PRESENT_REQUIRES_INTEGRITY_REVIEW
ソト,03505133,,5,5,1,0,0,0,0,0,0,4,MAPPED_CLAIM_PRESENT_REQUIRES_INTEGRITY_REVIEW
ポランコ,63065155,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
佐藤 都志也,71075151,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
友杉 篤輝,71275157,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
安田 尚憲,81885136,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
小川 龍成,11715153,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
山口 航輝,91895138,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
岡 大海,11515139,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
藤原 恭大,31635138,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
藤岡 裕大,41645136,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
髙部 瑛斗,11215151,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
古賀 悠斗,81785155,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
外崎 修汰,41245130,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
源田 壮亮,71775134,,4,4,4,0,0,0,0,0,0,1,MAPPED_CLAIM_PRESENT_REQUIRES_INTEGRITY_REVIEW
滝澤 夏央,51255155,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
石井 一成,21125134,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
ファビアン,43745150,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
モンテロ,53955150,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
名原 典彦,,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
坂倉 将吾,11915134,,1,1,1,0,0,0,0,0,0,1,MAPPED_CLAIM_PRESENT_REQUIRES_INTEGRITY_REVIEW
小園 海斗,01705138,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
矢野 雅哉,93395153,,1,1,1,0,0,0,0,0,0,0,MAPPED_CLAIM_PRESENT_REQUIRES_INTEGRITY_REVIEW
秋山 翔吾,31135133,,2,2,1,0,0,0,0,0,0,0,MAPPED_CLAIM_PRESENT_REQUIRES_INTEGRITY_REVIEW
菊池 涼介,61565135,,1,1,1,0,0,0,0,0,0,0,MAPPED_CLAIM_PRESENT_REQUIRES_INTEGRITY_REVIEW
野間 峻祥,01405130,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
サンタナ,53755153,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
並木 秀尊,91695153,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
中村 悠平,51255118,,20,18,9,0,0,0,0,0,0,3,MAPPED_CLAIM_PRESENT_REQUIRES_INTEGRITY_REVIEW
丸山 和郁,93195155,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
古賀 優大,01705134,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
塩見 泰隆,71975136,,1,1,1,0,0,0,0,0,0,1,MAPPED_CLAIM_PRESENT_REQUIRES_INTEGRITY_REVIEW
岩田 幸宏,51355155,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
長岡 秀樹,51455151,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
太田 光,71375138,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
村林 一輝,41845132,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
浅村 栄斗,51155118,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
渡邊 佳明,73175138,,1,0,1,0,0,0,0,0,0,0,MAPPED_CLAIM_PRESENT_REQUIRES_INTEGRITY_REVIEW
鈴木 大地,81985135,,12,12,9,0,0,0,0,0,0,4,MAPPED_CLAIM_PRESENT_REQUIRES_INTEGRITY_REVIEW
京田 陽太,81585134,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
佐野 恵太,91995134,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
宮﨑 敏郎,51455137,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
山本 祐大,23125136,,4,2,4,0,0,0,0,0,0,1,MAPPED_CLAIM_PRESENT_REQUIRES_INTEGRITY_REVIEW
度会 隆輝,33535159,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
林 琢真,91695157,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
梶原 昂希,51555155,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
牧 秀悟,13115153,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
筒香 嘉智,41945131,,4,4,4,0,0,0,0,0,0,0,MAPPED_CLAIM_PRESENT_REQUIRES_INTEGRITY_REVIEW
蝦名 達夫,51555151,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
今宮 健太,31335131,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
周東 佑京,21925136,,9,6,9,0,0,0,0,0,0,2,MAPPED_CLAIM_PRESENT_REQUIRES_INTEGRITY_REVIEW
山川 穂高,21425139,,2,2,2,0,0,0,0,0,0,1,MAPPED_CLAIM_PRESENT_REQUIRES_INTEGRITY_REVIEW
柳田 悠岐,31835133,,2,2,1,0,0,0,0,0,0,0,MAPPED_CLAIM_PRESENT_REQUIRES_INTEGRITY_REVIEW
柳町 達,73175151,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
栗原 陵矢,01705130,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
正木 智也,81885155,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
海野 隆司,81385151,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
牧原 大成,61465133,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
近藤 健介,41745135,,5,5,4,0,0,0,0,0,0,2,MAPPED_CLAIM_PRESENT_REQUIRES_INTEGRITY_REVIEW
丸 佳浩,21425116,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
佐々木 俊輔,51955159,,4,4,4,0,0,0,0,0,0,1,MAPPED_CLAIM_PRESENT_REQUIRES_INTEGRITY_REVIEW
吉川 尚輝,73375134,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
大城 卓三,21325136,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
岸田 行倫,91595136,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
松本 剛,21625135,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
中野 拓夢,41445153,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
伏見 寅威,61065137,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
佐藤 輝明,41045153,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
坂本 誠志郎,11915132,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
大山 悠輔,21325134,,2,2,1,0,0,0,0,0,0,1,MAPPED_CLAIM_PRESENT_REQUIRES_INTEGRITY_REVIEW
小幡 竜平,31535138,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
木浪 聖也,31735138,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
梅野 隆太郎,21325139,,0,0,0,0,0,0,0,0,0,0,NO_CURRENT_100_YOUTUBE_CLAIM
森下 翔太,43145157,,2,2,2,0,0,0,0,0,0,0,MAPPED_CLAIM_PRESENT_REQUIRES_INTEGRITY_REVIEW
