player,team,player_id,powerpro_match_status,powerpro_2026_speed,blind_v3_rating_unrounded,blind_v3_rating_rounded,final_freeze_rating,residual_a_rounded_blind_minus_powerpro,residual_b_final_freeze_minus_powerpro,npb_plus_top_speed_kmh,PA,full_effort_run_proxy_count,hp_to_1b_sec_current_npb_plus,primary_position,position_group,position_match_status,acceleration_subset_member,acceleration_classification,acceleration_classification_basis,npb_plus_exit_velo_max,npb_plus_hard_hit_pct,curated_historical_hp_to_1b_present
大島 洋平,中日ドラゴンズ,01305131,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,74,66.424,66,66,-8,-8,31.7,66,13,4.13,CF,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,166.4,10.2,false
岡林 勇希,中日ドラゴンズ,81585151,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,81,73.604,74,74,-7,-7,32.5,235,39,3.96,CF,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,179.1,26.7,false
木下 拓哉,中日ドラゴンズ,31735132,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,39,45.781,46,46,7,7,29.4,63,4,4.48,C,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,169.9,16.3,false
村松 開人,中日ドラゴンズ,03105157,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,80,81.682,82,82,2,2,33.4,413,55,3.98,SS,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,176.4,22.5,false
板山 祐太郎,中日ドラゴンズ,91395132,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,72,69.117,69,69,-3,-3,32,182,18,4,RF,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,176.4,44.2,false
田中 幹也,中日ドラゴンズ,21025157,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,83,82.58,83,83,0,0,33.5,247,48,3.79,2B,MIDDLE_NEUTRAL,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,169.5,5.9,false
石川 昂弥,中日ドラゴンズ,91195151,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,41,56.552,57,57,16,16,30.6,236,20,4.5,3B,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,180.2,51,false
福永 裕基,中日ドラゴンズ,81685157,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,64,78.092,78,78,14,14,33,256,31,4.03,3B,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,175.6,34.5,false
細川 成也,中日ドラゴンズ,31835134,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,60,75.399,75,75,15,15,32.7,429,37,4.24,LF,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,187.3,42.4,false
高橋 周平,中日ドラゴンズ,91095135,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,46,46.679,47,47,1,1,29.5,102,12,4.35,3B,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,174.9,18.3,false
奈良間 大己,北海道日本ハムファイターズ,31435157,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,64,66.424,66,67,2,3,31.7,192,22,4.1,2B,MIDDLE_NEUTRAL,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,177.2,23,false
水野 達稀,北海道日本ハムファイターズ,63165155,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,71,81.682,82,82,11,11,33.4,409,47,3.7,SS,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,174.3,38.2,false
清宮 幸太郎,北海道日本ハムファイターズ,41545136,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,56,66.424,66,66,10,10,31.7,363,42,4.14,1B,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,177.3,43.6,false
田宮 裕涼,北海道日本ハムファイターズ,51055138,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,68,72.707,73,73,5,5,32.4,236,35,3.74,C,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,174.3,24.7,false
郡司 裕也,北海道日本ハムファイターズ,21925151,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,61,75.399,75,75,14,14,32.7,284,29,4.05,3B,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,177,34.5,false
野村 佑希,北海道日本ハムファイターズ,31435138,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,52,66.424,66,66,14,14,31.7,302,25,4.37,LF,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,175.6,39.8,false
ソト,千葉ロッテマリーンズ,03505133,EXACT_TEAM_NORMALIZED_NAME_MATCH,40,52.064,52,52,12,12,30.1,302,29,4.66,1B,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,177.3,36.5,false
ポランコ,千葉ロッテマリーンズ,63065155,EXACT_TEAM_NORMALIZED_NAME_MATCH,63,61.039,61,63,-2,0,31.1,149,12,4.36,LF,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,182,40.2,false
佐藤 都志也,千葉ロッテマリーンズ,71075151,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,71,62.834,63,63,-8,-8,31.3,301,26,4.1,C,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,176.9,34.5,false
友杉 篤輝,千葉ロッテマリーンズ,71275157,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,87,75.399,75,75,-12,-12,32.7,270,35,4.09,SS,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,165.4,4.7,false
安田 尚憲,千葉ロッテマリーンズ,81885136,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,46,47.576,48,48,2,2,29.6,129,10,4.59,3B,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,172.8,47.5,false
小川 龍成,千葉ロッテマリーンズ,11715153,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,86,81.682,82,82,-4,-4,33.4,346,51,3.61,2B,MIDDLE_NEUTRAL,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,173.3,8.3,false
山口 航輝,千葉ロッテマリーンズ,91895138,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,52,68.219,68,68,16,16,31.9,243,17,4.37,LF,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,182.8,44.1,false
岡 大海,千葉ロッテマリーンズ,11515139,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,82,74.502,75,75,-7,-7,32.6,50,7,4.35,1B,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,171.4,25,false
藤原 恭大,千葉ロッテマリーンズ,31635138,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,85,78.092,78,78,-7,-7,33,278,31,4.01,RF,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,174.9,30.4,true
藤岡 裕大,千葉ロッテマリーンズ,41645136,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,65,58.347,58,58,-7,-7,30.8,26,3,4.4,2B,MIDDLE_NEUTRAL,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,173.2,41.2,false
髙部 瑛斗,千葉ロッテマリーンズ,11215151,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,90,83.477,83,83,-7,-7,33.6,130,31,3.85,,,NO_POSITION_ROW,false,,,173.8,22.7,false
古賀 悠斗,埼玉西武ライオンズ,81785155,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,47,56.552,57,57,10,10,30.6,193,30,4.44,C,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,170.8,37.4,false
外崎 修汰,埼玉西武ライオンズ,41245130,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,68,71.809,72,72,4,4,32.3,69,9,4.15,2B,MIDDLE_NEUTRAL,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,172.7,32.7,true
源田 壮亮,埼玉西武ライオンズ,71775134,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,80,77.195,77,77,-3,-3,32.9,209,27,3.99,SS,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,177.5,15.2,true
滝澤 夏央,埼玉西武ライオンズ,51255155,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,85,78.092,78,78,-7,-7,33,363,52,3.61,SS,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,171.2,7,false
石井 一成,埼玉西武ライオンズ,21125134,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,79,74.502,75,75,-4,-4,32.6,216,22,4.04,2B,MIDDLE_NEUTRAL,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,171.1,26.2,false
ファビアン,広島東洋カープ,43745150,EXACT_TEAM_NORMALIZED_NAME_MATCH,61,63.732,64,64,3,3,31.4,255,15,4.49,LF,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,180.6,40.1,false
モンテロ,広島東洋カープ,53955150,EXACT_TEAM_NORMALIZED_NAME_MATCH,49,68.219,68,52,19,3,31.9,251,13,4.55,1B,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,183.5,38,false
名原 典彦,広島東洋カープ,,NO_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,,,,84,,,33.7,222,28,3.71,RF,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,174.8,23.4,false
坂倉 将吾,広島東洋カープ,11915134,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,68,56.552,57,57,-11,-11,30.6,383,38,4.14,1B,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,176.5,36.1,false
小園 海斗,広島東洋カープ,01705138,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,79,64.629,65,65,-14,-14,31.5,382,49,3.98,SS,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,175.4,32.2,false
矢野 雅哉,広島東洋カープ,93395153,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,78,57.449,57,57,-21,-21,30.7,58,15,4.2,SS,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,166.7,11.8,false
秋山 翔吾,広島東洋カープ,31135133,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,77,65.527,66,67,-11,-10,31.6,134,9,4.06,LF,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,170.8,35.4,false
菊池 涼介,広島東洋カープ,61565135,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,72,67.322,67,67,-5,-5,31.8,353,36,4.09,2B,MIDDLE_NEUTRAL,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,171.4,19,false
野間 峻祥,広島東洋カープ,01405130,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,88,66.424,66,66,-22,-22,31.7,86,8,3.95,RF,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,177,17.2,false
サンタナ,東京ヤクルトスワローズ,53755153,EXACT_TEAM_NORMALIZED_NAME_MATCH,47,58.347,58,58,11,11,30.8,357,40,4.56,LF,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,179.1,43.9,false
並木 秀尊,東京ヤクルトスワローズ,91695153,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,97,85.272,85,85,-12,-12,33.8,45,6,4.1,CF,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,174.5,27,false
中村 悠平,東京ヤクルトスワローズ,51255118,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,56,54.757,55,55,-1,-1,30.4,65,8,4.63,C,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,169,14.5,false
丸山 和郁,東京ヤクルトスワローズ,93195155,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,86,72.707,73,73,-13,-13,32.4,112,10,3.76,RF,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,171.4,27.8,false
古賀 優大,東京ヤクルトスワローズ,01705134,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,46,70.014,70,70,24,24,32.1,252,27,4.08,C,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,182.8,16,false
塩見 泰隆,東京ヤクルトスワローズ,71975136,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,83,71.809,72,72,-11,-11,32.3,83,8,4.35,RF,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,170.8,30,false
岩田 幸宏,東京ヤクルトスワローズ,51355155,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,96,83.477,83,83,-13,-13,33.6,330,50,3.59,CF,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,176.1,18.2,false
長岡 秀樹,東京ヤクルトスワローズ,51455151,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,58,65.527,66,66,8,8,31.6,355,55,4.01,SS,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,171.7,26.5,false
太田 光,東北楽天ゴールデンイーグルス,71375138,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,44,55.654,56,56,12,12,30.5,204,23,4.41,C,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,,29.3,false
村林 一輝,東北楽天ゴールデンイーグルス,41845132,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,69,91.555,92,92,23,23,34.5,386,63,4.15,SS,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,174.5,30.6,false
浅村 栄斗,東北楽天ゴールデンイーグルス,51155118,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,35,55.654,56,56,21,21,30.5,333,27,4.63,1B,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,180.6,36.6,false
渡邊 佳明,東北楽天ゴールデンイーグルス,73175138,EXACT_TEAM_NORMALIZED_NAME_MATCH,50,53.859,54,54,4,4,30.3,140,12,4.12,1B,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,169.1,15.2,false
鈴木 大地,東北楽天ゴールデンイーグルス,81985135,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,49,42.191,42,42,-7,-7,29,55,5,4.48,1B,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,156.1,4.9,false
京田 陽太,横浜DeNAベイスターズ,81585134,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,78,61.039,61,61,-17,-17,31.1,119,19,4.06,SS,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,169.1,21.7,false
佐野 恵太,横浜DeNAベイスターズ,91995134,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,48,56.552,57,57,9,9,30.6,396,57,4.2,1B,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,177.3,40.1,false
宮﨑 敏郎,横浜DeNAベイスターズ,51455137,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,33,53.859,54,54,21,21,30.3,267,31,4.48,,,NO_POSITION_ROW,false,,,175.6,41.1,false
山本 祐大,横浜DeNAベイスターズ,23125136,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,61,60.142,60,60,-1,-1,31,184,25,4.18,C,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,,17.4,false
度会 隆輝,横浜DeNAベイスターズ,33535159,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,65,66.424,66,66,1,1,31.7,317,33,3.92,RF,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,173,36.3,false
林 琢真,横浜DeNAベイスターズ,91695157,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,82,69.117,69,74,-13,-8,32,104,8,4.07,2B,MIDDLE_NEUTRAL,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,173.6,23.9,false
梶原 昂希,横浜DeNAベイスターズ,51555155,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,90,81.682,82,82,-8,-8,33.4,73,7,3.77,CF,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,170.1,31.9,false
牧 秀悟,横浜DeNAベイスターズ,13115153,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,67,65.527,66,66,-1,-1,31.6,288,36,4.38,2B,MIDDLE_NEUTRAL,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,177.2,44.7,false
筒香 嘉智,横浜DeNAベイスターズ,41945131,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,45,52.962,53,53,8,8,30.2,240,21,4.34,3B,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,179,47.4,false
蝦名 達夫,横浜DeNAベイスターズ,51555151,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,75,63.732,64,64,-11,-11,31.4,283,40,4.2,CF,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,168.7,28,false
今宮 健太,福岡ソフトバンクホークス,31335131,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,66,54.757,55,55,-11,-11,30.4,138,15,4.4,SS,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,164.6,21.6,false
周東 佑京,福岡ソフトバンクホークス,21925136,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,96,96.042,96,96,0,0,35,404,59,3.46,CF,MIDDLE_PREMIUM,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,176.5,24.2,true
山川 穂高,福岡ソフトバンクホークス,21425139,UNIQUE_EXACT_TEAM_OFFICIAL_ABBREVIATION_PREFIX_MATCH,47,45.781,46,46,-1,-1,29.4,168,14,4.76,1B,CORNER_CATCHER,UNIQUE_NORMALIZED_NAME_MATCH_NPB_USAGE_2026_NO_TEAM_FIELD,false,,,184.4,49,false
