pair_id,speed_threshold_kmh,age_band,age_max_gap_years,group_comparison,left_player_id,left_player,left_team,left_group,left_position,left_age,left_sprint_kmh,left_powerpro_2026,left_residual_a,left_residual_b,right_player_id,right_player,right_team,right_group,right_position,right_age,right_sprint_kmh,right_powerpro_2026,right_residual_a,right_residual_b,sprint_speed_gap_kmh,age_gap_years,powerpro_left_minus_right,residual_a_left_minus_right,residual_b_left_minus_right
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0011,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,81585151,岡林 勇希,中日ドラゴンズ,MIDDLE_PREMIUM,CF,,32.5,81,-7,-7,21125134,石井 一成,埼玉西武ライオンズ,MIDDLE_NEUTRAL,2B,,32.6,79,-4,-4,0.1,,2,-3,-3
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0012,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,81585151,岡林 勇希,中日ドラゴンズ,MIDDLE_PREMIUM,CF,,32.5,81,-7,-7,73375134,吉川 尚輝,読売ジャイアンツ,MIDDLE_NEUTRAL,2B,,32.5,80,-6,-6,0,,1,-1,-1
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0013,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,03105157,村松 開人,中日ドラゴンズ,MIDDLE_PREMIUM,SS,,33.4,80,2,2,21025157,田中 幹也,中日ドラゴンズ,MIDDLE_NEUTRAL,2B,,33.5,83,0,0,0.1,,-3,2,2
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0014,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,03105157,村松 開人,中日ドラゴンズ,MIDDLE_PREMIUM,SS,,33.4,80,2,2,11715153,小川 龍成,千葉ロッテマリーンズ,MIDDLE_NEUTRAL,2B,,33.4,86,-4,-4,0,,-6,6,6
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0015,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,03105157,村松 開人,中日ドラゴンズ,MIDDLE_PREMIUM,SS,,33.4,80,2,2,61465133,牧原 大成,福岡ソフトバンクホークス,MIDDLE_NEUTRAL,2B,,33.5,82,1,1,0.1,,-2,1,1
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0016,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,91395132,板山 祐太郎,中日ドラゴンズ,MIDDLE_PREMIUM,RF,,32,72,-3,-3,91695157,林 琢真,横浜DeNAベイスターズ,MIDDLE_NEUTRAL,2B,,32,82,-13,-8,0,,-10,10,5
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0017,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,63165155,水野 達稀,北海道日本ハムファイターズ,MIDDLE_PREMIUM,SS,,33.4,71,11,11,21025157,田中 幹也,中日ドラゴンズ,MIDDLE_NEUTRAL,2B,,33.5,83,0,0,0.1,,-12,11,11
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0018,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,63165155,水野 達稀,北海道日本ハムファイターズ,MIDDLE_PREMIUM,SS,,33.4,71,11,11,11715153,小川 龍成,千葉ロッテマリーンズ,MIDDLE_NEUTRAL,2B,,33.4,86,-4,-4,0,,-15,15,15
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0019,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,63165155,水野 達稀,北海道日本ハムファイターズ,MIDDLE_PREMIUM,SS,,33.4,71,11,11,61465133,牧原 大成,福岡ソフトバンクホークス,MIDDLE_NEUTRAL,2B,,33.5,82,1,1,0.1,,-11,10,10
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0020,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,71275157,友杉 篤輝,千葉ロッテマリーンズ,MIDDLE_PREMIUM,SS,,32.7,87,-12,-12,21125134,石井 一成,埼玉西武ライオンズ,MIDDLE_NEUTRAL,2B,,32.6,79,-4,-4,0.1,,8,-8,-8
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0021,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,31635138,藤原 恭大,千葉ロッテマリーンズ,MIDDLE_PREMIUM,RF,,33,85,-7,-7,41445153,中野 拓夢,阪神タイガース,MIDDLE_NEUTRAL,2B,,32.9,75,2,2,0.1,,10,-9,-9
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0022,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,11215151,髙部 瑛斗,千葉ロッテマリーンズ,MIDDLE_PREMIUM,CF,,33.6,90,-7,-7,21025157,田中 幹也,中日ドラゴンズ,MIDDLE_NEUTRAL,2B,,33.5,83,0,0,0.1,,7,-7,-7
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0023,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,11215151,髙部 瑛斗,千葉ロッテマリーンズ,MIDDLE_PREMIUM,CF,,33.6,90,-7,-7,61465133,牧原 大成,福岡ソフトバンクホークス,MIDDLE_NEUTRAL,2B,,33.5,82,1,1,0.1,,8,-8,-8
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0024,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,71775134,源田 壮亮,埼玉西武ライオンズ,MIDDLE_PREMIUM,SS,,32.9,80,-3,-3,41445153,中野 拓夢,阪神タイガース,MIDDLE_NEUTRAL,2B,,32.9,75,2,2,0,,5,-5,-5
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0025,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,51255155,滝澤 夏央,埼玉西武ライオンズ,MIDDLE_PREMIUM,SS,,33,85,-7,-7,41445153,中野 拓夢,阪神タイガース,MIDDLE_NEUTRAL,2B,,32.9,75,2,2,0.1,,10,-9,-9
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0026,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,01705138,小園 海斗,広島東洋カープ,MIDDLE_PREMIUM,SS,,31.5,79,-14,-14,91495130,西野 真弘,オリックス・バファローズ,MIDDLE_NEUTRAL,2B,,31.6,76,-10,-10,0.1,,3,-4,-4
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0027,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,01705138,小園 海斗,広島東洋カープ,MIDDLE_PREMIUM,SS,,31.5,79,-14,-14,13115153,牧 秀悟,横浜DeNAベイスターズ,MIDDLE_NEUTRAL,2B,,31.6,67,-1,-1,0.1,,12,-13,-13
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0028,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,93395153,矢野 雅哉,広島東洋カープ,MIDDLE_PREMIUM,SS,,30.7,78,-21,-21,41645136,藤岡 裕大,千葉ロッテマリーンズ,MIDDLE_NEUTRAL,2B,,30.8,65,-7,-7,0.1,,13,-14,-14
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0029,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,01405130,野間 峻祥,広島東洋カープ,MIDDLE_PREMIUM,RF,,31.7,88,-22,-22,91395138,太田 椋,オリックス・バファローズ,MIDDLE_NEUTRAL,2B,,31.7,64,2,2,0,,24,-24,-24
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0030,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,01405130,野間 峻祥,広島東洋カープ,MIDDLE_PREMIUM,RF,,31.7,88,-22,-22,91495130,西野 真弘,オリックス・バファローズ,MIDDLE_NEUTRAL,2B,,31.6,76,-10,-10,0.1,,12,-12,-12
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0031,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,01405130,野間 峻祥,広島東洋カープ,MIDDLE_PREMIUM,RF,,31.7,88,-22,-22,31435157,奈良間 大己,北海道日本ハムファイターズ,MIDDLE_NEUTRAL,2B,,31.7,64,2,3,0,,24,-24,-25
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0032,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,01405130,野間 峻祥,広島東洋カープ,MIDDLE_PREMIUM,RF,,31.7,88,-22,-22,61565135,菊池 涼介,広島東洋カープ,MIDDLE_NEUTRAL,2B,,31.8,72,-5,-5,0.1,,16,-17,-17
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0033,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,01405130,野間 峻祥,広島東洋カープ,MIDDLE_PREMIUM,RF,,31.7,88,-22,-22,13115153,牧 秀悟,横浜DeNAベイスターズ,MIDDLE_NEUTRAL,2B,,31.6,67,-1,-1,0.1,,21,-21,-21
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0034,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,93195155,丸山 和郁,東京ヤクルトスワローズ,MIDDLE_PREMIUM,RF,,32.4,86,-13,-13,41245130,外崎 修汰,埼玉西武ライオンズ,MIDDLE_NEUTRAL,2B,,32.3,68,4,4,0.1,,18,-17,-17
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0035,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,93195155,丸山 和郁,東京ヤクルトスワローズ,MIDDLE_PREMIUM,RF,,32.4,86,-13,-13,73375134,吉川 尚輝,読売ジャイアンツ,MIDDLE_NEUTRAL,2B,,32.5,80,-6,-6,0.1,,6,-7,-7
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0036,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,71975136,塩見 泰隆,東京ヤクルトスワローズ,MIDDLE_PREMIUM,RF,,32.3,83,-11,-11,41245130,外崎 修汰,埼玉西武ライオンズ,MIDDLE_NEUTRAL,2B,,32.3,68,4,4,0,,15,-15,-15
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0037,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,51355155,岩田 幸宏,東京ヤクルトスワローズ,MIDDLE_PREMIUM,CF,,33.6,96,-13,-13,21025157,田中 幹也,中日ドラゴンズ,MIDDLE_NEUTRAL,2B,,33.5,83,0,0,0.1,,13,-13,-13
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0038,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,51355155,岩田 幸宏,東京ヤクルトスワローズ,MIDDLE_PREMIUM,CF,,33.6,96,-13,-13,61465133,牧原 大成,福岡ソフトバンクホークス,MIDDLE_NEUTRAL,2B,,33.5,82,1,1,0.1,,14,-14,-14
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0039,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,51455151,長岡 秀樹,東京ヤクルトスワローズ,MIDDLE_PREMIUM,SS,,31.6,58,8,8,91395138,太田 椋,オリックス・バファローズ,MIDDLE_NEUTRAL,2B,,31.7,64,2,2,0.1,,-6,6,6
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0040,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,51455151,長岡 秀樹,東京ヤクルトスワローズ,MIDDLE_PREMIUM,SS,,31.6,58,8,8,91495130,西野 真弘,オリックス・バファローズ,MIDDLE_NEUTRAL,2B,,31.6,76,-10,-10,0,,-18,18,18
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0041,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,51455151,長岡 秀樹,東京ヤクルトスワローズ,MIDDLE_PREMIUM,SS,,31.6,58,8,8,31435157,奈良間 大己,北海道日本ハムファイターズ,MIDDLE_NEUTRAL,2B,,31.7,64,2,3,0.1,,-6,6,5
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0042,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,51455151,長岡 秀樹,東京ヤクルトスワローズ,MIDDLE_PREMIUM,SS,,31.6,58,8,8,13115153,牧 秀悟,横浜DeNAベイスターズ,MIDDLE_NEUTRAL,2B,,31.6,67,-1,-1,0,,-9,9,9
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0043,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,33535159,度会 隆輝,横浜DeNAベイスターズ,MIDDLE_PREMIUM,RF,,31.7,65,1,1,91395138,太田 椋,オリックス・バファローズ,MIDDLE_NEUTRAL,2B,,31.7,64,2,2,0,,1,-1,-1
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0044,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,33535159,度会 隆輝,横浜DeNAベイスターズ,MIDDLE_PREMIUM,RF,,31.7,65,1,1,91495130,西野 真弘,オリックス・バファローズ,MIDDLE_NEUTRAL,2B,,31.6,76,-10,-10,0.1,,-11,11,11
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0045,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,33535159,度会 隆輝,横浜DeNAベイスターズ,MIDDLE_PREMIUM,RF,,31.7,65,1,1,31435157,奈良間 大己,北海道日本ハムファイターズ,MIDDLE_NEUTRAL,2B,,31.7,64,2,3,0,,1,-1,-2
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0046,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,33535159,度会 隆輝,横浜DeNAベイスターズ,MIDDLE_PREMIUM,RF,,31.7,65,1,1,61565135,菊池 涼介,広島東洋カープ,MIDDLE_NEUTRAL,2B,,31.8,72,-5,-5,0.1,,-7,6,6
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0047,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,33535159,度会 隆輝,横浜DeNAベイスターズ,MIDDLE_PREMIUM,RF,,31.7,65,1,1,13115153,牧 秀悟,横浜DeNAベイスターズ,MIDDLE_NEUTRAL,2B,,31.6,67,-1,-1,0.1,,-2,2,2
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0048,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,51555155,梶原 昂希,横浜DeNAベイスターズ,MIDDLE_PREMIUM,CF,,33.4,90,-8,-8,21025157,田中 幹也,中日ドラゴンズ,MIDDLE_NEUTRAL,2B,,33.5,83,0,0,0.1,,7,-8,-8
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0049,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,51555155,梶原 昂希,横浜DeNAベイスターズ,MIDDLE_PREMIUM,CF,,33.4,90,-8,-8,11715153,小川 龍成,千葉ロッテマリーンズ,MIDDLE_NEUTRAL,2B,,33.4,86,-4,-4,0,,4,-4,-4
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0050,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,51555155,梶原 昂希,横浜DeNAベイスターズ,MIDDLE_PREMIUM,CF,,33.4,90,-8,-8,61465133,牧原 大成,福岡ソフトバンクホークス,MIDDLE_NEUTRAL,2B,,33.5,82,1,1,0.1,,8,-9,-9
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0051,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,73175151,柳町 達,福岡ソフトバンクホークス,MIDDLE_PREMIUM,RF,,31.5,67,-2,-2,91495130,西野 真弘,オリックス・バファローズ,MIDDLE_NEUTRAL,2B,,31.6,76,-10,-10,0.1,,-9,8,8
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0052,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,73175151,柳町 達,福岡ソフトバンクホークス,MIDDLE_PREMIUM,RF,,31.5,67,-2,-2,13115153,牧 秀悟,横浜DeNAベイスターズ,MIDDLE_NEUTRAL,2B,,31.6,67,-1,-1,0.1,,0,-1,-1
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0053,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,51955159,佐々木 俊輔,読売ジャイアンツ,MIDDLE_PREMIUM,CF,,33,76,2,2,41445153,中野 拓夢,阪神タイガース,MIDDLE_NEUTRAL,2B,,32.9,75,2,2,0.1,,1,0,0
MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL|0.1|AGE_UNRESTRICTED|0054,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_MIDDLE_NEUTRAL,31535138,小幡 竜平,阪神タイガース,MIDDLE_PREMIUM,SS,,32.8,77,-1,-1,41445153,中野 拓夢,阪神タイガース,MIDDLE_NEUTRAL,2B,,32.9,75,2,2,0.1,,2,-3,-3
MIDDLE_PREMIUM_MINUS_CORNER_CATCHER|0.1|AGE_UNRESTRICTED|0001,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_CORNER_CATCHER,51255138,中川 圭太,オリックス・バファローズ,MIDDLE_PREMIUM,CF,,32.6,74,1,1,31835134,細川 成也,中日ドラゴンズ,CORNER_CATCHER,LF,,32.7,60,15,15,0.1,,14,-14,-14
MIDDLE_PREMIUM_MINUS_CORNER_CATCHER|0.1|AGE_UNRESTRICTED|0002,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_CORNER_CATCHER,51255138,中川 圭太,オリックス・バファローズ,MIDDLE_PREMIUM,CF,,32.6,74,1,1,21925151,郡司 裕也,北海道日本ハムファイターズ,CORNER_CATCHER,3B,,32.7,61,14,14,0.1,,13,-13,-13
MIDDLE_PREMIUM_MINUS_CORNER_CATCHER|0.1|AGE_UNRESTRICTED|0003,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_CORNER_CATCHER,51255138,中川 圭太,オリックス・バファローズ,MIDDLE_PREMIUM,CF,,32.6,74,1,1,11515139,岡 大海,千葉ロッテマリーンズ,CORNER_CATCHER,1B,,32.6,82,-7,-7,0,,-8,8,8
MIDDLE_PREMIUM_MINUS_CORNER_CATCHER|0.1|AGE_UNRESTRICTED|0004,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_CORNER_CATCHER,51955153,来田 涼斗,オリックス・バファローズ,MIDDLE_PREMIUM,RF,,32.4,85,-12,-12,51055138,田宮 裕涼,北海道日本ハムファイターズ,CORNER_CATCHER,C,,32.4,68,5,5,0,,17,-17,-17
MIDDLE_PREMIUM_MINUS_CORNER_CATCHER|0.1|AGE_UNRESTRICTED|0005,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_CORNER_CATCHER,91995151,紅林 弘太郎,オリックス・バファローズ,MIDDLE_PREMIUM,SS,,30.7,56,1,1,41645139,若月 健矢,オリックス・バファローズ,CORNER_CATCHER,C,,30.7,48,9,9,0,,8,-8,-8
MIDDLE_PREMIUM_MINUS_CORNER_CATCHER|0.1|AGE_UNRESTRICTED|0006,0.1,AGE_UNRESTRICTED,,MIDDLE_PREMIUM_MINUS_CORNER_CATCHER,91995151,紅林 弘太郎,オリックス・バファローズ,MIDDLE_PREMIUM,SS,,30.7,56,1,1,91195151,石川 昂弥,中日ドラゴンズ,CORNER_CATCHER,3B,,30.6,41,16,16,0.1,,15,-15,-15
