anchor_id,player,measurement_era,measurement_date,metric,value,unit,direction,cohort_id,cohort_completeness,source_manifest_id,source_tier,anchor_confidence,bank_acceptance_status,raw_trial_count,selection_method,selection_scope,speed_band,band_basis,cohort_rank,cohort_size,integration_boundary,limitations
A0011,大塚瑠晏,2024,2024-11-30,50M_STANDING_START_SECONDS,6.07,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B2_UPPER_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,6,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0012,黒田義信,2024,2024-11-30,50M_STANDING_START_SECONDS,6.1,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B3_UPPER_MID_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,7,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0013,皆川岳飛,2024,2024-11-30,50M_STANDING_START_SECONDS,6.12,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B3_UPPER_MID_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,8,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0014,秋山俊,2024,2024-11-30,50M_STANDING_START_SECONDS,6.13,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B3_UPPER_MID_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,9,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0015,勝田成,2024,2024-11-30,50M_STANDING_START_SECONDS,6.17,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B3_UPPER_MID_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,10,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0016,米津煌太,2024,2024-11-30,50M_STANDING_START_SECONDS,6.17,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B4_MID_UPPER_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,11,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0017,繁永晟,2024,2024-11-30,50M_STANDING_START_SECONDS,6.19,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B4_MID_UPPER_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,12,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0018,栗山雅也,2024,2024-11-30,50M_STANDING_START_SECONDS,6.19,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B4_MID_UPPER_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,13,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0019,木本圭一,2024,2024-11-30,50M_STANDING_START_SECONDS,6.2,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B5_MID_LOWER_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,14,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0020,那波賢人,2024,2024-11-30,50M_STANDING_START_SECONDS,6.22,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B5_MID_LOWER_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,15,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0021,蜷川大,2024,2024-11-30,50M_STANDING_START_SECONDS,6.26,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B5_MID_LOWER_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,16,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0022,若山空蒼,2024,2024-11-30,50M_STANDING_START_SECONDS,6.26,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B6_LOWER_MID_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,17,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0023,小林隼翔,2024,2024-11-30,50M_STANDING_START_SECONDS,6.27,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B6_LOWER_MID_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,18,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0024,谷端将伍,2024,2024-11-30,50M_STANDING_START_SECONDS,6.3,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B6_LOWER_MID_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,19,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0025,前田健伸,2024,2024-11-30,50M_STANDING_START_SECONDS,6.36,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B6_LOWER_MID_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,20,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0026,小島大河,2024,2024-11-30,50M_STANDING_START_SECONDS,6.38,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B7_LOWER_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,21,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0027,熊谷陸,2024,2024-11-30,50M_STANDING_START_SECONDS,6.38,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B7_LOWER_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,22,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0028,尾瀬雄大,2024,2024-11-30,50M_STANDING_START_SECONDS,6.38,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B7_LOWER_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,23,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0029,渡辺憩,2024,2024-11-30,50M_STANDING_START_SECONDS,6.4,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B8_SLOWEST_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,24,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0030,前嶋藍,2024,2024-11-30,50M_STANDING_START_SECONDS,6.53,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B8_SLOWEST_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,25,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0031,渡部海,2024,2024-11-30,50M_STANDING_START_SECONDS,6.55,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B8_SLOWEST_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,26,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0032,辻井心,2024,2024-11-30,50M_STANDING_START_SECONDS,6.87,seconds,LOWER_IS_FASTER,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B8_SLOWEST_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,27,27,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,"Full published participant table; values remain 50m test results, not T90 values."
A0033,鈴木湧陽,2026,2026-06-22,50M_STANDING_START_SECONDS,5.78,seconds,LOWER_IS_FASTER,samurai_university_2026_06_22,FULL_PUBLISHED_50M_TABLE_31,samurai_university_2026_06_22,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B1_FASTEST_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,1,31,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,Full published 50m table; 30m values exist only for a public subset and are retained separately.
A0034,岡田啓吾,2026,2026-06-22,50M_STANDING_START_SECONDS,5.83,seconds,LOWER_IS_FASTER,samurai_university_2026_06_22,FULL_PUBLISHED_50M_TABLE_31,samurai_university_2026_06_22,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B1_FASTEST_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,2,31,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,Full published 50m table; 30m values exist only for a public subset and are retained separately.
A0035,境亮陽,2026,2026-06-22,50M_STANDING_START_SECONDS,6.02,seconds,LOWER_IS_FASTER,samurai_university_2026_06_22,FULL_PUBLISHED_50M_TABLE_31,samurai_university_2026_06_22,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B1_FASTEST_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,3,31,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,Full published 50m table; 30m values exist only for a public subset and are retained separately.
A0036,木津寿哉,2026,2026-06-22,50M_STANDING_START_SECONDS,6.02,seconds,LOWER_IS_FASTER,samurai_university_2026_06_22,FULL_PUBLISHED_50M_TABLE_31,samurai_university_2026_06_22,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B2_UPPER_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,4,31,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,Full published 50m table; 30m values exist only for a public subset and are retained separately.
A0037,榊原七斗,2026,2026-06-22,50M_STANDING_START_SECONDS,6.15,seconds,LOWER_IS_FASTER,samurai_university_2026_06_22,FULL_PUBLISHED_50M_TABLE_31,samurai_university_2026_06_22,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B2_UPPER_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,5,31,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,Full published 50m table; 30m values exist only for a public subset and are retained separately.
A0038,黒田義信,2026,2026-06-22,50M_STANDING_START_SECONDS,6.18,seconds,LOWER_IS_FASTER,samurai_university_2026_06_22,FULL_PUBLISHED_50M_TABLE_31,samurai_university_2026_06_22,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B2_UPPER_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,6,31,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,Full published 50m table; 30m values exist only for a public subset and are retained separately.
A0039,眞邉麗生,2026,2026-06-22,50M_STANDING_START_SECONDS,6.18,seconds,LOWER_IS_FASTER,samurai_university_2026_06_22,FULL_PUBLISHED_50M_TABLE_31,samurai_university_2026_06_22,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B2_UPPER_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,7,31,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,Full published 50m table; 30m values exist only for a public subset and are retained separately.
A0040,新保玖和,2026,2026-06-22,50M_STANDING_START_SECONDS,6.2,seconds,LOWER_IS_FASTER,samurai_university_2026_06_22,FULL_PUBLISHED_50M_TABLE_31,samurai_university_2026_06_22,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B3_UPPER_MID_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,8,31,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,Full published 50m table; 30m values exist only for a public subset and are retained separately.
A0041,赤堀颯,2026,2026-06-22,50M_STANDING_START_SECONDS,6.24,seconds,LOWER_IS_FASTER,samurai_university_2026_06_22,FULL_PUBLISHED_50M_TABLE_31,samurai_university_2026_06_22,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B3_UPPER_MID_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,9,31,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,Full published 50m table; 30m values exist only for a public subset and are retained separately.
A0042,西野啓也,2026,2026-06-22,50M_STANDING_START_SECONDS,6.28,seconds,LOWER_IS_FASTER,samurai_university_2026_06_22,FULL_PUBLISHED_50M_TABLE_31,samurai_university_2026_06_22,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B3_UPPER_MID_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,10,31,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,Full published 50m table; 30m values exist only for a public subset and are retained separately.
A0043,神田剛志,2026,2026-06-22,50M_STANDING_START_SECONDS,6.28,seconds,LOWER_IS_FASTER,samurai_university_2026_06_22,FULL_PUBLISHED_50M_TABLE_31,samurai_university_2026_06_22,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B3_UPPER_MID_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,11,31,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,Full published 50m table; 30m values exist only for a public subset and are retained separately.
A0044,井上和輝,2026,2026-06-22,50M_STANDING_START_SECONDS,6.29,seconds,LOWER_IS_FASTER,samurai_university_2026_06_22,FULL_PUBLISHED_50M_TABLE_31,samurai_university_2026_06_22,A_PROTOCOL_B_FULL_VALUES,HIGH,ACCEPTED_HIGH_CONFIDENCE,1,single_observed_value,WITHIN_MEASURED_COHORT_ORDINAL_ONLY,B4_MID_UPPER_COHORT_OCTILE,WITHIN_SAME_METRIC_SAME_COHORT_OCTILE_ONLY,12,31,NO_T90_CONVERSION_NO_AGE_DECAY_NO_GAME_RATING,Full published 50m table; 30m values exist only for a public subset and are retained separately.
