measurement_cluster_id,player,team,measurement_metric,measurement_value,measurement_unit,measurement_date,measurement_year,measurement_timing_method,measurement_usage_class,physical_source,physical_source_url,canonical_player_id,matched_player_name,nearest_pawapuro_observation_id,nearest_pawapuro_date,nearest_pawapuro_rating_date,nearest_pawapuro_title,nearest_pawapuro_version,nearest_pawapuro_speed,nearest_pawapuro_source_url,measurement_to_pawapuro_gap_days,measurement_to_pawapuro_gap_years,gap_days,gap_years,match_status,identity_match_method
mlb_statcast_running_splits_秋山翔吾_2021,秋山 翔吾,広島東洋カープ,T90ft,3.97,seconds,,2021,Statcast official leaderboard,HISTORICAL_PROFILE_HINT,Baseball Savant / Statcast,https://baseballsavant.mlb.com/running_splits?bats=&min=5&position=&team=&type=raw&year=2021,proeye:31135133,秋山翔吾,2022:1_07:C:62,2022-09-29,2022-09-29,eBASEBALLパワフルプロ野球2022,1.07,72,https://www.baseless.org/data/source/2022/dat_C_1_07.html,,1,,1,matched_nearest_update_date,current_local_rating_full_name_and_team
existing_outlier_小園海斗_50m_5.8_6,小園 海斗,広島東洋カープ,50m,,seconds,,,unknown,HISTORICAL_PROFILE_HINT,スポーツナビ,https://sports.yahoo.co.jp/column/detail/201607040003-spnavi?p=2,proeye:01705138,小園海斗,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
nabara_50m_setouchi_manual,名原 典彦,広島東洋カープ,50m,6.2,seconds,,,manual,HISTORICAL_PROFILE_HINT,web Sportiva,https://sportiva.shueisha.co.jp/clm/baseball/hs_other/2022/10/02/post_85/?page=2,,,,,,,,,,,,,,unmatched_measurement_year_unknown,not_attempted
nabara_50m_aomoriu_electronic,名原 典彦,広島東洋カープ,50m,5.9,seconds,,,electronic,HISTORICAL_PROFILE_HINT,web Sportiva,https://sportiva.shueisha.co.jp/clm/baseball/hs_other/2022/10/02/post_85/?page=2,,,,,,,,,,,,,,unmatched_measurement_year_unknown,not_attempted
existing_outlier_矢野雅哉_50m_5.9,矢野 雅哉,広島東洋カープ,50m,5.9,seconds,,,unknown,HISTORICAL_PROFILE_HINT,日刊スポーツ,https://www.nikkansports.com/baseball/news/202208160001089.html,proeye:93395153,矢野雅哉,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
existing_30m_佐藤輝明_2020,佐藤 輝明,阪神タイガース,30m,4,seconds,,2020,unknown,HISTORICAL_PROFILE_HINT,デイリースポーツ,https://origin.daily.co.jp/tigers/2020/12/07/0013919463.shtml,proeye:41045153,佐藤輝明,2020:1_09:T:54,2021-04-08,2021-04-08,eBASEBALLパワフルプロ野球2020,1.09,68,https://www.baseless.org/data/source/2020/dat_T_1_09.html,,1,,1,matched_nearest_update_date,current_local_rating_full_name_and_team
sato_50m_kindai_profile,佐藤 輝明,阪神タイガース,50m,6,seconds,,,unknown,HISTORICAL_PROFILE_HINT,スポニチアネックス,https://www.sponichi.co.jp/baseball/news/2020/10/26/kiji/20201025s00001728678000c.html,proeye:41045153,佐藤輝明,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
existing_30m_小幡竜平_2018,小幡 竜平,阪神タイガース,30m,3.98,seconds,,2018,unknown,HISTORICAL_PROFILE_HINT,スポーツ報知,https://hochi.news/articles/20181202-OHT1T50237.html,proeye:31535138,小幡竜平,2018:1_10:T:52,2019-04-23,2019-04-23,実況パワフルプロ野球2018,1.10,77,https://www.baseless.org/data/source/2018/dat_T_1_10.html,,1,,1,matched_nearest_update_date,current_local_rating_full_name_and_team
obata_50m_hanshin_profile,小幡 竜平,阪神タイガース,50m,6.1,seconds,,,unknown,HISTORICAL_PROFILE_HINT,日刊スポーツ,https://www.nikkansports.com/baseball/news/201901100000575.html,proeye:31535138,小幡竜平,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
takizawa_sekinegakuen_50m_profile,滝澤 夏央,埼玉西武ライオンズ,50m,5.8,seconds,,,unknown,HISTORICAL_PROFILE_HINT,Number Web,https://number.bunshun.jp/articles/-/851084?page=1,proeye:51255155,滝澤夏央,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
mlb_statcast_running_splits_ポランコ_2021,ポランコ,千葉ロッテマリーンズ,T90ft,3.99,seconds,,2021,Statcast official leaderboard,HISTORICAL_PROFILE_HINT,Baseball Savant / Statcast,https://baseballsavant.mlb.com/running_splits?bats=&min=5&position=&team=&type=raw&year=2021,proeye:63065155,ポランコ,2022:default:G:60,2022-04-21,2022-04-21,eBASEBALLパワフルプロ野球2022,archive_default_unversioned,67,https://www.baseless.org/data/source/2022/dat_G.html,,1,,1,matched_nearest_update_date,current_local_rating_full_name_and_team
yasuda_50m_profile,安田 尚憲,千葉ロッテマリーンズ,50m,6.7,seconds,,,unknown,HISTORICAL_PROFILE_HINT,日刊スポーツ,https://www.nikkansports.com/baseball/news/201710250000038.html,proeye:81885136,安田尚憲,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
oka_50m_profile,岡 大海,千葉ロッテマリーンズ,50m,6.1,seconds,,,unknown,HISTORICAL_PROFILE_HINT,明大スポーツ新聞部,https://meisupo.net/news/5690/,proeye:11515139,岡大海,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
sato_toshiya_50m_profile,佐藤 都志也,千葉ロッテマリーンズ,50m,5.9,seconds,,,unknown,HISTORICAL_PROFILE_HINT,スポニチ,https://www.sponichi.co.jp/baseball/news/2019/10/25/kiji/20191024s00001173410000c.html,proeye:71075151,佐藤都志也,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
yamaguchi_koki_50m_profile,山口 航輝,千葉ロッテマリーンズ,50m,6.3,seconds,,,unknown,HISTORICAL_PROFILE_HINT,日刊スポーツ,https://www.nikkansports.com/baseball/news/201810310000259.html,proeye:91895138,山口航輝,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
fujiwara_50m_5_7_highschool_profile,藤原 恭大,千葉ロッテマリーンズ,50m,5.7,seconds,,,unknown,HISTORICAL_PROFILE_HINT,デイリースポーツ,https://www.daily.co.jp/baseball/2017/08/04/0010433505.shtml,proeye:31635138,藤原恭大,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
standardized_50m_2022-06-19_友杉篤輝,友杉 篤輝,千葉ロッテマリーンズ,50m,6.1,seconds,,2022,electronic_photoelectric,STANDARDIZED_PRIOR,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,proeye:71275157,友杉篤輝,2022:1_09:M:47,2023-03-30,2023-03-30,eBASEBALLパワフルプロ野球2022,1.09,81,https://www.baseless.org/data/source/2022/dat_M_1_09.html,,1,,1,matched_nearest_update_date,current_local_rating_full_name_and_team
tomosugi_50m_profile_claim,友杉 篤輝,千葉ロッテマリーンズ,50m,5.9,seconds,,,unknown,HISTORICAL_PROFILE_HINT,日刊スポーツ,https://www.nikkansports.com/baseball/news/202210170000769.html,proeye:71275157,友杉篤輝,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
takabe_50m_profile,髙部 瑛斗,千葉ロッテマリーンズ,50m,5.8,seconds,,,unknown,HISTORICAL_PROFILE_HINT,テレビ東京スポーツ,https://www.tv-tokyo.co.jp/sports/articles/2022/03/022229.html,proeye:11215151,髙部瑛斗,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
mlb_statcast_running_splits_カリステ_2017,カリステ,中日ドラゴンズ,T90ft,3.94,seconds,,2017,Statcast official leaderboard,HISTORICAL_PROFILE_HINT,Baseball Savant / Statcast,https://baseballsavant.mlb.com/running_splits?bats=&min=5&position=&team=&type=raw&year=2017,proeye:93795157,カリステ,2022:1_09:D:53,2023-03-30,2023-03-30,eBASEBALLパワフルプロ野球2022,1.09,87,https://www.baseless.org/data/source/2022/dat_D_1_09.html,,6,,6,matched_nearest_update_date,current_local_rating_full_name_and_team
okabayashi_komono_50m_profile,岡林 勇希,中日ドラゴンズ,50m,5.8,seconds,,2019,unknown,HISTORICAL_PROFILE_HINT,日刊スポーツ,https://www.nikkansports.com/baseball/news/201910290000658.html,proeye:81585151,岡林勇希,2020:default:D:66,2020-07-09,2020-07-09,eBASEBALLパワフルプロ野球2020,archive_default_unversioned,78,https://www.baseless.org/data/source/2020/dat_D.html,,1,,1,matched_nearest_update_date,current_local_rating_full_name_and_team
existing_outlier_細川成也_50m_6.2,細川 成也,中日ドラゴンズ,50m,6.2,seconds,,,unknown,HISTORICAL_PROFILE_HINT,BASEBALL KING,https://baseballking.jp/ns/134127/,proeye:31835134,細川成也,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
tanaka_mikiya_adai_50m_profile,田中 幹也,中日ドラゴンズ,50m,5.9,seconds,,,unknown,HISTORICAL_PROFILE_HINT,日刊スポーツ,https://www.nikkansports.com/baseball/news/202210310000557.html,proeye:21025157,田中幹也,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
mlb_statcast_running_splits_サンタナ_2020,サンタナ,東京ヤクルトスワローズ,T90ft,4.13,seconds,,2020,Statcast official leaderboard,HISTORICAL_PROFILE_HINT,Baseball Savant / Statcast,https://baseballsavant.mlb.com/running_splits?bats=&min=5&position=&team=&type=raw&year=2020,proeye:53755153,サンタナ,2020:1_09:S:62,2021-04-08,2021-04-08,eBASEBALLパワフルプロ野球2020,1.09,47,https://www.baseless.org/data/source/2020/dat_S_1_09.html,,1,,1,matched_nearest_update_date,current_local_rating_full_name_and_team
existing_30m_塩見泰隆_2018,塩見 泰隆,東京ヤクルトスワローズ,30m,3.85,seconds,,2018,unknown,HISTORICAL_PROFILE_HINT,デイリースポーツ,https://www.daily.co.jp/baseball/2018/01/17/0010903502.shtml,proeye:71975136,塩見泰隆,2018:default:S:65,2018-04-26,2018-04-26,実況パワフルプロ野球2018,archive_default_unversioned,69,https://www.baseless.org/data/source/2018/dat_S.html,,0,,0,matched_nearest_update_date,current_local_rating_full_name_and_team
maruyama_50m_meiji_profile,丸山 和郁,東京ヤクルトスワローズ,50m,5.8,seconds,,,unknown,HISTORICAL_PROFILE_HINT,4years.（朝日新聞社）,https://4years.asahi.com/article/12432940,proeye:93195155,丸山和郁,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
existing_outlier_並木秀尊_50m_5.32,並木 秀尊,東京ヤクルトスワローズ,50m,5.32,seconds,,2019,unknown,REJECTED_FOR_SPEED,日刊スポーツ,https://www.nikkansports.com/baseball/news/202306230001335.html,proeye:91695153,並木秀尊,2020:1_09:S:65,2021-04-08,2021-04-08,eBASEBALLパワフルプロ野球2020,1.09,95,https://www.baseless.org/data/source/2020/dat_S_1_09.html,,2,,2,matched_nearest_update_date,current_local_rating_full_name_and_team
existing_outlier_並木秀尊_50m_6.06,並木 秀尊,東京ヤクルトスワローズ,50m,6.06,seconds,,2022,unknown,HISTORICAL_PROFILE_HINT,日刊スポーツ,https://www.nikkansports.com/baseball/news/202306230001335.html,proeye:91695153,並木秀尊,2022:default:S:66,2022-04-21,2022-04-21,eBASEBALLパワフルプロ野球2022,archive_default_unversioned,95,https://www.baseless.org/data/source/2022/dat_S.html,,0,,0,matched_nearest_update_date,current_local_rating_full_name_and_team
existing_outlier_村林一輝_50m_6.2,村林 一輝,東北楽天ゴールデンイーグルス,50m,6.2,seconds,,2015,unknown,HISTORICAL_PROFILE_HINT,週刊ベースボールONLINE,https://column.sp.baseball.findfriends.jp/?id=055-20151207-01&pid=column_detail,proeye:41845132,村林一輝,2016:default:E:50,2016-04-28,2016-04-28,実況パワフルプロ野球2016,archive_default_unversioned,60,https://www.baseless.org/data/source/2016/dat_E.html,,1,,1,matched_nearest_update_date,current_local_rating_full_name_and_team
yoshikawa_50m_chukyo_profile,吉川 尚輝,読売ジャイアンツ,50m,5.7,seconds,,,unknown,HISTORICAL_PROFILE_HINT,日刊スポーツ,https://www.nikkansports.com/baseball/news/1738288.html,proeye:73375134,吉川尚輝,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
kurihara_50m_profile,栗原 陵矢,福岡ソフトバンクホークス,50m,6,seconds,,,unknown,HISTORICAL_PROFILE_HINT,ドラフト・レポート,https://draft-repo.com/blog-entry-2032.html,proeye:01705130,栗原陵矢,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
yamakawa_50m_profile,山川 穂高,福岡ソフトバンクホークス,50m,6.2,seconds,,,unknown,HISTORICAL_PROFILE_HINT,ドラフト・レポート,https://draft-repo.com/blog-entry-1559.html,proeye:21425139,山川穂高,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
shuto_50m_profile,周東 佑京,福岡ソフトバンクホークス,50m,5.7,seconds,,,unknown,HISTORICAL_PROFILE_HINT,東京農業大学,https://www.nodai.ac.jp/news/article/42017/,proeye:21925136,周東佑京,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
masaki_50m_profile,正木 智也,福岡ソフトバンクホークス,50m,6.6,seconds,,,unknown,HISTORICAL_PROFILE_HINT,ドラフト・レポート,https://draft-repo.com/blog-entry-3445.html,proeye:81885155,正木智也,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
makihara_50m_profile,牧原 大成,福岡ソフトバンクホークス,50m,5.8,seconds,,,unknown,HISTORICAL_PROFILE_HINT,田尻耕太郎の鷹バン！,https://koutaro-tajiri.theletter.jp/posts/ea6a6ac0-a6b2-11ee-b571-5fc5ffed7957,proeye:61465133,牧原大成,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
yanagimachi_50m_profile,柳町 達,福岡ソフトバンクホークス,50m,6.2,seconds,,,unknown,HISTORICAL_PROFILE_HINT,ドラフト・レポート,https://draft-repo.com/blog-entry-3199.html,proeye:73175151,柳町達,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
yanagita_50m_profile,柳田 悠岐,福岡ソフトバンクホークス,50m,5.94,seconds,,,unknown,HISTORICAL_PROFILE_HINT,web Sportiva,https://sportiva.shueisha.co.jp/clm/baseball/npb/2015/07/14/post_583/,proeye:31835133,柳田悠岐,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
kiyomiya_50m_profile,清宮 幸太郎,北海道日本ハムファイターズ,50m,6.5,seconds,,,unknown,HISTORICAL_PROFILE_HINT,web Sportiva,https://sportiva.shueisha.co.jp/clm/baseball/hs_other/2016/04/05/post_726/?page=3,proeye:41545136,清宮幸太郎,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
tamiya_50m_profile_text,田宮 裕涼,北海道日本ハムファイターズ,50m,,seconds,,,unknown,HISTORICAL_PROFILE_HINT,日刊スポーツ,https://www.nikkansports.com/baseball/news/202212100001143.html,proeye:51055138,田宮裕涼,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
standardized_50m_2022-06-19_奈良間大己,奈良間 大己,北海道日本ハムファイターズ,50m,6.31,seconds,,2022,electronic_photoelectric,STANDARDIZED_PRIOR,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,proeye:31435157,奈良間大己,2022:1_09:F:50,2023-03-30,2023-03-30,eBASEBALLパワフルプロ野球2022,1.09,64,https://www.baseless.org/data/source/2022/dat_F_1_09.html,,1,,1,matched_nearest_update_date,current_local_rating_full_name_and_team
narama_50m_profile_claim,奈良間 大己,北海道日本ハムファイターズ,50m,5.8,seconds,,,unknown,HISTORICAL_PROFILE_HINT,スポニチ,https://www.sponichi.co.jp/baseball/news/2022/11/15/kiji/20221115s00001173066000c.html,proeye:31435157,奈良間大己,,,,,,,,,,,,unmatched_measurement_year_unknown,current_local_rating_full_name_and_team
