player,team,measurement_cluster_id,metric,value,original_measurement_year,resolved_measurement_year,measurement_date,measurement_year_inferred,inference_basis,inference_confidence,original_source_url,additional_source_urls,resolution_status
京田 陽太,横浜DeNAベイスターズ,kyoda_nihon_u_50m_profile,50m,5.9,unknown,2016,,true,侍ジャパン公式本文で日本大学4年の京田陽太と50m5.9秒が同一記事に記載され、大学4年の時期を2016年に接続できる。記事公開日は測定日とせず、測定会・計時条件も不明のため年のみ中信頼で推定した。,medium,https://www.japan-baseball.jp/jp/news/press/20160710_5.html,"[""https://npb.jp/bis/players/81585134.html"",""https://column.sp.baseball.findfriends.jp/?from=related_info_column&id=022-20161010-02&pid=column_detail"",""https://www.daily.co.jp/baseball/2016/10/20/0009597527.shtml"",""https://www.nikkansports.com/baseball/news/1751126.html""]",YEAR_INFERRED_MEDIUM
牧原 大成,福岡ソフトバンクホークス,makihara_50m_profile,50m,5.8,unknown,,,false,確認した本文・同値転載では、測定日、測定会、または測定時期を特定できる学年・合宿等の時間アンカーが不足している。公開日・ドラフト年・入団年だけでは測定年を割り当てず、unknownのまま保持した。 元記録の注記: Historical profile value with unknown timing protocol.,low,https://koutaro-tajiri.theletter.jp/posts/ea6a6ac0-a6b2-11ee-b571-5fc5ffed7957,"[""https://npb.jp/bis/players/61465133.html""]",STILL_UNKNOWN
丸山 和郁,東京ヤクルトスワローズ,maruyama_50m_meiji_profile,50m,5.8,unknown,2019,,true,明治大学2年の丸山和郁と50m5.8秒が同じ大学生紹介に記載され、大学2年の時期を2019年に接続できる。測定日・測定イベント・計時条件は本文にないため年のみ中信頼で推定した。,medium,https://4years.asahi.com/article/12432940,"[""https://www.yakult-swallows.co.jp/news/detail/26616"",""https://www.yakult-swallows.co.jp/company/archive/rookie"",""https://www.yakult-swallows.co.jp/players/detail/1650522""]",YEAR_INFERRED_MEDIUM
正木 智也,福岡ソフトバンクホークス,masaki_50m_profile,50m,6.6,unknown,,,false,"確認した本文・同値転載では、測定日、測定会、または測定時期を特定できる学年・合宿等の時間アンカーが不足している。公開日・ドラフト年・入団年だけでは測定年を割り当てず、unknownのまま保持した。 元記録の注記: Low-tier profile value, kept as historical hint only.",low,https://draft-repo.com/blog-entry-3445.html,"[""https://npb.jp/m/players/81885155.html""]",STILL_UNKNOWN
森 友哉,オリックス・バファローズ,mori_50m_profile,50m,6.2,unknown,,,false,確認した本文・同値転載では、測定日、測定会、または測定時期を特定できる学年・合宿等の時間アンカーが不足している。公開日・ドラフト年・入団年だけでは測定年を割り当てず、unknownのまま保持した。 元記録の注記: High-school profile value; timing conditions are unknown.,low,https://www.nikkansports.com/baseball/professional/draft/2013/news/p-bb-tp0-20131209-1228895.html,"[""https://npb.jp/bis/players/91495139.html"",""https://draft.npb.jp/draft/2013/draftlist_l.html""]",STILL_UNKNOWN
名原 典彦,広島東洋カープ,nabara_50m_aomoriu_electronic,50m,5.9,unknown,,,false,"確認した本文・同値転載では、測定日、測定会、または測定時期を特定できる学年・合宿等の時間アンカーが不足している。公開日・ドラフト年・入団年だけでは測定年を割り当てず、unknownのまま保持した。 元記録の注記: University electronic 50m; start rule, surface, and measurement date are not published.",low,https://sportiva.shueisha.co.jp/clm/baseball/hs_other/2022/10/02/post_85/?page=2,"[""https://www.hiroshima-athlete.com/articles/-/4511"",""https://www.carp.co.jp/team/pitchers/92-nabara-norihiko""]",STILL_UNKNOWN
名原 典彦,広島東洋カープ,nabara_50m_setouchi_manual,50m,6.2,unknown,,,false,"確認した本文・同値転載では、測定日、測定会、または測定時期を特定できる学年・合宿等の時間アンカーが不足している。公開日・ドラフト年・入団年だけでは測定年を割り当てず、unknownのまま保持した。 元記録の注記: High-school manual 50m; measurement year, start rule, and surface are not published.",low,https://sportiva.shueisha.co.jp/clm/baseball/hs_other/2022/10/02/post_85/?page=2,"[""https://www.hiroshima-athlete.com/articles/-/4511"",""https://www.carp.co.jp/team/pitchers/92-nabara-norihiko""]",STILL_UNKNOWN
奈良間 大己,北海道日本ハムファイターズ,narama_50m_profile_claim,50m,5.8,unknown,,,false,確認した本文・同値転載では、測定日、測定会、または測定時期を特定できる学年・合宿等の時間アンカーが不足している。公開日・ドラフト年・入団年だけでは測定年を割り当てず、unknownのまま保持した。 元記録の注記: Profile claim differs from the preserved electronic 6.31 test; source does not establish whether this is a different session.,low,https://www.sponichi.co.jp/baseball/news/2022/11/15/kiji/20221115s00001173066000c.html,"[""https://www.ris.ac.jp/news/fg87dv0000001b4d.html"",""https://www.fighters.co.jp/news/detail/00004547.html"",""https://www.youtube.com/watch?v=fC8_8iA7Cao""]",STILL_UNKNOWN
小幡 竜平,阪神タイガース,obata_50m_hanshin_profile,50m,6.1,unknown,2018,,true,延岡学園高校3年の小幡竜平と50m6.1秒が同じ選手紹介に記載され、3年時を2018年に接続できる。新人合同自主トレの記事掲載年や入団年を測定年としたのではなく、測定会・測定日は不明のため年のみ中信頼で推定した。,medium,https://www.nikkansports.com/baseball/news/201901100000575.html,"[""https://www.nikkansports.com/baseball/news/201810260000402.html?mode=all"",""https://npb.jp/bis/players/31535138.html""]",YEAR_INFERRED_MEDIUM
岡 大海,千葉ロッテマリーンズ,oka_50m_profile,50m,6.1,unknown,,,false,確認した本文・同値転載では、測定日、測定会、または測定時期を特定できる学年・合宿等の時間アンカーが不足している。公開日・ドラフト年・入団年だけでは測定年を割り当てず、unknownのまま保持した。 元記録の注記: High-school profile value; timing conditions are unknown and page date was not reliable.,low,https://meisupo.net/news/5690/,"[""https://npb.jp/bis/players/11515139.html""]",STILL_UNKNOWN
坂倉 将吾,広島東洋カープ,sakakura_50m_nichidai3_profile,50m,6.4,unknown,,,false,確認した本文・同値転載では、測定日、測定会、または測定時期を特定できる学年・合宿等の時間アンカーが不足している。公開日・ドラフト年・入団年だけでは測定年を割り当てず、unknownのまま保持した。 元記録の注記: High-school profile value; test protocol is unknown.,low,https://www.nikkansports.com/baseball/news/1737870.html,"[""https://npb.jp/bis/teams/rst_c.html""]",STILL_UNKNOWN
佐藤 輝明,阪神タイガース,sato_50m_kindai_profile,50m,6,unknown,,,false,"確認した本文・同値転載では、測定日、測定会、または測定時期を特定できる学年・合宿等の時間アンカーが不足している。公開日・ドラフト年・入団年だけでは測定年を割り当てず、unknownのまま保持した。 元記録の注記: University profile value; distinct report from the preserved 2020 30m test, but still protocol-unknown.",low,https://www.sponichi.co.jp/baseball/news/2020/10/26/kiji/20201025s00001728678000c.html,"[""https://www.nikkansports.com/baseball/news/201912270000559.html"",""https://npb.jp/m/players/41045153.html""]",STILL_UNKNOWN
佐藤 都志也,千葉ロッテマリーンズ,sato_toshiya_50m_profile,50m,5.9,unknown,2018,,true,東洋大学3年の佐藤都志也と50m5.9秒が同じ大学生紹介に記載され、大学3年の時期を2018年に接続できる。測定日・測定会・計時条件は不明のため年のみ中信頼で推定した。,medium,https://www.sponichi.co.jp/baseball/news/2019/10/25/kiji/20191024s00001173410000c.html,"[""https://www.nikkansports.com/baseball/news/201812200000321.html"",""https://www.nikkansports.com/baseball/news/201906170000732.html"",""https://npb.jp/bis/players/71075151.html""]",YEAR_INFERRED_MEDIUM
周東 佑京,福岡ソフトバンクホークス,shuto_50m_profile,50m,5.7,unknown,2017,,true,東京農業大学北海道オホーツク4年の周東佑京と50m5.7秒が大学公式プロフィール欄に記載され、4年時を2017年に接続できる。公式記事の掲載年を単独根拠にはせず、学年・経歴の対応を併用したが、測定日・計時条件は不明である。,medium,https://www.nodai.ac.jp/news/article/42017/,"[""https://npb.jp/bis/players/21925136.html""]",YEAR_INFERRED_MEDIUM
髙部 瑛斗,千葉ロッテマリーンズ,takabe_50m_profile,50m,5.8,unknown,,,false,確認した本文・同値転載では、測定日、測定会、または測定時期を特定できる学年・合宿等の時間アンカーが不足している。公開日・ドラフト年・入団年だけでは測定年を割り当てず、unknownのまま保持した。 元記録の注記: Profile value; measurement date and conditions are not published.,low,https://www.tv-tokyo.co.jp/sports/articles/2022/03/022229.html,"[""https://npb.jp/bis/players/11215151.html"",""https://www.marines.co.jp/team/player/detail/2026_00001274.html""]",STILL_UNKNOWN
滝澤 夏央,埼玉西武ライオンズ,takizawa_sekinegakuen_50m_profile,50m,5.8,unknown,2021,,true,関根学園高校3年の滝澤夏央と50m5.8秒が同じ選手紹介に記載され、3年時を2021年に接続できる。測定会・測定日・計時条件は不明で、ドラフト日を測定日とは扱わない。,medium,https://number.bunshun.jp/articles/-/851084?page=1,"[""https://npb.jp/m/draft/2021/draftlist_l.html"",""https://sp.baseball.findfriends.jp/player/20030109/"",""https://players.seibulions.jp/player/1089/""]",YEAR_INFERRED_MEDIUM
田宮 裕涼,北海道日本ハムファイターズ,tamiya_50m_profile_text,50m,6秒台前半,unknown,,,false,確認した本文・同値転載では、測定日、測定会、または測定時期を特定できる学年・合宿等の時間アンカーが不足している。公開日・ドラフト年・入団年だけでは測定年を割り当てず、unknownのまま保持した。 元記録の注記: Only a range expression is published; exact time and protocol are unknown.,low,https://www.nikkansports.com/baseball/news/202212100001143.html,"[""https://www.fighters.co.jp/news/detail/00001430.html"",""https://www.fighters.co.jp/news/detail/00001499.html"",""https://media.fighters.co.jp/player/64/"",""https://www.nikkansports.com/baseball/news/202011060001245.html""]",STILL_UNKNOWN
田中 幹也,中日ドラゴンズ,tanaka_mikiya_adai_50m_profile,50m,5.9,unknown,,,false,確認した本文・同値転載では、測定日、測定会、または測定時期を特定できる学年・合宿等の時間アンカーが不足している。公開日・ドラフト年・入団年だけでは測定年を割り当てず、unknownのまま保持した。 元記録の注記: University draft profile value; timing conditions are unknown.,low,https://www.nikkansports.com/baseball/news/202210310000557.html,"[""https://www.nikkansports.com/baseball/news/202204140000997.html"",""https://dragons.jp/teamdata/draft/2022/tanaka_m.html"",""https://dragons.jp/teamdata/draft/2022/""]",STILL_UNKNOWN
友杉 篤輝,千葉ロッテマリーンズ,tomosugi_50m_profile_claim,50m,5.9,unknown,2022,,true,天理大学4年の友杉篤輝と50m5.9秒が同じドラフト候補紹介に記載され、大学4年の時期を2022年に接続できる。別clusterの2022-06-19電子計時6.10秒とは同一測定とみなさず、5.9秒の測定日・方式は不明のままとした。,medium,https://www.nikkansports.com/baseball/news/202210170000769.html,"[""https://npb.jp/bis/players/71275157.html"",""https://www.youtube.com/watch?v=fC8_8iA7Cao""]",YEAR_INFERRED_MEDIUM
山口 航輝,千葉ロッテマリーンズ,yamaguchi_koki_50m_profile,50m,6.3,unknown,,,false,確認した本文・同値転載では、測定日、測定会、または測定時期を特定できる学年・合宿等の時間アンカーが不足している。公開日・ドラフト年・入団年だけでは測定年を割り当てず、unknownのまま保持した。 元記録の注記: High-school profile value; timing conditions are unknown.,low,https://www.nikkansports.com/baseball/news/201810310000259.html,"[""https://npb.jp/bis/players/91895138.html""]",STILL_UNKNOWN
山川 穂高,福岡ソフトバンクホークス,yamakawa_50m_profile,50m,6.2,unknown,,,false,確認した本文・同値転載では、測定日、測定会、または測定時期を特定できる学年・合宿等の時間アンカーが不足している。公開日・ドラフト年・入団年だけでは測定年を割り当てず、unknownのまま保持した。 元記録の注記: Low-tier profile value; page date was unreliable and protocol is unknown.,low,https://draft-repo.com/blog-entry-1559.html,"[""https://npb.jp/bis/players/21425139.html"",""https://npb.jp/exhibition/relief/2012/roster_jubf.html""]",STILL_UNKNOWN
柳町 達,福岡ソフトバンクホークス,yanagimachi_50m_profile,50m,6.2,unknown,2016,,true,2016年の大学野球記事本文で慶應大学1年の柳町達と50m6.2秒が同じ選手紹介に記載され、慶應大学公式ブログでも同年の1年在籍を確認できる。測定日・測定会・計時条件は不明である。,medium,https://draft-repo.com/blog-entry-3199.html,"[""https://www.nikkansports.com/baseball/news/1629388.html"",""https://tokyo6s.com/blog/keio/2016/06/29/intro-yanagimachi-tatsuru/"",""https://npb.jp/m/players/73175151.html""]",YEAR_INFERRED_MEDIUM
柳田 悠岐,福岡ソフトバンクホークス,yanagita_50m_profile,50m,5.94,unknown,2010,,true,2015年記事が「5年前の秋」「2010年ドラフト2位指名を受けた数日後」の取材時に、柳田本人がプロフィールとして50m5.94秒を回答したと記載する。値が回答された時点を2010年に接続するが、実測日・測定会は不明である。,medium,https://sportiva.shueisha.co.jp/clm/baseball/npb/2015/07/14/post_583/,"[""https://npb.jp/bis/players/31835133.html""]",YEAR_INFERRED_MEDIUM
安田 尚憲,千葉ロッテマリーンズ,yasuda_50m_profile,50m,6.7,unknown,2016,,true,最古確認記事で履正社高校2年の安田尚憲と50m6.7秒が同じプロフィールに記載され、同値が2017年記事にも再掲されている。高校2年の時期を2016年に接続するが、同値の測定日・測定会・計時条件は不明である。,medium,https://www.nikkansports.com/baseball/news/201710250000038.html,"[""https://www.nikkansports.com/baseball/highschool/news/1738701.html"",""https://npb.jp/bis/players/81885136.html""]",YEAR_INFERRED_MEDIUM
吉川 尚輝,読売ジャイアンツ,yoshikawa_50m_chukyo_profile,50m,5.7,unknown,2016,,true,中京学院大学4年の吉川尚輝と50m5.7秒が同じ選手紹介に記載され、大学4年の時期を2016年に接続できる。測定日・測定イベント・計時条件は明記されないため年のみ中信頼で推定した。,medium,https://www.nikkansports.com/baseball/news/1738288.html,"[""https://www.baseballchannel.jp/etc/17518/"",""https://www.nikkansports.com/m/baseball/news/1738288_m.html"",""https://www.japan-baseball.jp/jp/profile/201604019.html"",""https://www.japan-baseball.jp/jp/news/press/20160626_1.html"",""https://npb.jp/m/players/73375134.html""]",YEAR_INFERRED_MEDIUM
