order	player	team	pp	screening	final	strength	confidence	estimate_pct	range_low_pct	range_high_pct	physical_coverage	peak_share	human_directional_review	reason_code	rationale
40	外崎 修汰	埼玉西武ライオンズ	68	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.405	0.055	0.805	0.5629029478137584	0.3761905465732573	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
41	源田 壮亮	埼玉西武ライオンズ	80	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	HIGH	0.955	0.865	0.985	0.7835362043887628	0.4546124903380408	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
42	滝澤 夏央	埼玉西武ライオンズ	85	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.885	0.675	0.985	0.4409747312142322	0.708212766259706	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
43	石井 一成	埼玉西武ライオンズ	79	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.735	0.265	0.935	0.328	0.9302685128069171	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
44	ファビアン	広島東洋カープ	61	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.425	0.045	0.825	0.328	0.5168459815849569	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
45	モンテロ	広島東洋カープ	49	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.285	0.055	0.675	0.7635178554898033	0.1737886360619646	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
46	名原 典彦	広島東洋カープ		UNRESOLVED	UNRESOLVED	NO_CURRENT_POWERPRO_TARGET	HIGH	0.895	0.685	0.985	0.5083685864044867	0.9733279155404361	false	NO_CURRENT_POWERPRO_TARGET	No current PowerPro comparison target exists. Physical evidence remains available for later SP-079 appraisal, but no PowerPro high/low verdict can be made.
47	坂倉 将吾	広島東洋カープ	68	POWERPRO_TOO_HIGH_OR_STALE	POWERPRO_TOO_HIGH_OR_STALE	MULTI_SOURCE_DIRECTIONAL_CONCERN	MEDIUM	0.095	0.005	0.515	0.45748555599004215	0.6461429237133696	true	CURRENT_PEAK_50M_S_AND_GAME_CONTEXT_ALL_LEAN_LOW	Current peak, unknown-date 50m, S and game context consistently lean low. The 50m record is one nonpeak measurement family and must not be double-counted as two independent physical dimensions; the conclusion remains a supported concern, not STRONG_MULTI_PHYSICAL.
48	小園 海斗	広島東洋カープ	79	POWERPRO_TOO_HIGH_OR_STALE	UNRESOLVED	CURRENT_VS_OLD_H2F_AND_CONTEXT_CONFLICT	MEDIUM	0.525	0.115	0.795	0.47816129296597737	0.25403604758923776	true	CURRENT_PEAK_AND_OLD_H2F_LEAN_LOW_WHILE_CURRENT_S_GAME_CONTEXT_LEANS_HIGH	Current peak is near average and 2016 H2F is slow, but current S/game context is positive. The old H2F is one measurement family, not two independent physical dimensions; the prior STRONG_TOO_HIGH screen is withdrawn.
49	矢野 雅哉	広島東洋カープ	78	POWERPRO_TOO_HIGH_OR_STALE	POWERPRO_PLAUSIBLE	LOW_EXPOSURE_PEAK_COUNTERBALANCED_BY_50M_S_AND_GAME_CONTEXT	MEDIUM	0.445	0.055	0.825	0.3689747312142322	0.6035761487025171	true	CURRENT_PEAK_UNDEREXPOSED_WHILE_SHORT_DISTANCE_AND_CONTEXT_SUPPORT_FAST_PROFILE	Peak speed is low in only 15 proxy opportunities and may be understated. 50m, S and game context all support a fast profile, so PP78 remains plausible. Weak/unknown-date evidence is discounted, not discarded.
50	秋山 翔吾	広島東洋カープ	73	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.715	0.305	0.915	0.6168515763902311	0.011334265997950009	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
51	菊池 涼介	広島東洋カープ	72	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.615	0.175	0.875	0.4	0.6032564245342164	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
52	野間 峻祥	広島東洋カープ	88	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.625	0.085	0.915	0.328	0.22044418969746898	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
53	サンタナ	東京ヤクルトスワローズ	47	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.195	0.015	0.555	0.6523792106234623	0.6460436741297856	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
54	並木 秀尊	東京ヤクルトスワローズ	97	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.935	0.685	0.985	0.5379882113014589	0.7155454490340262	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
55	中村 悠平	東京ヤクルトスワローズ	56	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	0.155	0.005	0.685	0.328	0.720785781018379	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
56	丸山 和郁	東京ヤクルトスワローズ	86	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.785	0.325	0.935	0.488838387845107	0.585948846641501	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
57	古賀 優大	東京ヤクルトスワローズ	46	POWERPRO_TOO_LOW	UNRESOLVED	CURRENT_PEAK_VS_CONTEXT_CONFLICT	MEDIUM	0.555	0.085	0.815	0.4	0.4735917316711833	true	PEAK_SPEED_AND_GAME_CONTEXT_DISAGREE_WITH_NO_ACCELERATION_OR_END_TO_END_MEASUREMENT	Current peak speed is above average, but S and all mixed-game components are strongly low. With no H2F/T30/T90/30m/50m lane, neither side may replace the whole construct. The prior TOO_LOW screen was peak-led.
58	塩見 泰隆	東京ヤクルトスワローズ	83	POWERPRO_TOO_HIGH_OR_STALE	POWERPRO_TOO_HIGH_OR_STALE	STRONG_MULTI_LANE	MEDIUM	0.385	0.045	0.805	0.5281426356852215	0.3584528625387742	true	CURRENT_DECLINE_OBSERVATIONS_AND_POOR_H2F_OVERRIDE_DECENT_PEAK_ONLY_VIEW	Peak speed remains respectable but underexposed. H2F is poor, S has zero reliability/PA, and several current 2026 physical observations describe injury/age-related decline. This is the clearest high/stale case across distinct evidence lanes.
59	岩田 幸宏	東京ヤクルトスワローズ	96	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.985	0.835	0.985	0.4	0.6059034355981778	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
60	長岡 秀樹	東京ヤクルトスワローズ	58	POWERPRO_PLAUSIBLE	POWERPRO_PLAUSIBLE	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	0.535	0.085	0.815	0.4	0.18767409021269518	false	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
