player,player_id,team,status,physical_queue_reason_codes,targeted_evidence_types,player_specific_injury_recovery_measurement,rationale,collection_instruction
ポランコ,63065155,千葉ロッテマリーンズ,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""TEMPORAL_UNCERTAINTY_KNOWN_NON_2026_COMPARISON_MEASUREMENT""]","[""CURRENT_STANDARDIZED_30M"",""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,Stage 1 identifies a known non-2026 comparison measurement; a current dated physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
岡 大海,11515139,千葉ロッテマリーンズ,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]","[""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,The current signal is exposure-limited or anchor-unresolved; an independent direct physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
藤岡 裕大,41645136,千葉ロッテマリーンズ,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]","[""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,The current signal is exposure-limited or anchor-unresolved; an independent direct physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
友杉 篤輝,71275157,千葉ロッテマリーンズ,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""TEMPORAL_UNCERTAINTY_KNOWN_NON_2026_COMPARISON_MEASUREMENT"",""ANCHOR_RELATIVE_UNRESOLVED""]","[""CURRENT_STANDARDIZED_30M"",""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,Stage 1 identifies a known non-2026 comparison measurement; a current dated physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
カリステ,93795157,中日ドラゴンズ,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""TEMPORAL_UNCERTAINTY_KNOWN_NON_2026_COMPARISON_MEASUREMENT"",""ANCHOR_RELATIVE_UNRESOLVED""]","[""CURRENT_STANDARDIZED_30M"",""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,Stage 1 identifies a known non-2026 comparison measurement; a current dated physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
大島 洋平,01305131,中日ドラゴンズ,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]","[""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,The current signal is exposure-limited or anchor-unresolved; an independent direct physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
土田 龍空,51455153,中日ドラゴンズ,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]","[""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,The current signal is exposure-limited or anchor-unresolved; an independent direct physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
木下 拓哉,31735132,中日ドラゴンズ,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]","[""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,The current signal is exposure-limited or anchor-unresolved; an independent direct physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
サンタナ,53755153,東京ヤクルトスワローズ,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""TEMPORAL_UNCERTAINTY_KNOWN_NON_2026_COMPARISON_MEASUREMENT""]","[""CURRENT_STANDARDIZED_30M"",""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,Stage 1 identifies a known non-2026 comparison measurement; a current dated physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
塩見 泰隆,71975136,東京ヤクルトスワローズ,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]","[""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,The current signal is exposure-limited or anchor-unresolved; an independent direct physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
中村 悠平,51255118,東京ヤクルトスワローズ,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]","[""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,The current signal is exposure-limited or anchor-unresolved; an independent direct physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
並木 秀尊,91695153,東京ヤクルトスワローズ,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]","[""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,The current signal is exposure-limited or anchor-unresolved; an independent direct physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
鈴木 大地,81985135,東北楽天ゴールデンイーグルス,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]","[""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,The current signal is exposure-limited or anchor-unresolved; an independent direct physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
丸 佳浩,21425116,読売ジャイアンツ,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]","[""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,The current signal is exposure-limited or anchor-unresolved; an independent direct physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
奈良間 大己,31435157,北海道日本ハムファイターズ,TARGETED_ADDITIONAL_PHYSICAL_EVIDENCE_NEED,"[""TEMPORAL_UNCERTAINTY_KNOWN_NON_2026_COMPARISON_MEASUREMENT""]","[""CURRENT_STANDARDIZED_30M"",""DIRECT_T90""]",NOT_INDICATED_FROM_STAGE1_FREEZE,Stage 1 identifies a known non-2026 comparison measurement; a current dated physical observation is the targeted need.,NOT_A_REQUEST_TO_COLLECT; EVIDENCE_NEED_ONLY
