player,player_id,team,queue_change,old_queue_member,v2_queue_member,stage1_frozen_queue_source_member,stage1_frozen_queue_source_change,stage1_frozen_queue_source_reason,reason_codes,stage1_pa,stage1_pa_bucket,stage1_current_signal_missingness,stage1_acceleration_classification,stage1_anchor_relative_status,stage1_measurement_era,stage1_direct_t90_missingness,stage1_standardized_short_distance_missingness,external_comparison_fields_omitted
ポランコ,63065155,千葉ロッテマリーンズ,added,false,true,true,added,ADDED_FOR_TEMPORAL_CONSTRUCT_CONFLICT,"[""TEMPORAL_UNCERTAINTY_KNOWN_NON_2026_COMPARISON_MEASUREMENT""]",149,PA_100_199,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,TEMPORAL_CONSTRUCT_CONFLICT,ANCHOR_RESOLVED_MODERATE,[2021],PRESENT,PRESENT,true
岡 大海,11515139,千葉ロッテマリーンズ,retained,true,true,true,retained,RETAINED_FROM_EXISTING_PHYSICAL_QUEUE,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]",50,PA_50_99,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,"[""unknown""]",NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,true
藤岡 裕大,41645136,千葉ロッテマリーンズ,retained,true,true,true,retained,RETAINED_FROM_EXISTING_PHYSICAL_QUEUE,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]",26,PA_25_49,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,true
友杉 篤輝,71275157,千葉ロッテマリーンズ,retained,true,true,true,retained,RETAINED_FROM_EXISTING_PHYSICAL_QUEUE,"[""TEMPORAL_UNCERTAINTY_KNOWN_NON_2026_COMPARISON_MEASUREMENT"",""ANCHOR_RELATIVE_UNRESOLVED""]",270,PA_200_399,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,TEMPORAL_CONSTRUCT_CONFLICT,SNS_TIEBREAK,[2022],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,PRESENT,true
カリステ,93795157,中日ドラゴンズ,retained,true,true,true,retained,RETAINED_FROM_EXISTING_PHYSICAL_QUEUE,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""TEMPORAL_UNCERTAINTY_KNOWN_NON_2026_COMPARISON_MEASUREMENT"",""ANCHOR_RELATIVE_UNRESOLVED""]",67,PA_50_99,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,TEMPORAL_CONSTRUCT_CONFLICT,SNS_TIEBREAK,[2017],PRESENT,PRESENT,true
大島 洋平,01305131,中日ドラゴンズ,retained,true,true,true,retained,RETAINED_FROM_EXISTING_PHYSICAL_QUEUE,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]",66,PA_50_99,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,true
土田 龍空,51455153,中日ドラゴンズ,retained,true,true,true,retained,RETAINED_FROM_EXISTING_PHYSICAL_QUEUE,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]",43,PA_25_49,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,true
木下 拓哉,31735132,中日ドラゴンズ,retained,true,true,true,retained,RETAINED_FROM_EXISTING_PHYSICAL_QUEUE,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]",63,PA_50_99,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,true
サンタナ,53755153,東京ヤクルトスワローズ,added,false,true,true,added,ADDED_FOR_TEMPORAL_CONSTRUCT_CONFLICT,"[""TEMPORAL_UNCERTAINTY_KNOWN_NON_2026_COMPARISON_MEASUREMENT""]",357,PA_200_399,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,TEMPORAL_CONSTRUCT_CONFLICT,ANCHOR_RESOLVED_MODERATE,[2020],PRESENT,PRESENT,true
塩見 泰隆,71975136,東京ヤクルトスワローズ,retained,true,true,true,retained,RETAINED_FROM_EXISTING_PHYSICAL_QUEUE,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]",83,PA_50_99,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[2018],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,true
中村 悠平,51255118,東京ヤクルトスワローズ,retained,true,true,true,retained,RETAINED_FROM_EXISTING_PHYSICAL_QUEUE,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]",65,PA_50_99,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,true
並木 秀尊,91695153,東京ヤクルトスワローズ,retained,true,true,true,retained,RETAINED_FROM_EXISTING_PHYSICAL_QUEUE,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]",45,PA_25_49,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[2022],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,true
鈴木 大地,81985135,東北楽天ゴールデンイーグルス,retained,true,true,true,retained,RETAINED_FROM_EXISTING_PHYSICAL_QUEUE,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]",55,PA_50_99,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,true
丸 佳浩,21425116,読売ジャイアンツ,retained,true,true,true,retained,RETAINED_FROM_EXISTING_PHYSICAL_QUEUE,"[""LOW_EXPOSURE_WITH_CURRENT_SIGNAL_METADATA_UNAVAILABLE"",""INSUFFICIENT_ACCELERATION_EVIDENCE_WITH_MATERIALLY_UNSTABLE_CURRENT_SIGNAL"",""ANCHOR_RELATIVE_UNRESOLVED""]",82,PA_50_99,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,true
奈良間 大己,31435157,北海道日本ハムファイターズ,added,false,true,true,added,ADDED_FOR_TEMPORAL_CONSTRUCT_CONFLICT,"[""TEMPORAL_UNCERTAINTY_KNOWN_NON_2026_COMPARISON_MEASUREMENT""]",192,PA_100_199,SAMPLE_OR_QUALIFIED_RUN_COUNT_NOT_PUBLICLY_DOCUMENTED,TEMPORAL_CONSTRUCT_CONFLICT,ANCHOR_RESOLVED_MODERATE,"[2022,""unknown""]",NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,PRESENT,true
