player,player_id,team,sprint_kmh,final_rating,final_low,final_high,confidence,primary_evidence_class,secondary_evidence_class,anchor_status,sns_classification,video_classification,temporal_status,metric_conflict,decision_class,short_rationale,prior_provisional_baseline_rating,prior_provisional_rounded_rating,point_change_vs_prior_provisional,prior_comparison_status,rating_derivation
土田 龍空,51455153,中日ドラゴンズ,31.2,62,52,72,LOW,CURRENT_NPB_PLUS_ORDINAL,NO_INDEPENDENT_SECONDARY_PHYSICAL_EVIDENCE,SNS_TIEBREAK,MIXED_CONSENSUS,VIDEO_INCONCLUSIVE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL_MIXED_BAND_WIDENED,2026 NPB+ 31.2km/hの同一100人内順位を現行中心として明示affirm。異metricまたはSNS混在は点を平均せず、レンジ拡大で表現。targeted physical / X / videoでは現行方向を追加解決できず、不確実性に反映。動画はusable current full-effort play=0で、数値入力にしていない。,61.937,62,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
大島 洋平,01305131,中日ドラゴンズ,31.7,66,59,73,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,NO_INDEPENDENT_SECONDARY_PHYSICAL_EVIDENCE,SNS_TIEBREAK,INSUFFICIENT_SNS_EVIDENCE,VIDEO_INCONCLUSIVE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,AFFIRMED_CURRENT_ORDINAL_WITH_UNRESOLVED_TARGETED_GAP,2026 NPB+ 31.7km/hの同一100人内順位を現行中心として明示affirm。targeted physical / X / videoでは現行方向を追加解決できず、不確実性に反映。動画はusable current full-effort play=0で、数値入力にしていない。,66.424,66,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
岡林 勇希,81585151,中日ドラゴンズ,32.5,74,67,81,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,HISTORICAL_PROFILE_CONTEXT_ONLY,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 32.5km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,73.604,74,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
木下 拓哉,31735132,中日ドラゴンズ,29.4,46,41,51,MEDIUM,CURRENT_NPB_PLUS_ORDINAL,NO_INDEPENDENT_SECONDARY_PHYSICAL_EVIDENCE,SNS_TIEBREAK,SUPPORTS_CURRENT_ORDINAL,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,AFFIRMED_CURRENT_ORDINAL_WITH_SNS_SUPPORT,2026 NPB+ 29.4km/hの同一100人内順位を現行中心として明示affirm。独立SNSは現行bandの支持にのみ用い、点数加算はしない。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,45.781,46,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
村松 開人,03105157,中日ドラゴンズ,33.4,82,75,89,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,NO_INDEPENDENT_SECONDARY_PHYSICAL_EVIDENCE,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 33.4km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,81.682,82,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
板山 祐太郎,91395132,中日ドラゴンズ,32,69,62,76,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,NO_INDEPENDENT_SECONDARY_PHYSICAL_EVIDENCE,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 32.0km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,69.117,69,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
田中 幹也,21025157,中日ドラゴンズ,33.5,83,76,90,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,HISTORICAL_PROFILE_CONTEXT_ONLY,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 33.5km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,82.58,83,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
石川 昂弥,91195151,中日ドラゴンズ,30.6,57,50,64,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,NO_INDEPENDENT_SECONDARY_PHYSICAL_EVIDENCE,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 30.6km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,56.552,57,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
福永 裕基,81685157,中日ドラゴンズ,33,78,71,85,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,NO_INDEPENDENT_SECONDARY_PHYSICAL_EVIDENCE,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 33.0km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,78.092,78,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
細川 成也,31835134,中日ドラゴンズ,32.7,75,68,82,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,HISTORICAL_PROFILE_CONTEXT_ONLY,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 32.7km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,75.399,75,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
高橋 周平,91095135,中日ドラゴンズ,29.5,47,40,54,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,NO_INDEPENDENT_SECONDARY_PHYSICAL_EVIDENCE,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 29.5km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,46.679,47,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
奈良間 大己,31435157,北海道日本ハムファイターズ,31.7,66,59,73,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,HISTORICAL_STANDARDIZED_SHORT_DISTANCE_CONTEXT_ONLY,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,VIDEO_INCONCLUSIVE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,AFFIRMED_CURRENT_ORDINAL_WITH_UNRESOLVED_TARGETED_GAP,2026 NPB+ 31.7km/hの同一100人内順位を現行中心として明示affirm。targeted physical / X / videoでは現行方向を追加解決できず、不確実性に反映。動画はusable current full-effort play=0で、数値入力にしていない。,66.424,66,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
水野 達稀,63165155,北海道日本ハムファイターズ,33.4,82,75,89,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,NO_INDEPENDENT_SECONDARY_PHYSICAL_EVIDENCE,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 33.4km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,81.682,82,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
清宮 幸太郎,41545136,北海道日本ハムファイターズ,31.7,66,59,73,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,HISTORICAL_PROFILE_CONTEXT_ONLY,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 31.7km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,66.424,66,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
田宮 裕涼,51055138,北海道日本ハムファイターズ,32.4,73,66,80,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,HISTORICAL_PROFILE_CONTEXT_ONLY,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 32.4km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,72.707,73,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
郡司 裕也,21925151,北海道日本ハムファイターズ,32.7,75,68,82,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,NO_INDEPENDENT_SECONDARY_PHYSICAL_EVIDENCE,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 32.7km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,75.399,75,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
野村 佑希,31435138,北海道日本ハムファイターズ,31.7,66,59,73,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,NO_INDEPENDENT_SECONDARY_PHYSICAL_EVIDENCE,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 31.7km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,66.424,66,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
ソト,03505133,千葉ロッテマリーンズ,30.1,52,45,59,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,NO_INDEPENDENT_SECONDARY_PHYSICAL_EVIDENCE,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 30.1km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,52.064,52,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
ポランコ,63065155,千葉ロッテマリーンズ,31.1,61,54,68,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,HISTORICAL_DIRECT_T90_CONTEXT_ONLY,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,VIDEO_INCONCLUSIVE,HISTORICAL_DIRECT_T90_2021_CONTEXT_ONLY,NONE,AFFIRMED_CURRENT_ORDINAL_WITH_HISTORICAL_DIRECT_CONTEXT,2026 NPB+ 31.1km/hの同一100人内順位を現行中心として明示affirm。公式直接T90（2021年）は歴史文脈のみで、現行点を自動補正しない。動画はusable current full-effort play=0で、数値入力にしていない。,61.039,61,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
佐藤 都志也,71075151,千葉ロッテマリーンズ,31.3,63,56,70,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,HISTORICAL_PROFILE_CONTEXT_ONLY,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 31.3km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,62.834,63,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
友杉 篤輝,71275157,千葉ロッテマリーンズ,32.7,75,65,85,LOW,CURRENT_NPB_PLUS_ORDINAL,HISTORICAL_STANDARDIZED_SHORT_DISTANCE_CONTEXT_ONLY,SNS_TIEBREAK,METRIC_CONSTRUCT_CONFLICT,VIDEO_INCONCLUSIVE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,HISTORICAL_STANDARDIZED_50M_AND_CURRENT_NPB_PLUS_CONFLICT,UNCHANGED_AFTER_FULL_REAPPRAISAL_CONFLICT_BAND_WIDENED,2026 NPB+ 32.7km/hの同一100人内順位を現行中心として明示affirm。異metricまたはSNS混在は点を平均せず、レンジ拡大で表現。targeted physical / X / videoでは現行方向を追加解決できず、不確実性に反映。動画はusable current full-effort play=0で、数値入力にしていない。,75.399,75,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
安田 尚憲,81885136,千葉ロッテマリーンズ,29.6,48,41,55,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,HISTORICAL_PROFILE_CONTEXT_ONLY,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 29.6km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,47.576,48,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
小川 龍成,11715153,千葉ロッテマリーンズ,33.4,82,75,89,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,NO_INDEPENDENT_SECONDARY_PHYSICAL_EVIDENCE,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 33.4km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,81.682,82,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
山口 航輝,91895138,千葉ロッテマリーンズ,31.9,68,61,75,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,HISTORICAL_PROFILE_CONTEXT_ONLY,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 31.9km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,68.219,68,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
岡 大海,11515139,千葉ロッテマリーンズ,32.6,75,70,80,MEDIUM,CURRENT_NPB_PLUS_ORDINAL,HISTORICAL_PROFILE_CONTEXT_ONLY,SNS_TIEBREAK,SUPPORTS_CURRENT_ORDINAL,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,AFFIRMED_CURRENT_ORDINAL_WITH_SNS_SUPPORT,2026 NPB+ 32.6km/hの同一100人内順位を現行中心として明示affirm。独立SNSは現行bandの支持にのみ用い、点数加算はしない。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,74.502,75,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
藤原 恭大,31635138,千葉ロッテマリーンズ,33,78,71,85,LOW_MEDIUM,CURRENT_NPB_PLUS_ORDINAL,HISTORICAL_PROFILE_CONTEXT_ONLY,ANCHOR_RESOLVED_MODERATE,NOT_IN_SNS_TIEBREAK_SCOPE,NOT_IN_VIDEO_TIEBREAK_SCOPE,CURRENT_NPB_PLUS_2026_NO_DIRECT_CURRENT_MEASUREMENT,NONE,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 33.0km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,78.092,78,0,UNCHANGED,AFFIRMATIVE_ROUNDED_BLIND_V3_SCALE_REFERENCE
