player,sprint_kmh,priority,evidence_tier,baseline_rating,final_rating,final_low,final_high,confidence,decision_class
滝澤 夏央,33.0,P1,HISTORICAL_PROFILE_HINT,78.092,78,73,83,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
福永 裕基,33.0,P2,SPRINT_ONLY,78.092,78,74,82,MEDIUM,CURRENT_SPRINT_CONFIRMED
藤原 恭大,33.0,P1,HISTORICAL_PROFILE_HINT,78.092,78,73,83,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
中野 拓夢,32.9,P2,SPRINT_ONLY,77.195,77,73,81,MEDIUM,CURRENT_SPRINT_CONFIRMED
源田 壮亮,32.9,P2,SPRINT_ONLY,77.195,77,73,81,MEDIUM,CURRENT_SPRINT_CONFIRMED
小幡 竜平,32.8,P1,HISTORICAL_PROFILE_HINT,76.297,76,71,81,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
友杉 篤輝,32.7,P0,STANDARDIZED_SHORT_DISTANCE_PRIOR,75.399,75,72,78,MEDIUM,P0_STANDARDIZED_VS_CURRENT_ADJUDICATION
細川 成也,32.7,P1,HISTORICAL_PROFILE_HINT,75.399,75,70,80,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
郡司 裕也,32.7,P2,SPRINT_ONLY,75.399,75,71,79,MEDIUM,CURRENT_SPRINT_CONFIRMED
中川 圭太,32.6,P2,SPRINT_ONLY,74.502,75,71,79,MEDIUM,CURRENT_SPRINT_CONFIRMED
岡 大海,32.6,P1,HISTORICAL_PROFILE_HINT,74.502,75,70,80,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
石井 一成,32.6,P2,SPRINT_ONLY,74.502,75,71,79,MEDIUM,CURRENT_SPRINT_CONFIRMED
吉川 尚輝,32.5,P1,HISTORICAL_PROFILE_HINT,73.604,74,69,79,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
岡林 勇希,32.5,P1,HISTORICAL_PROFILE_HINT,73.604,74,69,79,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
丸山 和郁,32.4,P1,HISTORICAL_PROFILE_HINT,72.707,73,68,78,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
来田 涼斗,32.4,P1,HISTORICAL_PROFILE_HINT,72.707,73,68,78,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
田宮 裕涼,32.4,P1,HISTORICAL_PROFILE_HINT,72.707,73,68,78,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
塩見 泰隆,32.3,P1,HISTORICAL_PROFILE_HINT,71.809,72,67,77,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
外崎 修汰,32.3,P1,SPRINT_ONLY,71.809,72,67,77,LOW_MEDIUM,CURRENT_SPRINT_LIMITED_SUPPORT
佐藤 輝明,32.1,P1,HISTORICAL_PROFILE_HINT,70.014,70,65,75,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
古賀 優大,32.1,P2,SPRINT_ONLY,70.014,70,66,74,MEDIUM,CURRENT_SPRINT_CONFIRMED
柳田 悠岐,32.1,P1,HISTORICAL_PROFILE_HINT,70.014,70,65,75,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
板山 祐太郎,32.0,P2,SPRINT_ONLY,69.117,69,65,73,MEDIUM,CURRENT_SPRINT_CONFIRMED
林 琢真,32.0,P0,STANDARDIZED_SHORT_DISTANCE_PRIOR,69.117,74,70,77,MEDIUM,P0_STANDARDIZED_VS_CURRENT_ADJUDICATION
モンテロ,31.9,P1,CURRENT_DIRECT_T90_CANDIDATE,68.219,52,49,56,MEDIUM_HIGH,RECENT_DIRECT_T90_PRIORITY
宗 佑磨,31.9,P1,SPRINT_ONLY,68.219,68,63,73,LOW_MEDIUM,CURRENT_SPRINT_LIMITED_SUPPORT
山口 航輝,31.9,P1,HISTORICAL_PROFILE_HINT,68.219,68,63,73,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
菊池 涼介,31.8,P2,SPRINT_ONLY,67.322,67,63,71,MEDIUM,CURRENT_SPRINT_CONFIRMED
大島 洋平,31.7,P1,SPRINT_ONLY,66.424,66,61,71,LOW_MEDIUM,CURRENT_SPRINT_LIMITED_SUPPORT
太田 椋,31.7,P2,SPRINT_ONLY,66.424,66,62,70,MEDIUM,CURRENT_SPRINT_CONFIRMED
奈良間 大己,31.7,P1,STANDARDIZED_SHORT_DISTANCE_PRIOR,66.424,67,64,70,MEDIUM_HIGH,STANDARDIZED_AND_CURRENT_AGREE
度会 隆輝,31.7,P2,SPRINT_ONLY,66.424,66,62,70,MEDIUM,CURRENT_SPRINT_CONFIRMED
清宮 幸太郎,31.7,P1,HISTORICAL_PROFILE_HINT,66.424,66,61,71,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
野村 佑希,31.7,P2,SPRINT_ONLY,66.424,66,62,70,MEDIUM,CURRENT_SPRINT_CONFIRMED
野間 峻祥,31.7,P1,SPRINT_ONLY,66.424,66,61,71,LOW_MEDIUM,CURRENT_SPRINT_LIMITED_SUPPORT
牧 秀悟,31.6,P1,SPRINT_ONLY,65.527,66,61,71,LOW_MEDIUM,CURRENT_SPRINT_LIMITED_SUPPORT
秋山 翔吾,31.6,P1,STANDARDIZED_SHORT_DISTANCE_PRIOR,65.527,67,62,72,LOW_MEDIUM,OLD_DIRECT_T90_DIRECTIONAL
西野 真弘,31.6,P1,SPRINT_ONLY,65.527,66,61,71,LOW_MEDIUM,CURRENT_SPRINT_LIMITED_SUPPORT
長岡 秀樹,31.6,P2,SPRINT_ONLY,65.527,66,62,70,MEDIUM,CURRENT_SPRINT_CONFIRMED
小園 海斗,31.5,P1,HISTORICAL_PROFILE_HINT,64.629,65,60,70,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
柳町 達,31.5,P1,HISTORICAL_PROFILE_HINT,64.629,65,60,70,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
ファビアン,31.4,P2,SPRINT_ONLY,63.732,64,60,68,MEDIUM,CURRENT_SPRINT_CONFIRMED
丸 佳浩,31.4,P1,SPRINT_ONLY,63.732,64,59,69,LOW_MEDIUM,CURRENT_SPRINT_LIMITED_SUPPORT
松本 剛,31.4,P2,SPRINT_ONLY,63.732,64,60,68,MEDIUM,CURRENT_SPRINT_CONFIRMED
蝦名 達夫,31.4,P1,HISTORICAL_PROFILE_HINT,63.732,64,59,69,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
カリステ,31.3,P1,STANDARDIZED_SHORT_DISTANCE_PRIOR,62.834,64,59,69,LOW_MEDIUM,OLD_DIRECT_T90_DIRECTIONAL
佐藤 都志也,31.3,P1,HISTORICAL_PROFILE_HINT,62.834,63,58,68,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
栗原 陵矢,31.3,P1,HISTORICAL_PROFILE_HINT,62.834,63,58,68,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
土田 龍空,31.2,P1,SPRINT_ONLY,61.937,62,57,67,LOW_MEDIUM,CURRENT_SPRINT_LIMITED_SUPPORT
森 友哉,31.2,P1,HISTORICAL_PROFILE_HINT,61.937,62,57,67,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
近藤 健介,31.2,P2,SPRINT_ONLY,61.937,62,58,66,MEDIUM,CURRENT_SPRINT_CONFIRMED
ポランコ,31.1,P2,STANDARDIZED_SHORT_DISTANCE_PRIOR,61.039,63,58,68,LOW_MEDIUM,OLD_DIRECT_T90_DIRECTIONAL
京田 陽太,31.1,P1,HISTORICAL_PROFILE_HINT,61.039,61,56,66,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
正木 智也,31.1,P1,HISTORICAL_PROFILE_HINT,61.039,61,56,66,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
西川 龍馬,31.1,P2,SPRINT_ONLY,61.039,61,57,65,MEDIUM,CURRENT_SPRINT_CONFIRMED
山本 祐大,31.0,P2,SPRINT_ONLY,60.142,60,56,64,MEDIUM,CURRENT_SPRINT_CONFIRMED
サンタナ,30.8,P2,STANDARDIZED_SHORT_DISTANCE_PRIOR,58.347,58,55,61,MEDIUM,OLD_DIRECT_T90_CURRENT_CONCORDANT
藤岡 裕大,30.8,P1,SPRINT_ONLY,58.347,58,53,63,LOW_MEDIUM,CURRENT_SPRINT_LIMITED_SUPPORT
矢野 雅哉,30.7,P1,HISTORICAL_PROFILE_HINT,57.449,57,52,62,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
紅林 弘太郎,30.7,P2,SPRINT_ONLY,57.449,57,53,61,MEDIUM,CURRENT_SPRINT_CONFIRMED
若月 健矢,30.7,P2,SPRINT_ONLY,57.449,57,53,61,MEDIUM,CURRENT_SPRINT_CONFIRMED
佐野 恵太,30.6,P2,SPRINT_ONLY,56.552,57,53,61,MEDIUM,CURRENT_SPRINT_CONFIRMED
古賀 悠斗,30.6,P2,SPRINT_ONLY,56.552,57,53,61,MEDIUM,CURRENT_SPRINT_CONFIRMED
坂倉 将吾,30.6,P1,HISTORICAL_PROFILE_HINT,56.552,57,52,62,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
梅野 隆太郎,30.6,P1,SPRINT_ONLY,56.552,57,52,62,LOW_MEDIUM,CURRENT_SPRINT_LIMITED_SUPPORT
石川 昂弥,30.6,P2,SPRINT_ONLY,56.552,57,53,61,MEDIUM,CURRENT_SPRINT_CONFIRMED
大山 悠輔,30.5,P2,SPRINT_ONLY,55.654,56,52,60,MEDIUM,CURRENT_SPRINT_CONFIRMED
太田 光,30.5,P2,SPRINT_ONLY,55.654,56,52,60,MEDIUM,CURRENT_SPRINT_CONFIRMED
森下 翔太,30.5,P2,SPRINT_ONLY,55.654,56,52,60,MEDIUM,CURRENT_SPRINT_CONFIRMED
浅村 栄斗,30.5,P2,SPRINT_ONLY,55.654,56,52,60,MEDIUM,CURRENT_SPRINT_CONFIRMED
中村 悠平,30.4,P1,SPRINT_ONLY,54.757,55,50,60,LOW_MEDIUM,CURRENT_SPRINT_LIMITED_SUPPORT
今宮 健太,30.4,P2,SPRINT_ONLY,54.757,55,51,59,MEDIUM,CURRENT_SPRINT_CONFIRMED
宮﨑 敏郎,30.3,P2,SPRINT_ONLY,53.859,54,50,58,MEDIUM,CURRENT_SPRINT_CONFIRMED
海野 隆司,30.3,P2,SPRINT_ONLY,53.859,54,50,58,MEDIUM,CURRENT_SPRINT_CONFIRMED
渡邊 佳明,30.3,P2,SPRINT_ONLY,53.859,54,50,58,MEDIUM,CURRENT_SPRINT_CONFIRMED
坂本 誠志郎,30.2,P2,SPRINT_ONLY,52.962,53,49,57,MEDIUM,CURRENT_SPRINT_CONFIRMED
筒香 嘉智,30.2,P1,CURRENT_DIRECT_T90_CANDIDATE,52.962,53,50,56,MEDIUM_HIGH,DIRECT_T90_AND_CURRENT_AGREE
ソト,30.1,P1,SPRINT_ONLY,52.064,52,47,57,LOW_MEDIUM,CURRENT_SPRINT_LIMITED_SUPPORT
木浪 聖也,30.0,P2,SPRINT_ONLY,51.166,51,47,55,MEDIUM,CURRENT_SPRINT_CONFIRMED
安田 尚憲,29.6,P1,HISTORICAL_PROFILE_HINT,47.576,48,43,53,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
高橋 周平,29.5,P2,SPRINT_ONLY,46.679,47,43,51,MEDIUM,CURRENT_SPRINT_CONFIRMED
山川 穂高,29.4,P1,HISTORICAL_PROFILE_HINT,45.781,46,41,51,LOW_MEDIUM,CURRENT_SPRINT_WITH_DIRECTIONAL_HISTORY
岸田 行倫,29.4,P2,SPRINT_ONLY,45.781,46,42,50,MEDIUM,CURRENT_SPRINT_CONFIRMED
木下 拓哉,29.4,P1,SPRINT_ONLY,45.781,46,41,51,LOW_MEDIUM,CURRENT_SPRINT_LIMITED_SUPPORT
大城 卓三,29.2,P2,SPRINT_ONLY,43.986,44,40,48,MEDIUM,CURRENT_SPRINT_CONFIRMED
伏見 寅威,29.1,P2,SPRINT_ONLY,43.089,43,39,47,MEDIUM,CURRENT_SPRINT_CONFIRMED
鈴木 大地,29.0,P1,SPRINT_ONLY,42.191,42,37,47,LOW_MEDIUM,CURRENT_SPRINT_LIMITED_SUPPORT
名原 典彦,33.7,P1,HISTORICAL_PROFILE_HINT,84.375,84,80,88,MEDIUM,SOURCE_ID_MISSING_BUT_CURRENT_SIGNAL_SUPPORTED
