player,player_id,team,powerpro_match_status,matched_powerpro_roster_name,powerpro_2026_speed,rounded_blind_v3_baseline,provisional_final_freeze,residual_a_top_speed_baseline_minus_powerpro,residual_b_provisional_freeze_minus_powerpro,abs_residual_a,abs_residual_b,high_discrepancy_residual_a,high_discrepancy_residual_b,high_discrepancy_any_residual,primary_high_discrepancy_residual,external_qa_label,physical_support_status,physical_basis,stage1_current_npb_plus_cohort_rank,stage1_current_npb_plus_band,stage1_acceleration_classification,stage1_anchor_relative_status,stage1_measurement_era,stage1_direct_t90_missingness,stage1_standardized_short_distance_missingness,exclusion_note
土田 龍空,51455153,中日ドラゴンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,土田,66,62,62,-4,-4,4,4,false,false,false,,,,,63,B6_LOWER_MID_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
大島 洋平,01305131,中日ドラゴンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,大島,74,66,66,-8,-8,8,8,false,false,false,,,,,43,B4_MID_UPPER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
岡林 勇希,81585151,中日ドラゴンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,岡林,81,74,74,-7,-7,7,7,false,false,false,,,,,26,B3_UPPER_MID_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[2019],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
木下 拓哉,31735132,中日ドラゴンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,木下拓,39,46,46,7,7,7,7,false,false,false,,,,,95,B8_SLOWEST_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
村松 開人,03105157,中日ドラゴンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,村松,80,82,82,2,2,2,2,false,false,false,,,,,9,B1_FASTEST_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
板山 祐太郎,91395132,中日ドラゴンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,板山,72,69,69,-3,-3,3,3,false,false,false,,,,,36,B3_UPPER_MID_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
田中 幹也,21025157,中日ドラゴンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,田中,83,83,83,0,0,0,0,false,false,false,,,,,7,B1_FASTEST_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,"[""unknown""]",NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
石川 昂弥,91195151,中日ドラゴンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,石川昂,41,57,57,16,16,16,16,true,true,true,B,INSUFFICIENT_PHYSICAL_EVIDENCE,INSUFFICIENT_FOR_DIRECTIONAL_COMPATIBILITY_CLASSIFICATION,NO_STAGE1_OUTER_QUARTILE_DIRECTION_OR_EXPLICIT_CONFLICT,75,B6_LOWER_MID_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
福永 裕基,81685157,中日ドラゴンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,福永,64,78,78,14,14,14,14,true,true,true,B,POWERPRO_LOW_WITHOUT_PHYSICAL_SUPPORT,DIRECTIONALLY_NOT_SUPPORTED_BY_STAGE1_OUTER_QUARTILE,STAGE1_CURRENT_NPB_PLUS_OUTER_FAST_QUARTILE_ORDINAL_ONLY,13,B2_UPPER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
細川 成也,31835134,中日ドラゴンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,細川,60,75,75,15,15,15,15,true,true,true,B,POWERPRO_LOW_WITHOUT_PHYSICAL_SUPPORT,DIRECTIONALLY_NOT_SUPPORTED_BY_STAGE1_OUTER_QUARTILE,STAGE1_CURRENT_NPB_PLUS_OUTER_FAST_QUARTILE_ORDINAL_ONLY,20,B2_UPPER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,"[""unknown""]",NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
高橋 周平,91095135,中日ドラゴンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,高橋周,46,47,47,1,1,1,1,false,false,false,,,,,94,B8_SLOWEST_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
奈良間 大己,31435157,北海道日本ハムファイターズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,奈良間,64,66,67,2,3,2,3,false,false,false,,,,,44,B4_MID_UPPER_COHORT_OCTILE,TEMPORAL_CONSTRUCT_CONFLICT,ANCHOR_RESOLVED_MODERATE,"[2022,""unknown""]",NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,PRESENT,
水野 達稀,63165155,北海道日本ハムファイターズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,水野,71,82,82,11,11,11,11,true,true,true,B,POWERPRO_LOW_WITHOUT_PHYSICAL_SUPPORT,DIRECTIONALLY_NOT_SUPPORTED_BY_STAGE1_OUTER_QUARTILE,STAGE1_CURRENT_NPB_PLUS_OUTER_FAST_QUARTILE_ORDINAL_ONLY,10,B1_FASTEST_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
清宮 幸太郎,41545136,北海道日本ハムファイターズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,清宮,56,66,66,10,10,10,10,false,false,false,,,,,45,B4_MID_UPPER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,"[""unknown""]",NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
田宮 裕涼,51055138,北海道日本ハムファイターズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,田宮,68,73,73,5,5,5,5,false,false,false,,,,,29,B3_UPPER_MID_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,"[""unknown""]",NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
郡司 裕也,21925151,北海道日本ハムファイターズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,郡司,61,75,75,14,14,14,14,true,true,true,B,POWERPRO_LOW_WITHOUT_PHYSICAL_SUPPORT,DIRECTIONALLY_NOT_SUPPORTED_BY_STAGE1_OUTER_QUARTILE,STAGE1_CURRENT_NPB_PLUS_OUTER_FAST_QUARTILE_ORDINAL_ONLY,21,B2_UPPER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
野村 佑希,31435138,北海道日本ハムファイターズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,野村,52,66,66,14,14,14,14,true,true,true,B,INSUFFICIENT_PHYSICAL_EVIDENCE,INSUFFICIENT_FOR_DIRECTIONAL_COMPATIBILITY_CLASSIFICATION,NO_STAGE1_OUTER_QUARTILE_DIRECTION_OR_EXPLICIT_CONFLICT,46,B4_MID_UPPER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
ソト,03505133,千葉ロッテマリーンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,ソト,40,52,52,12,12,12,12,true,true,true,B,POWERPRO_LOW_AND_PHYSICAL_SUPPORTS_SLOWER,SUPPORTS_SLOWER_DIRECTION,STAGE1_CURRENT_NPB_PLUS_OUTER_SLOW_QUARTILE_ORDINAL_ONLY,91,B8_SLOWEST_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
ポランコ,63065155,千葉ロッテマリーンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,ポランコ,63,61,63,-2,0,2,0,false,false,false,,,,,66,B6_LOWER_MID_COHORT_OCTILE,TEMPORAL_CONSTRUCT_CONFLICT,ANCHOR_RESOLVED_MODERATE,[2021],PRESENT,PRESENT,
佐藤 都志也,71075151,千葉ロッテマリーンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,佐藤,71,63,63,-8,-8,8,8,false,false,false,,,,,60,B5_MID_LOWER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[2018],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
友杉 篤輝,71275157,千葉ロッテマリーンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,友杉,87,75,75,-12,-12,12,12,true,true,true,B,POWERPRO_HIGH_BUT_PHYSICAL_CONFLICTED,CONFLICTED,TEMPORAL_CONSTRUCT_CONFLICT,22,B2_UPPER_COHORT_OCTILE,TEMPORAL_CONSTRUCT_CONFLICT,SNS_TIEBREAK,[2022],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,PRESENT,
安田 尚憲,81885136,千葉ロッテマリーンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,安田,46,48,48,2,2,2,2,false,false,false,,,,,93,B8_SLOWEST_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[2016],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
小川 龍成,11715153,千葉ロッテマリーンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,小川,86,82,82,-4,-4,4,4,false,false,false,,,,,11,B1_FASTEST_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
山口 航輝,91895138,千葉ロッテマリーンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,山口,52,68,68,16,16,16,16,true,true,true,B,INSUFFICIENT_PHYSICAL_EVIDENCE,INSUFFICIENT_FOR_DIRECTIONAL_COMPATIBILITY_CLASSIFICATION,NO_STAGE1_OUTER_QUARTILE_DIRECTION_OR_EXPLICIT_CONFLICT,39,B4_MID_UPPER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,"[""unknown""]",NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
岡 大海,11515139,千葉ロッテマリーンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,岡,82,75,75,-7,-7,7,7,false,false,false,,,,,24,B2_UPPER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,"[""unknown""]",NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
藤原 恭大,31635138,千葉ロッテマリーンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,藤原,85,78,78,-7,-7,7,7,false,false,false,,,,,14,B2_UPPER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[2017],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
藤岡 裕大,41645136,千葉ロッテマリーンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,藤岡,65,58,58,-7,-7,7,7,false,false,false,,,,,70,B6_LOWER_MID_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
髙部 瑛斗,11215151,千葉ロッテマリーンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,髙部,90,83,83,-7,-7,7,7,false,false,false,,,,,5,B1_FASTEST_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,"[""unknown""]",NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
古賀 悠斗,81785155,埼玉西武ライオンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,古賀悠,47,57,57,10,10,10,10,false,false,false,,,,,76,B7_LOWER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
外崎 修汰,41245130,埼玉西武ライオンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,外崎,68,72,72,4,4,4,4,false,false,false,,,,,31,B3_UPPER_MID_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
源田 壮亮,71775134,埼玉西武ライオンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,源田,80,77,77,-3,-3,3,3,false,false,false,,,,,17,B2_UPPER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
滝澤 夏央,51255155,埼玉西武ライオンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,滝澤,85,78,78,-7,-7,7,7,false,false,false,,,,,15,B2_UPPER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[2021],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
石井 一成,21125134,埼玉西武ライオンズ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,石井,79,75,75,-4,-4,4,4,false,false,false,,,,,25,B2_UPPER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
ファビアン,43745150,広島東洋カープ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,ファビアン,61,64,64,3,3,3,3,false,false,false,,,,,55,B5_MID_LOWER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
モンテロ,53955150,広島東洋カープ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,モンテロ,49,68,52,19,3,19,3,true,false,true,A,POWERPRO_LOW_BUT_PHYSICAL_CONFLICTED,CONFLICTED,TEMPORAL_CONSTRUCT_CONFLICT,40,B4_MID_UPPER_COHORT_OCTILE,TEMPORAL_CONSTRUCT_CONFLICT,ANCHOR_CONTEXT_HIGH_EVIDENCE,[2024],PRESENT,PRESENT,
名原 典彦,null,広島東洋カープ,NO_UNIQUE_EXACT_TEAM_NORMALIZED_ROSTER_NAME_MATCH,,,,84,,,,,false,false,false,,,,,4,B1_FASTEST_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,"[""unknown""]",NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,EXCLUDED_FROM_RESIDUALS; NO_FORCED_POWERPRO_MATCH
坂倉 将吾,11915134,広島東洋カープ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,坂倉,68,57,57,-11,-11,11,11,true,true,true,B,POWERPRO_HIGH_WITHOUT_PHYSICAL_SUPPORT,DIRECTIONALLY_NOT_SUPPORTED_BY_STAGE1_OUTER_QUARTILE,STAGE1_CURRENT_NPB_PLUS_OUTER_SLOW_QUARTILE_ORDINAL_ONLY,77,B7_LOWER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,"[""unknown""]",NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
小園 海斗,01705138,広島東洋カープ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,小園,79,65,65,-14,-14,14,14,true,true,true,B,INSUFFICIENT_PHYSICAL_EVIDENCE,INSUFFICIENT_FOR_DIRECTIONAL_COMPATIBILITY_CLASSIFICATION,NO_STAGE1_OUTER_QUARTILE_DIRECTION_OR_EXPLICIT_CONFLICT,53,B5_MID_LOWER_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,ANCHOR_RESOLVED_MODERATE,[2016],NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
矢野 雅哉,93395153,広島東洋カープ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,矢野,78,57,57,-21,-21,21,21,true,true,true,B,INSUFFICIENT_PHYSICAL_EVIDENCE,INSUFFICIENT_FOR_DIRECTIONAL_COMPATIBILITY_CLASSIFICATION,NO_STAGE1_OUTER_QUARTILE_DIRECTION_OR_EXPLICIT_CONFLICT,74,B6_LOWER_MID_COHORT_OCTILE,INSUFFICIENT_SHORT_DISTANCE_EVIDENCE,SNS_TIEBREAK,"[""unknown""]",NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,NOT_PUBLICLY_DOCUMENTED_IN_STAGE1_FREEZE,
秋山 翔吾,31135133,広島東洋カープ,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,秋山,77,66,67,-11,-10,11,10,true,false,true,A,POWERPRO_HIGH_BUT_PHYSICAL_CONFLICTED,CONFLICTED,TEMPORAL_CONSTRUCT_CONFLICT,50,B4_MID_UPPER_COHORT_OCTILE,TEMPORAL_CONSTRUCT_CONFLICT,ANCHOR_RESOLVED_MODERATE,[2021],PRESENT,PRESENT,
