player,canonical_player_id,physical_consensus,physical_independent_origins,rating_consensus_powerpro,rating_consensus_prospi,rating_independent_origins,rating_volume,stale_community_support,high_low_direction,community_conflict,best_supporting_sources,confidence,missingness
清宮 幸太郎,41545136,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
田宮 裕涼,51055138,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
郡司 裕也,21925151,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
野村 佑希,31435138,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
ソト,03505133,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
ポランコ,63065155,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
佐藤 都志也,71075151,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
友杉 篤輝,71275157,FAST_WEAK_CONTEXT,2,NONE,NONE,0,accepted_records=0;physical_context_records=2,NO_STALE_EVIDENCE,NONE,NONE,https://x.com/eagleshibakawa/status/1983518718589313525;https://x.com/maaar_kun5/status/2066476109252936061,WEAK_CONTEXT_ONLY,NO_STRONG_OR_MEDIUM_DIRECTIONAL_RATING_RECORD
安田 尚憲,81885136,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
小川 龍成,11715153,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
山口 航輝,91895138,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
岡 大海,11515139,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
藤原 恭大,31635138,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
藤岡 裕大,41645136,SLOW_WEAK_CONTEXT,1,NONE,NONE,0,accepted_records=0;physical_context_records=1,NO_STALE_EVIDENCE,NONE,NONE,https://x.com/BlackMarines/status/1813549311038472198,WEAK_CONTEXT_ONLY,NO_STRONG_OR_MEDIUM_DIRECTIONAL_RATING_RECORD
髙部 瑛斗,11215151,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
古賀 悠斗,81785155,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
外崎 修汰,41245130,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
源田 壮亮,71775134,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
滝澤 夏央,51255155,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
石井 一成,21125134,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
ファビアン,43745150,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
モンテロ,53955150,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
名原 典彦,null,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
坂倉 将吾,11915134,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
小園 海斗,01705138,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
矢野 雅哉,93395153,FAST_WEAK_CONTEXT,3,NONE,NONE,0,accepted_records=0;physical_context_records=3,NO_STALE_EVIDENCE,NONE,NONE,https://x.com/suzukiikuz/status/1830195362889699449;https://x.com/ureshisounainu/status/1830196024226226345;https://x.com/100ten___chan/status/1830198668605219039,WEAK_CONTEXT_ONLY,NO_STRONG_OR_MEDIUM_DIRECTIONAL_RATING_RECORD
秋山 翔吾,31135133,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
菊池 涼介,61565135,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
野間 峻祥,01405130,FAST_WEAK_CONTEXT,2,NONE,NONE,0,accepted_records=0;physical_context_records=2,NO_STALE_EVIDENCE,NONE,NONE,https://x.com/RURI_SEIKAIHADO/status/1795444505690386510;https://x.com/Donden_Suenaga/status/1979822981338820791,WEAK_CONTEXT_ONLY,NO_STRONG_OR_MEDIUM_DIRECTIONAL_RATING_RECORD
サンタナ,53755153,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
並木 秀尊,91695153,FAST_WEAK_CONTEXT,1,NONE,NONE,0,accepted_records=0;physical_context_records=1,NO_STALE_EVIDENCE,NONE,NONE,https://x.com/SVictory82/status/1862863426567180613,WEAK_CONTEXT_ONLY,NO_STRONG_OR_MEDIUM_DIRECTIONAL_RATING_RECORD
中村 悠平,51255118,SLOW_WEAK_CONTEXT,3,NONE,NONE,0,accepted_records=0;physical_context_records=3,NO_STALE_EVIDENCE,NONE,NONE,https://x.com/Genmai_rice/status/2050897151962870194;https://x.com/swbiPpOTea48605/status/2050897172787527695;https://x.com/335L0mfydzCPETQ/status/2050897297895223498,WEAK_CONTEXT_ONLY,NO_STRONG_OR_MEDIUM_DIRECTIONAL_RATING_RECORD
丸山 和郁,93195155,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
古賀 優大,01705134,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
塩見 泰隆,71975136,FAST_WEAK_CONTEXT,1,NONE,NONE,0,accepted_records=0;physical_context_records=1,NO_STALE_EVIDENCE,NONE,NONE,https://x.com/TsubameZoku/status/1896682767947370912,WEAK_CONTEXT_ONLY,NO_STRONG_OR_MEDIUM_DIRECTIONAL_RATING_RECORD
岩田 幸宏,51355155,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
長岡 秀樹,51455151,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
太田 光,71375138,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
村林 一輝,41845132,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
浅村 栄斗,51155118,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
渡邊 佳明,73175138,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
鈴木 大地,81985135,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
京田 陽太,81585134,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
佐野 恵太,91995134,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
宮﨑 敏郎,51455137,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
山本 祐大,23125136,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
度会 隆輝,33535159,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
林 琢真,91695157,FAST_WEAK_CONTEXT,2,NONE,NONE,0,accepted_records=0;physical_context_records=2,NO_STALE_EVIDENCE,NONE,NONE,https://x.com/ross_hoenn/status/1851241118618566775;https://x.com/kakkii_bay/status/2079163315524399553,WEAK_CONTEXT_ONLY,NO_STRONG_OR_MEDIUM_DIRECTIONAL_RATING_RECORD
梶原 昂希,51555155,FAST_WEAK_CONTEXT,1,NONE,NONE,0,accepted_records=0;physical_context_records=1,NO_STALE_EVIDENCE,NONE,NONE,https://x.com/mejiro9banchi/status/2066081062422503509,WEAK_CONTEXT_ONLY,NO_STRONG_OR_MEDIUM_DIRECTIONAL_RATING_RECORD
牧 秀悟,13115153,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
筒香 嘉智,41945131,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
蝦名 達夫,51555151,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
今宮 健太,31335131,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
周東 佑京,21925136,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
山川 穂高,21425139,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
柳田 悠岐,31835133,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
柳町 達,73175151,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
栗原 陵矢,01705130,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
正木 智也,81885155,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
海野 隆司,81385151,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
牧原 大成,61465133,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
近藤 健介,41745135,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
丸 佳浩,21425116,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
佐々木 俊輔,51955159,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
吉川 尚輝,73375134,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
大城 卓三,21325136,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
岸田 行倫,91595136,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
松本 剛,21625135,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
中野 拓夢,41445153,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
伏見 寅威,61065137,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
佐藤 輝明,41045153,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
坂本 誠志郎,11915132,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
大山 悠輔,21325134,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
小幡 竜平,31535138,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
木浪 聖也,31735138,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
梅野 隆太郎,21325139,FAST_WEAK_CONTEXT,1,NONE,NONE,0,accepted_records=0;physical_context_records=1,NO_STALE_EVIDENCE,NONE,NONE,https://x.com/martesuperuna/status/1871212154067755104,WEAK_CONTEXT_ONLY,NO_STRONG_OR_MEDIUM_DIRECTIONAL_RATING_RECORD
森下 翔太,43145157,NONE,0,NONE,NONE,0,accepted_records=0;physical_context_records=0,NO_STALE_EVIDENCE,NONE,NONE,,NONE,NO_ACCEPTED_COMMUNITY_RECORD
