raw_id,player,player_display,team_or_affiliation,measurement_date,measurement_year,measurement_era,metric,value,unit,timing_method,start_protocol,surface_or_conditions,cohort_id,cohort_completeness,source_manifest_id,source_tier,source_name,source_url,evidence_class,original_usage_class,canonicality,high_confidence_candidate,bank_acceptance_status,rejection_reason,same_measurement_cluster_id,temporal_resolution_status,selected_as_anchor,selected_anchor_id,notes
R00011,小中健蔵,小中健蔵,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.58,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_小中健蔵,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00012,友田佑卓,友田佑卓,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.53,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_友田佑卓,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00013,辻本倫太郎,辻本倫太郎,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.52,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_辻本倫太郎,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00014,宗山塁,宗山塁,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.51,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_宗山塁,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00015,佐々木泰,佐々木泰,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.48,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_佐々木泰,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00016,蓑尾海斗,蓑尾海斗,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.48,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_蓑尾海斗,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00017,松下豪佑,松下豪佑,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.42,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_松下豪佑,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00018,齊藤大輝,齊藤大輝,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.42,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_齊藤大輝,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00019,杉浦有祐,杉浦有祐,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.4,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_杉浦有祐,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00020,廣瀬隆太,廣瀬隆太,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.39,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_廣瀬隆太,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00021,上田希由翔,上田希由翔,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.35,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_上田希由翔,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00022,石毛大地,石毛大地,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.33,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_石毛大地,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00023,奈良間大己,奈良間大己,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.31,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_奈良間大己,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00024,杉澤龍,杉澤龍,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.31,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_杉澤龍,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00025,萩尾匡也,萩尾匡也,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.22,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,THIRD_PARTY_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,samurai_university_2022_06_19,C_UNVERIFIED_FULL_TABLE,Existing standardized 50m reference,https://www.youtube.com/watch?v=fC8_8iA7Cao,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,false,REJECTED_SOURCE_TIER,REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED,standardized_50m_2022-06-19_萩尾匡也,EXACT_OR_NOT_APPLICABLE,false,,Raw value retained; only the official 2022 top five are admitted from this otherwise third-party full table.
R00026,蛭間拓哉,蛭間拓哉,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.17,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,OFFICIAL_TOP_FIVE_ONLY,samurai_university_2022_06_19,A_OFFICIAL_VALUE,Existing standardized 50m reference,https://www.japan-baseball.jp/jp/news/press/20220619_1.html,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,true,ACCEPTED_HIGH_CONFIDENCE,,standardized_50m_2022-06-19_蛭間拓哉,EXACT_OR_NOT_APPLICABLE,true,A0001,Comparable only within this measured cohort. This 50m result is never converted to T90.
R00027,友杉篤輝,友杉篤輝,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.1,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,OFFICIAL_TOP_FIVE_ONLY,samurai_university_2022_06_19,A_OFFICIAL_VALUE,Existing standardized 50m reference,https://www.japan-baseball.jp/jp/news/press/20220619_1.html,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,true,ACCEPTED_HIGH_CONFIDENCE,,standardized_50m_2022-06-19_友杉篤輝,EXACT_OR_NOT_APPLICABLE,true,A0002,Comparable only within this measured cohort. This 50m result is never converted to T90.
R00028,松浦佑星,松浦佑星,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,6.06,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,OFFICIAL_TOP_FIVE_ONLY,samurai_university_2022_06_19,A_OFFICIAL_VALUE,Existing standardized 50m reference,https://www.japan-baseball.jp/jp/news/press/20220619_1.html,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,true,ACCEPTED_HIGH_CONFIDENCE,,standardized_50m_2022-06-19_松浦佑星,EXACT_OR_NOT_APPLICABLE,true,A0003,Comparable only within this measured cohort. This 50m result is never converted to T90.
R00029,林琢真,林琢真,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,5.99,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,OFFICIAL_TOP_FIVE_ONLY,samurai_university_2022_06_19,A_OFFICIAL_VALUE,Existing standardized 50m reference,https://www.japan-baseball.jp/jp/news/press/20220619_1.html,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,true,ACCEPTED_HIGH_CONFIDENCE,,standardized_50m_2022-06-19_林琢真,EXACT_OR_NOT_APPLICABLE,true,A0004,Comparable only within this measured cohort. This 50m result is never converted to T90.
R00030,矢澤宏太,矢澤宏太,,2022-06-19,2022,2022,50M_STANDING_START_SECONDS,5.98,seconds,electronic_photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2022-06-19,OFFICIAL_TOP_FIVE_ONLY,samurai_university_2022_06_19,A_OFFICIAL_VALUE,Existing standardized 50m reference,https://www.japan-baseball.jp/jp/news/press/20220619_1.html,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,true,ACCEPTED_HIGH_CONFIDENCE,,standardized_50m_2022-06-19_矢澤宏太,EXACT_OR_NOT_APPLICABLE,true,A0005,Comparable only within this measured cohort. This 50m result is never converted to T90.
R00031,岡城快生,岡城快生,,2024-11-30,2024,2024,50M_STANDING_START_SECONDS,5.82,seconds,photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,侍ジャパン公式 + 高校野球ドットコム,https://www.hb-nippon.com/articles/2163,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,true,ACCEPTED_HIGH_CONFIDENCE,,standardized_50m_2024-11-30_岡城快生,EXACT_OR_NOT_APPLICABLE,true,A0006,Comparable only within this measured cohort. This 50m result is never converted to T90.
R00032,松川玲央,松川玲央,,2024-11-30,2024,2024,50M_STANDING_START_SECONDS,5.89,seconds,photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,侍ジャパン公式 + 高校野球ドットコム,https://www.hb-nippon.com/articles/2163,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,true,ACCEPTED_HIGH_CONFIDENCE,,standardized_50m_2024-11-30_松川玲央,EXACT_OR_NOT_APPLICABLE,true,A0007,Comparable only within this measured cohort. This 50m result is never converted to T90.
R00033,藤森康淳,藤森康淳,,2024-11-30,2024,2024,50M_STANDING_START_SECONDS,5.97,seconds,photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,侍ジャパン公式 + 高校野球ドットコム,https://www.hb-nippon.com/articles/2163,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,true,ACCEPTED_HIGH_CONFIDENCE,,standardized_50m_2024-11-30_藤森康淳,EXACT_OR_NOT_APPLICABLE,true,A0008,Comparable only within this measured cohort. This 50m result is never converted to T90.
R00034,平川蓮,平川蓮,,2024-11-30,2024,2024,50M_STANDING_START_SECONDS,5.99,seconds,photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,侍ジャパン公式 + 高校野球ドットコム,https://www.hb-nippon.com/articles/2163,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,true,ACCEPTED_HIGH_CONFIDENCE,,standardized_50m_2024-11-30_平川蓮,EXACT_OR_NOT_APPLICABLE,true,A0009,Comparable only within this measured cohort. This 50m result is never converted to T90.
R00035,立石正広,立石正広,,2024-11-30,2024,2024,50M_STANDING_START_SECONDS,6.07,seconds,photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,侍ジャパン公式 + 高校野球ドットコム,https://www.hb-nippon.com/articles/2163,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,true,ACCEPTED_HIGH_CONFIDENCE,,standardized_50m_2024-11-30_立石正広,EXACT_OR_NOT_APPLICABLE,true,A0010,Comparable only within this measured cohort. This 50m result is never converted to T90.
R00036,大塚瑠晏,大塚瑠晏,,2024-11-30,2024,2024,50M_STANDING_START_SECONDS,6.07,seconds,photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,侍ジャパン公式 + 高校野球ドットコム,https://www.hb-nippon.com/articles/2163,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,true,ACCEPTED_HIGH_CONFIDENCE,,standardized_50m_2024-11-30_大塚瑠晏,EXACT_OR_NOT_APPLICABLE,true,A0011,Comparable only within this measured cohort. This 50m result is never converted to T90.
R00037,黒田義信,黒田義信,,2024-11-30,2024,2024,50M_STANDING_START_SECONDS,6.1,seconds,photoelectric,not_publicly_documented,not_publicly_documented,samurai_university_2024-11-30,FULL_PUBLISHED_TABLE_27,samurai_university_2024_11_30,A_PROTOCOL_B_FULL_VALUES,侍ジャパン公式 + 高校野球ドットコム,https://www.hb-nippon.com/articles/2163,STANDARDIZED_SHORT_DISTANCE,,CANONICAL_SOURCE_RECORD,true,ACCEPTED_HIGH_CONFIDENCE,,standardized_50m_2024-11-30_黒田義信,EXACT_OR_NOT_APPLICABLE,true,A0012,Comparable only within this measured cohort. This 50m result is never converted to T90.
