record_id,player,player_key,player_id,video_id,platform,url,source_account,source_tier,game_or_event_date,upload_date,season,opponent_or_event,play_description,video_normal_speed_confirmed,edited,replay,full_effort_confidence,start_context,straight_line_segment_available,transition_contamination,baserunning_technique_contamination,physical_speed_relevance,accepted,usable_for_ordinal_resolution,rejection_reason,observed_direction,unique_play_key,unique_game_event_key,unique_origin_key,source_artifact,discovery_or_body_review_status,notes
TVT-B-007,ポランコ,ポランコ,63065155,dVYXRebNODc,YouTube,https://www.youtube.com/watch?v=dVYXRebNODc,(パーソル パ・リーグTV公式)PacificLeagueTV,A_OFFICIAL_LEAGUE_CLIP,2025-06-29,,2025,千葉ロッテマリーンズ vs 福岡ソフトバンクホークス,"Official clip of Polanco receiving physical assistance from the third-base coach during a live play, as labelled by the source.",,,,UNASSESSED_VISUAL_UNAVAILABLE,BASERUNNING_AFTER_BALL_IN_PLAY,,false,true,NOT_USABLE_EXTERNAL_ASSISTANCE_AND_BASERUNNING_CONTEXT,false,false,PHYSICAL_ASSISTANCE; BASERUNNING_TECHNIQUE_CONTAMINATION; VISUAL_INSPECTION_UNAVAILABLE,NON_DIRECTIONAL,2025-06-29-M-H-polanco-coach-contact,2025-06-29-M-H,PacificLeagueTV-dVYXRebNODc,data/manual/speed_2026_video_tiebreak_temporal_research_20260811.json,DISCOVERED_NO_VISUAL_ACCEPTANCE,"This candidate is preserved as an explicit exclusion, not a negative speed observation."
TVT-B-008,ポランコ,ポランコ,63065155,VSrotNTKDWw,YouTube,https://www.youtube.com/watch?v=VSrotNTKDWw,(パーソル パ・リーグTV公式)PacificLeagueTV,A_OFFICIAL_LEAGUE_CLIP,2026-03-27,2026-03-27,2026,2026 NPB開幕戦,"Polanco's opening-day solo home run, as labelled by the official source.",,,,NOT_APPLICABLE_FOR_PURE_RUNNING,BATTER_TO_FIRST_AFTER_SWING,,true,false,TRANSITION_CONTAMINATED_CONTEXT_ONLY,false,false,BATTER_TO_FIRST_TRANSITION_CONTAMINATED_CONTEXT_ONLY; VISUAL_INSPECTION_UNAVAILABLE,NON_DIRECTIONAL,2026-03-27-M-opening-polanco-hr,2026-03-27-M-opening,PacificLeagueTV-VSrotNTKDWw,data/manual/speed_2026_video_tiebreak_temporal_research_20260811.json,DISCOVERED_NO_VISUAL_ACCEPTANCE,It cannot establish persistence/decline against the historical direct measurement.
TVT-B-009,ポランコ,ポランコ,63065155,M4ihIsM8msM,YouTube,https://www.youtube.com/watch?v=M4ihIsM8msM,DRAMATIC BASEBALL 2026,B_NORMAL_BROADCAST_HIGHLIGHT,2025-02-24,2025-02-24,2025,読売ジャイアンツ vs 千葉ロッテマリーンズ オープン戦,Open-game highlight labelled as including Polanco's first hit.,,true,,UNASSESSED_VISUAL_UNAVAILABLE,BATTER_TO_FIRST_POSSIBLE,,,,NOT_USABLE_WITHOUT_VISUAL_REVIEW,false,false,EDITED_HIGHLIGHT; VISUAL_INSPECTION_UNAVAILABLE; EFFORT_AND_START_CONTEXT_UNCONFIRMED,NON_DIRECTIONAL,2025-02-24-G-M-polanco-first-hit,2025-02-24-G-M,NTV-M4ihIsM8msM,data/manual/speed_2026_video_tiebreak_temporal_research_20260811.json,DISCOVERED_NO_VISUAL_ACCEPTANCE,This 2025 event is preserved for discovery completeness but produces no speed inference.
TVT-B-010,サンタナ,サンタナ,53755153,JpLh1ZDaCcU,YouTube,https://www.youtube.com/watch?v=JpLh1ZDaCcU,DRAMATIC BASEBALL 2026,B_NORMAL_BROADCAST_CLIP,2025-03-28,2025-03-28,2025,読売ジャイアンツ vs 東京ヤクルトスワローズ 開幕戦,"Santana's team-first solo home run, according to the source title.",,,,NOT_APPLICABLE_FOR_PURE_RUNNING,BATTER_TO_FIRST_AFTER_SWING,,true,false,TRANSITION_CONTAMINATED_CONTEXT_ONLY,false,false,BATTER_TO_FIRST_TRANSITION_CONTAMINATED_CONTEXT_ONLY; VISUAL_INSPECTION_UNAVAILABLE,NON_DIRECTIONAL,2025-03-28-G-YS-santana-hr,2025-03-28-G-YS,NTV-JpLh1ZDaCcU,data/manual/speed_2026_video_tiebreak_temporal_research_20260811.json,DISCOVERED_NO_VISUAL_ACCEPTANCE,A current-window clip but not a usable pure-running observation.
TVT-B-011,サンタナ,サンタナ,53755153,WU9Qh8WmOpc,YouTube,https://www.youtube.com/watch?v=WU9Qh8WmOpc,DRAMATIC BASEBALL 2026,B_NORMAL_BROADCAST_CLIP,2026-03-17,2026-03-17,2026,読売ジャイアンツ vs 東京ヤクルトスワローズ オープン戦,"Santana's opening-game home run, as labelled by the source.",,,,NOT_APPLICABLE_FOR_PURE_RUNNING,BATTER_TO_FIRST_AFTER_SWING,,true,false,TRANSITION_CONTAMINATED_CONTEXT_ONLY,false,false,BATTER_TO_FIRST_TRANSITION_CONTAMINATED_CONTEXT_ONLY; VISUAL_INSPECTION_UNAVAILABLE,NON_DIRECTIONAL,2026-03-17-G-YS-santana-hr,2026-03-17-G-YS,NTV-WU9Qh8WmOpc,data/manual/speed_2026_video_tiebreak_temporal_research_20260811.json,DISCOVERED_NO_VISUAL_ACCEPTANCE,"Not used as a medical, decline, or recovery inference."
TVT-B-012,サンタナ,サンタナ,53755153,jsRAyO61N4E,YouTube,https://www.youtube.com/watch?v=jsRAyO61N4E,DRAMATIC BASEBALL 2026,B_NORMAL_BROADCAST_CLIP,2026-04-11,2026-04-11,2026,読売ジャイアンツ vs 東京ヤクルトスワローズ,Santana's home run described by the source as a no-run/admiring-hit sequence.,,,,NOT_FULL_EFFORT,BATTER_TO_FIRST_AFTER_SWING,false,true,false,NOT_USABLE_NO_FULL_EFFORT_RUN,false,false,NO_FULL_EFFORT_RUN; BATTER_TO_FIRST_TRANSITION_CONTAMINATED_CONTEXT_ONLY; VISUAL_INSPECTION_UNAVAILABLE,NON_DIRECTIONAL,2026-04-11-G-YS-santana-admired-hr,2026-04-11-G-YS,NTV-jsRAyO61N4E,data/manual/speed_2026_video_tiebreak_temporal_research_20260811.json,DISCOVERED_NO_VISUAL_ACCEPTANCE,Title metadata itself rules out this clip as a full-effort running observation; no visual speed claim is made.
VCA-001,西野 真弘,西野真弘,91495130,4805126,PacificLeague.com,https://pacificleague.com/video/4805126,パ・リーグTVオリジナルVOD,A_OFFICIAL_LEAGUE,,2025-07-18,2025,source title: 最高のバントヒット＆走塁,The source metadata describes a bunt-hit and baserunning feature; no visual play description is asserted.,,,,NOT_ASSESSABLE,NOT_ASSESSABLE,,NOT_ASSESSABLE,TITLE_METADATA_INDICATES_BASERUNNING_CONTEXT,REJECTED_CONTEXT,false,false,BUNT_TO_FIRST_AND_BASERUNNING_TECHNIQUE_CONTEXT; VIDEO_VISUAL_REVIEW_UNAVAILABLE_BROWSER_WEBVIEW_ATTACH_TIMEOUT,NOT_OBSERVED,unknown-unviewed-VCA-001,unknown-unviewed-VCA-001,pacificleague.com:4805126,data/manual/speed_2026_video_tiebreak_current_a_research_20260811.json,DISCOVERED_NO_VISUAL_ACCEPTANCE,Title/snippet is discovery metadata only and is not an evidence claim.
VCA-002,西野 真弘,西野真弘,91495130,ypHVz3YCbX0,YouTube,https://www.youtube.com/watch?v=ypHVz3YCbX0,Pacific League TV Official,A_OFFICIAL_LEAGUE,2025-09-09,2025-09-09,2025,source title: 西野真弘 今季5号先制2ラン,Source metadata identifies a two-run home run; it is not a qualified pure straight-run observation.,,,,NOT_ASSESSABLE,BATTER_TO_FIRST_OR_HOME_RUN_TROT_CONTEXT_METADATA,,TITLE_METADATA_INDICATES_BATTER_TO_FIRST_OR_TROT,NOT_ASSESSABLE,REJECTED_CONTEXT,false,false,BATTER_TO_FIRST_CONTEXT_OR_HOME_RUN_TROT; VIDEO_VISUAL_REVIEW_UNAVAILABLE_BROWSER_WEBVIEW_ATTACH_TIMEOUT,NOT_OBSERVED,2025-09-09-nishino-home-run,2025-09-09-unviewed,youtube:ypHVz3YCbX0,data/manual/speed_2026_video_tiebreak_current_a_research_20260811.json,DISCOVERED_NO_VISUAL_ACCEPTANCE,A home-run highlight cannot be upgraded to running evidence from title or snippet alone.
VCA-003,大島 洋平,大島洋平,01305131,CQz7zu-b93U,YouTube,https://www.youtube.com/watch?v=CQz7zu-b93U,Nagoya TV News,B_TRUSTED_BROADCAST,,2026-01-13,2026,offseason training feature,"Source metadata says that the feature shows strenuous annual training, but the actual running protocol, effort, and edit status were not visually verified.",,,,NOT_ASSESSABLE,NOT_ASSESSABLE,,NOT_ASSESSABLE,NOT_APPLICABLE_FROM_METADATA,NOT_ASSESSABLE,false,false,VIDEO_VISUAL_REVIEW_UNAVAILABLE_BROWSER_WEBVIEW_ATTACH_TIMEOUT,NOT_OBSERVED,2026-offseason-training-unviewed,2026-offseason-training,youtube:CQz7zu-b93U,data/manual/speed_2026_video_tiebreak_current_a_research_20260811.json,DISCOVERED_NO_VISUAL_ACCEPTANCE,Training footage can be a candidate only after normal-speed and effort review; no qualitative speed claim is retained.
VCA-004,大島 洋平,大島洋平,01305131,OPimYh-4y1I,YouTube,https://www.youtube.com/watch?v=OPimYh-4y1I,中日ドラゴンズ公式YouTube,A_OFFICIAL_CLUB,2025-05-13,2025-05-13,2025,source title: 大島洋平の今季初安打初打点と試合後の共有映像,"Source metadata identifies a game/celebration feature, not a verified start-to-90ft running segment.",,,,NOT_ASSESSABLE,NOT_ASSESSABLE,,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,false,false,VIDEO_VISUAL_REVIEW_UNAVAILABLE_BROWSER_WEBVIEW_ATTACH_TIMEOUT,NOT_OBSERVED,2025-05-13-oshima-unviewed,2025-05-13-unviewed,youtube:OPimYh-4y1I,data/manual/speed_2026_video_tiebreak_current_a_research_20260811.json,DISCOVERED_NO_VISUAL_ACCEPTANCE,Official origin and dated title are insufficient without viewing the actual play.
VCA-005,外崎 修汰,外崎修汰,41245130,FrDEifE-GkU,YouTube,https://www.youtube.com/watch?v=FrDEifE-GkU,Pacific League TV Official,A_OFFICIAL_LEAGUE,,2026-02-02,2026,spring-camp interview,Source metadata says this is a post-practice interview and team-address feature; it does not identify a running play.,,,,NOT_APPLICABLE,NO_RUNNING_PLAY_IN_SOURCE_METADATA,,NOT_APPLICABLE,NOT_APPLICABLE,REJECTED_CONTEXT,false,false,INTERVIEW_NO_RUNNING_PLAY; VIDEO_VISUAL_REVIEW_UNAVAILABLE_BROWSER_WEBVIEW_ATTACH_TIMEOUT,NOT_OBSERVED,2026-camp-interview,2026-camp-interview,youtube:FrDEifE-GkU,data/manual/speed_2026_video_tiebreak_current_a_research_20260811.json,DISCOVERED_NO_VISUAL_ACCEPTANCE,The title's reference to body sharpness is not accepted as a physical-speed claim.
VCA-006,外崎 修汰,外崎修汰,41245130,NGBnvH-yvEM,YouTube,https://www.youtube.com/watch?v=NGBnvH-yvEM,Pacific League TV Official,A_OFFICIAL_LEAGUE,,,,source title: 走塁技術,Source metadata explicitly frames the clip as baserunning technique; date and footage details were not visually verified.,,,,NOT_ASSESSABLE,NOT_ASSESSABLE,,NOT_ASSESSABLE,TITLE_METADATA_INDICATES_BASERUNNING_TECHNIQUE,REJECTED_CONTEXT,false,false,BASERUNNING_TECHNIQUE_EXCLUDED; OUTSIDE_OR_UNKNOWN_CURRENT_WINDOW; VIDEO_VISUAL_REVIEW_UNAVAILABLE_BROWSER_WEBVIEW_ATTACH_TIMEOUT,NOT_OBSERVED,unknown-unviewed-VCA-006,unknown-unviewed-VCA-006,youtube:NGBnvH-yvEM,data/manual/speed_2026_video_tiebreak_current_a_research_20260811.json,DISCOVERED_NO_VISUAL_ACCEPTANCE,No conclusion is drawn from the title or presumed reputation.
VCA-007,外崎 修汰,外崎修汰,41245130,gQPi5sTG8pI,YouTube,https://www.youtube.com/watch?v=gQPi5sTG8pI,Pacific League TV Official,A_OFFICIAL_LEAGUE,2025-05-04,2025-05-04,2025,source title: 外崎修汰 今季2号ソロ,Source metadata identifies a solo home run; it is not a qualified pure straight-run observation.,,,,NOT_ASSESSABLE,BATTER_TO_FIRST_OR_HOME_RUN_TROT_CONTEXT_METADATA,,TITLE_METADATA_INDICATES_BATTER_TO_FIRST_OR_TROT,NOT_ASSESSABLE,REJECTED_CONTEXT,false,false,BATTER_TO_FIRST_CONTEXT_OR_HOME_RUN_TROT; VIDEO_VISUAL_REVIEW_UNAVAILABLE_BROWSER_WEBVIEW_ATTACH_TIMEOUT,NOT_OBSERVED,2025-05-04-tonosaki-home-run,2025-05-04-unviewed,youtube:gQPi5sTG8pI,data/manual/speed_2026_video_tiebreak_current_a_research_20260811.json,DISCOVERED_NO_VISUAL_ACCEPTANCE,The source was retained as an acquisition receipt only.
VCA-008,矢野 雅哉,矢野雅哉,93395153,G8f9yCuErPM,YouTube,https://www.youtube.com/watch?v=G8f9yCuErPM,DRAMATIC BASEBALL 2026,B_TRUSTED_BROADCAST,2025-02-23,2025-02-23,2025,巨人対広島オープン戦,Source metadata explicitly frames the clip as fielding.,,,,NOT_APPLICABLE,FIELDING_CONTEXT_METADATA,,NOT_APPLICABLE,NOT_APPLICABLE,REJECTED_CONTEXT,false,false,FIELDING_RANGE_OR_DEFENSIVE_PLAY_EXCLUDED; VIDEO_VISUAL_REVIEW_UNAVAILABLE_BROWSER_WEBVIEW_ATTACH_TIMEOUT,NOT_OBSERVED,2025-02-23-yano-fielding,2025-02-23-giants-carp,youtube:G8f9yCuErPM,data/manual/speed_2026_video_tiebreak_current_a_research_20260811.json,DISCOVERED_NO_VISUAL_ACCEPTANCE,Defensive running is not substituted for the required baserunning/straight-run construct.
VCA-009,矢野 雅哉,矢野雅哉,93395153,-DD78ppnnm8,YouTube,https://www.youtube.com/watch?v=-DD78ppnnm8,Playベースボールチャンネル,C_GENERAL_VIDEO,,2026-02-12,2026,2026広島東洋カープ春季日南キャンプ2軍紅白戦,"Source metadata calls this an all-at-bats highlight; actual identity-in-play, normal speed, cuts, effort, and any straight segment were not visually verified.",,,,NOT_ASSESSABLE,NOT_ASSESSABLE,,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,false,false,MONTAGE_OR_CUT_RISK_NOT_VISUALLY_RESOLVED; VIDEO_VISUAL_REVIEW_UNAVAILABLE_BROWSER_WEBVIEW_ATTACH_TIMEOUT,NOT_OBSERVED,2026-camp-unviewed-VCA-009,2026-camp-red-white-unviewed,youtube:-DD78ppnnm8,data/manual/speed_2026_video_tiebreak_current_a_research_20260811.json,DISCOVERED_NO_VISUAL_ACCEPTANCE,A non-official all-at-bats highlight cannot be accepted without direct viewing.
VCA-010,矢野 雅哉,矢野雅哉,93395153,RqbgZUiubvY,YouTube,https://www.youtube.com/watch?v=RqbgZUiubvY,DRAMATIC BASEBALL 2026,B_TRUSTED_BROADCAST,2024-04-13,2024-04-13,2024,巨人対広島,Historical source outside the requested 2025–2026 window; actual footage was not reviewed.,,,,NOT_ASSESSABLE,NOT_ASSESSABLE,,NOT_ASSESSABLE,NOT_ASSESSABLE,REJECTED_CONTEXT,false,false,OUTSIDE_REQUESTED_2025_2026_WINDOW; VIDEO_VISUAL_REVIEW_UNAVAILABLE_BROWSER_WEBVIEW_ATTACH_TIMEOUT,NOT_OBSERVED,2024-04-13-yano-unviewed,2024-04-13-giants-carp,youtube:RqbgZUiubvY,data/manual/speed_2026_video_tiebreak_current_a_research_20260811.json,DISCOVERED_NO_VISUAL_ACCEPTANCE,"Retained solely as a negative acquisition receipt, not temporal evidence."
VTD-001,野間 峻祥,野間峻祥,01405130,64rMgN1RepE,YouTube,https://www.youtube.com/watch?v=64rMgN1RepE,Tee Kay,C_GENERAL_ONSITE,2026-05-22,2026-05-23,2026,中日ドラゴンズ戦前後の走塁練習として投稿された映像,複数選手の練習場面。対象選手を十分に識別できる全力直線走は確認できなかった。,false,false,NOT_APPLICABLE,EFFORT_UNCERTAIN,PRACTICE_DRILL_UNCLEAR_TARGET_IDENTITY,false,NOT_ASSESSABLE,NOT_ASSESSABLE,NONE_UNIDENTIFIABLE_AND_EFFORT_UNCERTAIN,false,false,TARGET_IDENTITY_NOT_VISUALLY_CONFIRMED; EFFORT_UNCERTAIN; NORMAL_SPEED_NOT_VERIFIABLE_FOR_TARGET_RUN,NON_DIRECTIONAL,2026-05-22-noma-practice-unverified,2026-05-22-carp-dragons-practice,youtube:64rMgN1RepE,data/manual/speed_2026_video_tiebreak_current_b_research_20260811.json,SOURCE_BODY_REVIEWED,The downloaded source body was reviewed. Its title was discovery metadata only; no title-based speed claim was used.
