stable_player_key,npb_name,npb_name_en,production_player_id,proeye_id,mlbam_ids,the_show_uuid_count,current100_queue_orders,current100_coverage_state,identity_state,ambiguity_state,cohort,transition_directions,the_show_live_row_count,the_show_seasons,the_show_editions,mlb_evidence,evidence_role,name_only_match_allowed,source_commit_history,source_commit_temporal
NPBNAME:サンタナ,サンタナ,Domingo Santana,,,,0,,,MLB_LOWER_BOUND_MATCH,NONE_DETECTED,MLB_TO_NPB_FOREIGN,,0,,,True,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
NPBNAME:シーモア,シーモア,Bob Seymour,,,,0,,,MLB_LOWER_BOUND_MATCH,NONE_DETECTED,MLB_TO_NPB_FOREIGN,,0,,,True,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
NPBNAME:ダルベック,ダルベック,Bobby Dalbec,,,666915,5,,,MLB_LOWER_BOUND_MATCH,NONE_DETECTED,MLB_TO_NPB_FOREIGN,,120,"2021,2022,2023,2024,2025","21,22,23,24,25",True,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
NPBNAME:ネビン,ネビン,Tyler Nevin,,,663527,4,,,MLB_LOWER_BOUND_MATCH,NONE_DETECTED,MLB_TO_NPB_FOREIGN,,92,"2021,2022,2023,2024","21,22,23,24",True,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
NPBNAME:ヒュンメル,ヒュンメル,Cooper Hummel,,,669450,5,,,MLB_LOWER_BOUND_MATCH,NONE_DETECTED,MLB_TO_NPB_FOREIGN,,120,"2021,2022,2023,2024,2025","21,22,23,24,25",True,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
NPBNAME:ボイト,ボイト,Luke Voit,,,572228,4,,,MLB_LOWER_BOUND_MATCH,NONE_DETECTED,MLB_TO_NPB_FOREIGN,,92,"2021,2022,2023,2024","21,22,23,24",True,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
NPBNAME:ボスラー,ボスラー,Jason Vosler,,,613564,4,,,MLB_LOWER_BOUND_MATCH,NONE_DETECTED,MLB_TO_NPB_FOREIGN,,92,"2021,2022,2023,2024","21,22,23,24",True,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
NPBNAME:ポランコ,ポランコ,Gregory Polanco,,,570256,1,,,MLB_LOWER_BOUND_MATCH,NONE_DETECTED,MLB_TO_NPB_FOREIGN,,21,2021,21,True,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
NPBNAME:モンテロ,モンテロ,Elehuris Montero,,,660707,5,,,MLB_LOWER_BOUND_MATCH,NONE_DETECTED,MLB_TO_NPB_FOREIGN,,120,"2021,2022,2023,2024,2025","21,22,23,24,25",True,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
NPBNAME:レイエス,レイエス,Franmil Reyes,,,614177,3,,,MLB_LOWER_BOUND_MATCH,NONE_DETECTED,MLB_TO_NPB_FOREIGN,,69,"2021,2022,2023","21,22,23",True,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
NPBNAME:名原典彦,名原 典彦,,,,,0,46,NO_MLB_PROMOTION_FOUND,NO_MATCH_IN_SCREENED_MLB_AND_SHOW_CROSSWALKS,NONE_DETECTED,CURRENT100_MLB_PROMOTION_OR_APPEARANCE,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01005113,中　島,,,01005113,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01005132,髙　山,,,01005132,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01005159,鈴木叶,,,01005159,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01103888,新　井,,,01103888,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01105112,新井良,,,01105112,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01105115,天　谷,,,01105115,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01105131,荒　木,,,01105131,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01105133,荒　波,,,01105133,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01105135,石　川,,,01105135,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01105151,石　塚,,,01105151,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01105155,有　薗,,,01105155,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01205112,根　元,,,01205112,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01205114,堂　上,,,01205114,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01205130,戸　川,,,01205130,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01303868,山　﨑,,,01303868,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01305110,片　岡,,,01305110,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01305115,今　江,,,01305115,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01305118,上　本,,,01305118,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01305130,植　田,,,01305130,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01305131,大　島,,01305131,01305131,,0,12,NO_MLB_PROMOTION_FOUND,NO_MATCH_IN_SCREENED_MLB_AND_SHOW_CROSSWALKS,NONE_DETECTED,CURRENT100_MLB_PROMOTION_OR_APPEARANCE,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01305137,大　谷,,,01305137,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01305139,内　田,,,01305139,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01305153,井　上,,,01305153,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01305155,大　里,,,01305155,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01405116,松　山,,,01405116,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01405130,野　間,,01405130,01405130,,0,52,NO_MLB_PROMOTION_FOUND,NO_MATCH_IN_SCREENED_MLB_AND_SHOW_CROSSWALKS,NONE_DETECTED,CURRENT100_MLB_PROMOTION_OR_APPEARANCE,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01405135,西　森,,,01405135,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01405136,西　村,,,01405136,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01405138,林,,,01405138,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01405151,韮　澤,,,01405151,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01405155,中村健,,,01405155,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01405157,野　口,,,01405157,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01505119,黒　瀬,,,01505119,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01505132,オコエ,,,01505132,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01505137,金　子,,,01505137,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01505138,片　山,,,01505138,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01505155,上川畑,,,01505155,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01605114,松　本,,,01605114,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01605132,平　沼,,,01605132,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01605136,福　田,,,01605136,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01605138,増田陸,,,01605138,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01705114,北,,,01705114,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01705117,木　村,,,01705117,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01705118,坂　田,,,01705118,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01705130,栗　原,,01705130,01705130,,0,81,NO_MLB_PROMOTION_FOUND,NO_MATCH_IN_SCREENED_MLB_AND_SHOW_CROSSWALKS,NONE_DETECTED,CURRENT100_MLB_PROMOTION_OR_APPEARANCE,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01705134,古　賀,,01705134,01705134,,0,57,NO_MLB_PROMOTION_FOUND,NO_MATCH_IN_SCREENED_MLB_AND_SHOW_CROSSWALKS,NONE_DETECTED,CURRENT100_MLB_PROMOTION_OR_APPEARANCE,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01705137,下　妻,,,01705137,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01705138,小　園,,01705138,01705138,,0,48,NO_MLB_PROMOTION_FOUND,NO_MATCH_IN_SCREENED_MLB_AND_SHOW_CROSSWALKS,NONE_DETECTED,CURRENT100_MLB_PROMOTION_OR_APPEARANCE,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
PROEYE:01805114,横　川,,,01805114,,0,,,NO_MATCH_IN_SCREENED_SOURCES,NONE_DETECTED,HISTORICAL_CALIBRATION_POPULATION,,0,,,False,CURRENT_OR_HISTORICAL_EXTERNAL_GAME_APPRAISAL_CONTEXT,False,97c429521267cfb70ccdd61e40e11853d100e360,ab5adbfee656d69d0b378145fd66bf5789e0d1b4
