event_id	event_date_start	event_date_end	retrieved_at	region	country	league	organization	competition	topic_family	subtopic	headline_or_event_name	fact_summary	primary_source_url	secondary_source_urls	source_authority	verification_status	historical_or_current	mechanism_revealed	potential_game_system	existing_requirement_ids	novelty_status	materiality	recurrence_class	player_frustration_risk	suggested_default_or_toggle	implementation_complexity	research_confidence	notes	wave	topic_family_codes	wave1_relation	corrected_existing_requirement_ids	semantic_mapping_status
PNN-011	2022-03-10	2022-03-10	2026-08-24	North America	United States/Canada	MLB	MLB; MLBPA	Collective bargaining	Labor and incentives	CBA incentive bundle	2022 CBA service-time and competitive mechanisms	The CBA package included minimum-salary changes, a pre-arbitration bonus pool, CBT thresholds, universal DH, draft lottery, service-time manipulation provisions, and optioning limits.	https://www.mlb.com/news/mlb-mlbpa-agree-to-cba	https://www.mlbplayers.com/resources/major-league-cba	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Labor terms alter promotion timing, payroll incentives, draft order, and roster control.	CBA/labor bargaining/service time	PW-121;PW-122;PW-125;PW-130;PW-197;PW-198;PW-229	ALREADY_COVERED	HIGH	CONDITIONAL_RECURRING	HIGH_IF_AUTOMATIC	OWNER_CALIBRATION	HIGH	HIGH	Do not import proposed 2026 terms as enacted rules.	WAVE1_BASELINE	L;Q	RETAINED_BASELINE	PW-188;PW-189;PW-190;PW-193;PW-195;PW-197;PW-198	CORRECTED
PNN-012	2024-12-11	2024-12-11	2026-08-24	North America	United States/Canada	MLB	MLB; MLB clubs	Rule 5 Draft	Roster rights	40-man protection and mandatory retention	Rule 5 eligibility exposes unprotected players to another club under retention conditions	MLB’s glossary describes eligibility and the roster/retention consequences of the Rule 5 Draft.	https://www.mlb.com/glossary/transactions/rule-5-draft	https://www.mlb.com/news/mlb-mlbpa-agree-to-cba	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	CURRENT	Roster rights can force a club to choose between protection, exposure, and development time.	roster rights/waiver/options/service time	PW-060;PW-061;PW-197;PW-198;PW-239;PW-256	ALREADY_COVERED	HIGH	RECURRING	HIGH_IF_AUTOMATIC	DEFAULT	MEDIUM	HIGH	Explicit third-pass OPEN-07 is not new.	WAVE1_BASELINE	C;D	RETAINED_BASELINE	PW-198;PW-237;PW-256	CORRECTED
PNN-013	2022-12-06	2022-12-06	2026-08-24	North America	United States/Canada	MLB	MLB; PwC	Amateur Draft	Draft order	Lottery and competitive balance	First MLB draft lottery	The 2023 draft order used a lottery among 18 non-playoff clubs with a stated audit and revenue-sharing-related odds structure.	https://www.mlb.com/news/how-the-mlb-draft-lottery-works	https://www.mlb.com/news/2023-mlb-draft-order	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Draft order can be probabilistic and policy-shaped rather than a simple reverse standings list.	draft lottery/tank incentive/competitive balance	PW-055;PW-056;PW-057;PW-195;PW-196;PW-198	ALREADY_COVERED	HIGH	RECURRING	MEDIUM	DEFAULT	MEDIUM	HIGH	Evidence supports existing draft uncertainty and governance.	WAVE1_BASELINE	B;D	RETAINED_BASELINE	PW-195;PW-196;PW-198;PW-199;PW-240	CORRECTED
PNN-014	2022-03-10	2022-03-10	2026-08-24	North America	United States/Canada	MLB	MLB; MLBPA	Prospect Promotion Incentive	Career timing	Promotion incentives tied to awards and rookie status	The PPI can give clubs draft-pick benefits for promoting prospects who later meet award or roster criteria	MLB’s explainer describes a CBA mechanism linking early promotion and future draft compensation to performance/award outcomes.	https://www.mlb.com/dodgers/news/prospect-promotion-incentive-faq	https://www.mlb.com/news/major-league-baseball-distributes-bonuses-through-pre-arbitration-pool-program	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Career timing can be affected by a club’s option value, award probability, and draft compensation.	promotion timing/award/roster incentive	PW-074;PW-095;PW-197;PW-198;PW-213	PARTIAL_EXTENSION	HIGH	RECURRING	HIGH_IF_AUTOMATIC	OWNER_CALIBRATION	HIGH	HIGH	Partial because the explicit award-linked club incentive is not fully specified in the canonical rows.	WAVE1_BASELINE	B;D	RETAINED_BASELINE	PW-031;PW-032;PW-074;PW-095;PW-197;PW-198;PW-213	CORRECTED
PNN-015	2021-09-09	2021-09-09	2026-08-24	North America	United States	MLB/MiLB	MLB; 120 minor-league clubs	Minor League structure	Development	Professional development system reorganization	MLB describes a new professional development structure with 120 affiliated minor-league clubs and improved player conditions	The reorganization changed affiliation, facilities, salary, and travel expectations across the player-development system.	https://www.mlb.com/news/new-minor-league-baseball-structure	https://www.mlb.com/news/minor-league-baseball-has-successful-2021-season	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	A league can reconfigure developmental tiers and operating standards at scale.	farm tier/cost/travel/facility/development capacity	PW-149;PW-150;PW-151;PW-165;PW-180	PARTIAL_EXTENSION	HIGH	RARE_SYSTEMIC	MEDIUM	OWNER_CALIBRATION	HIGH	HIGH	Supports OPEN-08; not a new farm concept.	WAVE1_BASELINE	E;N	RETAINED_BASELINE	PW-149;PW-150;PW-151;PW-155;PW-156;PW-165;PW-175;PW-177;PW-180	CORRECTED
PNN-016	1994-08-11	1994-09-14	2026-08-24	North America	United States/Canada	MLB	MLB; MLBPA	Work stoppage	Labor and history	1994 strike cancels postseason	The 1994 work stoppage ended the season and canceled the postseason after 948 games had been missed	MLB historical material records the canceled postseason and wider competitive/financial effects.	https://www.mlb.com/postseason/history/1994	https://www.mlb.com/amp/news/timeline-of-recent-cba-negotiations	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Labor conflict can change the calendar, records, revenue, and legacy layer all at once.	labor stoppage/calendar/records/legacy	PW-121;PW-122;PW-181;PW-213;PW-214;PW-216	ALREADY_COVERED	HIGH	RARE_SYSTEMIC	HIGH_IF_AUTOMATIC	DEFAULT_RARE	HIGH	HIGH	Explicit third-pass OPEN-13 is not new.	WAVE1_BASELINE	L;Q	RETAINED_BASELINE	PW-181;PW-188;PW-189;PW-213;PW-214;PW-216	CORRECTED
PNN-017	2015-01-01	2015-12-31	2026-08-24	North America	United States/Canada	MLB	MLB; Statcast	Tracking technology	Information and development	Statcast installed across MLB parks	MLB describes Statcast rollout and its expansion of tracked movement, speed, and batted-ball information	Statcast became a league-wide measurement layer, changing scouting, broadcast, and development feedback.	https://www.mlb.com/glossary/statcast	https://www.mlb.com/news/major-league-baseballs-statcast-glossary-of-terms-of-state-of-the-art-tracking-technology/c-150784778	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	A measurement layer can alter knowledge asymmetry and development without changing the rules.	scouting fog/data capital/player development	PW-145;PW-153;PW-154;PW-155;PW-157;PW-158	PARTIAL_EXTENSION	HIGH	RECURRING	MEDIUM	TOGGLE	HIGH	HIGH	Supports OPEN-15/18; no vendor mechanics inferred.	WAVE1_BASELINE	F;G	RETAINED_BASELINE	PW-145;PW-153;PW-154;PW-155;PW-156;PW-157;PW-158	CORRECTED
PNN-018	2020-01-01	2023-12-31	2026-08-24	North America	United States/Canada	MLB	MLB; Hawk-Eye	Tracking technology	Bat and pitch measurement	Feedback-loop expansion	Hawk-Eye and bat tracking expand the tracked skill set	MLB technology material describes Hawk-Eye adoption and later bat-tracking expansion, widening the feedback loop from pitch movement to swing decisions.	https://www.mlb.com/glossary/statcast	https://www.mlb.com/news/10-tech-advances-that-changed-how-we-watch-sports/c-119198466	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	New measurements can create new training priorities and repriced skill profiles.	technology adoption/skill repricing/staff knowledge	PW-145;PW-154;PW-155;PW-158	PARTIAL_EXTENSION	HIGH	RECURRING	MEDIUM	TOGGLE	HIGH	MEDIUM	Event date is a bounded technology-adoption band.	WAVE1_BASELINE	F;G	RETAINED_BASELINE	PW-145;PW-153;PW-154;PW-155;PW-156;PW-158	CORRECTED
PNN-019	2023-01-01	2024-12-31	2026-08-24	North America	United States/Canada	MLB/MiLB	MLB; umpires	ABS testing	Officiating and rules	Automated ball-strike testing in the minors	MLB’s rule-change and minor-league material describes ABS testing and comparison of challenge/full-use formats	The lower-tier test environment allows rule and human-judgment tradeoffs to be observed before a league-wide choice.	https://www.mlb.com/rule-changes-2023/	https://www.mlb.com/press-release/press-release-mlb-announces-rule-changes-for-2023-season	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Rule adoption can be staged, compared, and contested rather than switched on universally.	abs/challenge mode/umpire labor	PW-190;PW-192;PW-193;PW-205	PARTIAL_EXTENSION	HIGH	CONDITIONAL_RECURRING	MEDIUM	TOGGLE	HIGH	HIGH	Supports OPEN-18.	WAVE1_BASELINE	A;F	RETAINED_BASELINE	PW-190;PW-192;PW-193;PW-194	CORRECTED
PNN-020	2026-01-01	2026-12-31	2026-08-24	North America	United States/Canada	MLB	MLB; MLBPA; umpires	ABS transition	Officiating and rules	Current ABS implementation context	Current MLB season reporting and rules material place ABS within an active transition where scope, challenge, and human-official roles matter	The event is recorded as a current design context, not as a settled timeless rule.	https://www.mlb.com/rule-changes-2023/	https://www.mlbplayers.com/resources/major-league-cba	PRIMARY_PLUS_SECONDARY	CURRENT_STATUS_CHECK	CURRENT_AS_OF_2026	A live rule transition can create era-specific strategy and labor calibration.	abs transition/era rules/officials	PW-190;PW-192;PW-193;PW-205	PARTIAL_EXTENSION	HIGH	CONDITIONAL_RECURRING	HIGH_IF_AUTOMATIC	OWNER_CALIBRATION	HIGH	MEDIUM	Current-state facts must be reverified before implementation.	WAVE1_BASELINE	A;F	RETAINED_BASELINE	PW-190;PW-192;PW-193;PW-194	CORRECTED
PNN-021	2023-07-12	2023-07-12	2026-08-24	East Asia	South Korea	KBO	KBO	2nd Draft	Transactions	Protected-player redistribution	KBO revives the 2nd Draft after Future FA failed to create enough movement	The KBO notice describes the return of the 2nd Draft, protected-player limits, reverse-order rounds, compensation fees, and first-team registration conditions.	https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=8750	https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=9894	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	A league can revise a mobility mechanism after observing that a prior mechanism produced too little movement.	active draft/second draft/protection/compensation	PW-236;PW-237;PW-238;PW-239;PW-240	ALREADY_COVERED	HIGH	CONDITIONAL_RECURRING	MEDIUM	DEFAULT_RARE	HIGH	HIGH	A strong known-domain comparator, not a new candidate.	WAVE1_BASELINE	B;C;D	RETAINED_BASELINE	PW-236;PW-237;PW-238;PW-256	CORRECTED
PNN-022	2013-05-07	2015-01-01	2026-08-24	East Asia	South Korea	KBO	NC Dinos; KT Wiz; KBO	Expansion	Governance and market	League adds NC and KT	KBO approved NC as the 9th club and KT as the 10th, with different founding and first-team timelines	Expansion creates new roster demand, farm structures, facilities, and regional identity rather than merely adding a buff to an existing club.	https://en.yna.co.kr/view/AEN20130507003400315	https://eng.koreabaseball.com/Teams/TeamInformation.aspx;https://www.ktwiz.co.kr/ktwiz/history	PRIMARY_PLUS_SECONDARY	VERIFIED	HISTORICAL	Expansion changes league topology, player demand, and local-market development capacity.	league expansion/roster demand/farm/stadium	PW-165;PW-179;PW-180;PW-247;PW-248	ALREADY_COVERED	HIGH	RARE_SYSTEMIC	MEDIUM	OWNER_CALIBRATION	HIGH	HIGH	Do not encode new clubs as permanent strength advantages.	WAVE1_BASELINE	D;N;Q	RETAINED_BASELINE	PW-165;PW-167;PW-179;PW-180;PW-201;PW-203;PW-247;PW-248	CORRECTED
PNN-023	2024-01-01	2026-12-31	2026-08-24	East Asia	South Korea	KBO	Sangmu; KBO Futures	Military service	Career interruption	Sangmu and Futures route	Players use the military Sangmu/Futures route and return to professional baseball	Korean reporting describes a player returning after military service and playing in the Futures League, showing service as an interruption plus development route.	https://www.koreajoongangdaily.com/sports/ssg-landers-infielder-jeon-euisan-returns-from-military-service-with-a-new-mindset/12756821	https://www.yna.co.kr/view/AKR20191202105200007	SECONDARY_WITH_OFFICIAL_CONTEXT	SECONDARY_CONFIRMED	CURRENT	A state-imposed career clock can interrupt, develop, and reprice a player’s path.	mandatory service/Futures/development/career clock	PW-074;PW-149;PW-168;PW-171;PW-242	PARTIAL_EXTENSION	HIGH	RECURRING	HIGH_IF_AUTOMATIC	TOGGLE	HIGH	MEDIUM	Open-09/17 overlap; no country-specific legal rule is proposed.	WAVE1_BASELINE	C;E;I;O	RETAINED_BASELINE	PW-074;PW-127;PW-128;PW-160;PW-168;PW-242	CORRECTED
PNN-024	2026-01-01	2026-12-31	2026-08-24	East Asia	Taiwan	CPBL	CPBL	Roster rules	Foreign-player market	Foreign-player registration and active limits	CPBL structure material describes registered and active foreign-player limits and a seasonal registration deadline	Roster slots and deadlines create a scarce foreign-player market with replacement and adaptation decisions.	https://www.cpbl.com.tw/about/structure	https://cpbl.com.tw/theme/client/download/聯盟規章.pdf	PRIMARY_OFFICIAL	CURRENT_STATUS_CHECK	CURRENT_AS_OF_2026	Foreign-player slots are a bounded resource whose value changes with injuries, performance, and calendar deadlines.	foreign roster/registration/deadline	PW-168;PW-172;PW-256	PARTIAL_EXTENSION	HIGH	RECURRING	HIGH_IF_AUTOMATIC	OWNER_CALIBRATION	MEDIUM	HIGH	Season-specific numbers require revalidation.	WAVE1_BASELINE	C;O	RETAINED_BASELINE	PW-168;PW-172;PW-256	RETAINED
PNN-025	2026-01-01	2026-12-31	2026-08-24	East Asia	Taiwan	CPBL	CPBL	Draft	Amateur eligibility	Military timing and domestic-player eligibility	CPBL draft registration material links eligibility to military timing and schooling/residence conditions	Formal entry classification can change who counts as domestic and when a player is eligible to enter.	https://record.cpbl.com.tw/CPBL_Register/SignUpDefault.aspx	https://www.cpbl.com.tw/about/structure	PRIMARY_OFFICIAL	CURRENT_STATUS_CHECK	CURRENT_AS_OF_2026	Eligibility categories create non-obvious entry gates for international and domestic talent.	draft eligibility/foreign status/amateur route	PW-055;PW-168;PW-172;PW-256	PARTIAL_EXTENSION	MEDIUM	RECURRING	HIGH_IF_AUTOMATIC	OWNER_CALIBRATION	HIGH	MEDIUM	This is a rule input, not a recommendation to reproduce local law.	WAVE1_BASELINE	B;C;O	RETAINED_BASELINE	PW-053;PW-054;PW-055;PW-168;PW-172;PW-195;PW-196;PW-256	CORRECTED
PNN-026	2024-01-01	2024-12-31	2026-08-24	East Asia	Taiwan	CPBL	CPBL	Roster ruling	Foreign-player market	Foreign-player status exception	CPBL publishes a case where a foreign player’s status changed under an eligibility exception	A formal status ruling can alter whether a player consumes a foreign-player slot, changing club roster options.	https://cpbl.com.tw/news/cont?sid=0O304543053163371193	https://www.cpbl.com.tw/about/structure	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Eligibility rulings can reprice a roster slot for one player without changing the whole league rule.	status ruling/roster slot/precedent	PW-168;PW-172;PW-256	PARTIAL_EXTENSION	MEDIUM	RARE_SYSTEMIC	HIGH_IF_AUTOMATIC	OWNER_CALIBRATION	MEDIUM	HIGH	Keep as an edge-case design challenge, not a universal exception.	WAVE1_BASELINE	C;O	RETAINED_BASELINE	PW-168;PW-172;PW-256	RETAINED
PNN-027	2018-12-19	2018-12-19	2026-08-24	Caribbean	Cuba	MLB/Cuban Federation	MLB; FCB	Player agreement	International access	Legal player pathway agreement	MLB announced an agreement intended to let Cuban players sign through a formal release and contract pathway	The agreement described a safer, legal route with federation release, contract, visas, and family/return provisions.	https://www.mlb.com/news/mlb-announces-deal-with-cuban-federation-c302036110	https://www.mlb.com/es/news/terminos-clave-del-nuevo-acuerdo-entre-mlb-y-la-federacion-cubana-c302037998	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Player access can be governed by a cross-institution agreement rather than club choice alone.	international agreement/player pathway/visa	PW-168;PW-169;PW-171;PW-172;PW-173	PARTIAL_EXTENSION	HIGH	CONDITIONAL_RECURRING	HIGH_IF_AUTOMATIC	OWNER_CALIBRATION	HIGH	HIGH	No personal political inference.	WAVE1_BASELINE	C;L;O	RETAINED_BASELINE	PW-168;PW-170;PW-171;PW-172;PW-173	CORRECTED
PNN-028	2019-04-09	2019-04-09	2026-08-24	Caribbean	Cuba/United States	MLB/Cuban Federation	MLB; FCB	Player agreement	International access	Agreement reversal	The 2018 Cuba pathway was later canceled by the US administration	Secondary reporting describes the institutional reversal, demonstrating that an opened player route can close before becoming stable.	https://www.axios.com/2019/04/09/mlb-cuba-trump-administration-trafficking	https://www.mlb.com/news/mlb-announces-deal-with-cuban-federation-c302036110	SECONDARY_WITH_PRIMARY_CONTEXT	SECONDARY_CONFIRMED	HISTORICAL	External policy can reverse a player-access route and strand planning assumptions.	institutional gate reversal/player market	PW-168;PW-169;PW-172;PW-173	PARTIAL_EXTENSION	HIGH	RARE_SYSTEMIC	HIGH_IF_AUTOMATIC	TOGGLE	HIGH	MEDIUM	Use as an uncertainty mechanism, not as a political event simulator.	WAVE1_BASELINE	C;L;O	RETAINED_BASELINE	PW-168;PW-170;PW-171;PW-172;PW-173	CORRECTED
PNN-029	2019-01-01	2026-12-31	2026-08-24	Caribbean	Dominican Republic	MLB	MLB; 30 clubs; academies	Amateur scouting	Development	Shared academy and scouting infrastructure	MLB describes trainer-partnership and amateur scouting structures in the Dominican Republic, including shared league-wide processes	International amateur discovery can be mediated by academies, trainers, age rules, and common scouting infrastructure.	https://www.mlb.com/trainer-partnership/dominican-republic	https://www.mlb.com/amp/news/mlb-amateur-scouting-league-faq.html	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	CURRENT	A regional development ecosystem can lower discovery friction while increasing competition for early talent.	academy/scouting/age eligibility/global pipeline	PW-145;PW-153;PW-168;PW-171;PW-179	PARTIAL_EXTENSION	HIGH	RECURRING	HIGH_IF_AUTOMATIC	TOGGLE	HIGH	HIGH	Current process details require periodic recheck.	WAVE1_BASELINE	E;F;G;N;O	RETAINED_BASELINE	PW-145;PW-151;PW-153;PW-155;PW-156;PW-157;PW-160;PW-168;PW-175;PW-177;PW-179	CORRECTED
